"region","context","sex","year","diagnoses","period","retested","prop_retested","prop_lower","prop_upper"
"regional","shc","all","2015",1191,"42-120",128,0.107472712006717,0.0907398417461267,0.126789550821209
"regional","shc","females","2015",577,"42-120",59,0.102253032928943,0.0793347460816331,0.130615173075389
"regional","shc","males","2015",709,"42-120",81,0.114245416078984,0.0922405993499879,0.140532237383204
"remote","shc","all","2015",14,"42-120",0,0,0,0.267620106292448
"remote","shc","females","2015",16,"42-120",5,0.3125,0.121287185043618,0.585165366615268
"remote","shc","males","2015",23,"42-120",4,0.173913043478261,0.0572383807886275,0.395477886977434
"urban","shc","all","2015",3531,"42-120",719,0.203625035400736,0.190530103780891,0.217370994666161
"urban","shc","females","2015",1132,"42-120",144,0.127208480565371,0.10863900611151,0.148356707134835
"urban","shc","males","2015",2731,"42-120",565,0.206883925302087,0.191930729990447,0.222670476676728
"regional","shc","all","2015",1191,"42-180",229,0.192275398824517,0.170497603690917,0.21606890472099
"regional","shc","females","2015",577,"42-180",131,0.227036395147314,0.193910713256127,0.263863729404917
"regional","shc","males","2015",709,"42-180",159,0.22425952045134,0.194423480490783,0.25713545845666
"remote","shc","all","2015",14,"42-180",2,0.142857142857143,0.0251393544563727,0.438493428161567
"remote","shc","females","2015",16,"42-180",6,0.375,0.162837033551744,0.641264130443026
"remote","shc","males","2015",23,"42-180",8,0.347826086956522,0.171895843607639,0.571788451045555
"urban","shc","all","2015",3531,"42-180",1021,0.289153214386859,0.274295652856047,0.304473384488908
"urban","shc","females","2015",1132,"42-180",253,0.223498233215548,0.199765246729407,0.249135456286999
"urban","shc","males","2015",2731,"42-180",975,0.357012083485903,0.339074394850101,0.375355553871277
"regional","shc","all","2015",1191,"7-180",339,0.28463476070529,0.259324760885841,0.311352215499546
"regional","shc","females","2015",577,"7-180",141,0.244367417677643,0.210252168251768,0.28194716992124
"regional","shc","males","2015",709,"7-180",190,0.267983074753174,0.236021295030819,0.302499411226311
"remote","shc","all","2015",14,"7-180",1,0.0714285714285714,0.00373992482107094,0.358319133408913
"remote","shc","females","2015",16,"7-180",10,0.625,0.358735869556974,0.837162966448256
"remote","shc","males","2015",23,"7-180",9,0.391304347826087,0.2046767537676,0.612174939636377
"urban","shc","all","2015",3531,"7-180",1443,0.408666100254885,0.392418919070807,0.42511352678482
"urban","shc","females","2015",1132,"7-180",295,0.260600706713781,0.235443311334384,0.287405326347346
"urban","shc","males","2015",2731,"7-180",1259,0.461003295496155,0.442193542915659,0.479923672574312
