"region","context","sex","year","diagnoses","period","retested","prop_retested","prop_lower","prop_upper"
"regional","shc","all","2016",578,"42-120",90,0.155709342560554,0.127640686973919,0.188456393161236
"regional","shc","females","2016",232,"42-120",39,0.168103448275862,0.12359755315695,0.223898656619169
"regional","shc","msm","2016",62,"42-120",16,0.258064516129032,0.15898173098716,0.38738924755005
"regional","shc","non_msm","2016",284,"42-120",35,0.123239436619718,0.088454273632257,0.16853694576134
"regional","shc","male","2016",346,"42-120",51,0.147398843930636,0.112641177327026,0.190196357504323
"regional","shc","all","2016",578,"42-180",112,0.193771626297578,0.162808731998113,0.228886091941832
"regional","shc","females","2016",232,"42-180",46,0.198275862068966,0.150154052615238,0.25663446149507
"regional","shc","msm","2016",62,"42-180",24,0.387096774193548,0.268692948667128,0.519524206282543
"regional","shc","non_msm","2016",284,"42-180",42,0.147887323943662,0.109770242269805,0.19579833312851
"regional","shc","male","2016",346,"42-180",66,0.190751445086705,0.151525462048922,0.237003846018635
"regional","shc","all","2016",578,"7-180",134,0.231833910034602,0.19845424947571,0.26884319022422
"regional","shc","females","2016",232,"7-180",59,0.254310344827586,0.200623884158091,0.316305072309638
"regional","shc","msm","2016",62,"7-180",29,0.467741935483871,0.341627800125573,0.597857382100513
"regional","shc","non_msm","2016",284,"7-180",46,0.161971830985915,0.122129705665066,0.211202620643436
"regional","shc","male","2016",346,"7-180",75,0.216763005780347,0.175258173020891,0.264693413797768
"remote","shc","all","2016",14,"42-120",2,0.142857142857143,0.0251393544563727,0.438493428161567
"remote","shc","females","2016",9,"42-120",0,0,0,0.371190263416769
"remote","shc","msm","2016",3,"42-120",2,0.666666666666667,0.125334471910263,0.982347205721347
"remote","shc","non_msm","2016",2,"42-120",0,0,0,0.802132544237689
"remote","shc","male","2016",5,"42-120",2,0.4,0.0725840399856634,0.829576419356412
"remote","shc","all","2016",14,"42-180",2,0.142857142857143,0.0251393544563727,0.438493428161567
"remote","shc","females","2016",9,"42-180",0,0,0,0.371190263416769
"remote","shc","msm","2016",3,"42-180",2,0.666666666666667,0.125334471910263,0.982347205721347
"remote","shc","non_msm","2016",2,"42-180",0,0,0,0.802132544237689
"remote","shc","male","2016",5,"42-180",2,0.4,0.0725840399856634,0.829576419356412
"remote","shc","all","2016",14,"7-180",2,0.142857142857143,0.0251393544563727,0.438493428161567
"remote","shc","females","2016",9,"7-180",0,0,0,0.371190263416769
"remote","shc","msm","2016",3,"7-180",2,0.666666666666667,0.125334471910263,0.982347205721347
"remote","shc","non_msm","2016",2,"7-180",0,0,0,0.802132544237689
"remote","shc","male","2016",5,"7-180",2,0.4,0.0725840399856634,0.829576419356412
"urban","shc","all","2016",1859,"42-120",523,0.28133405056482,0.261098500646905,0.302483296347238
"urban","shc","females","2016",601,"42-120",148,0.246256239600666,0.212707529273229,0.283105613406789
"urban","shc","msm","2016",698,"42-120",299,0.42836676217765,0.391442378374289,0.466090559207457
"urban","shc","non_msm","2016",560,"42-120",76,0.135714285714286,0.109009374366952,0.167538076486824
"urban","shc","male","2016",1258,"42-120",375,0.298092209856916,0.273074457305943,0.324358604571993
"urban","shc","all","2016",1859,"42-180",662,0.35610543302851,0.334390529234337,0.378421125962351
"urban","shc","females","2016",601,"42-180",186,0.309484193011647,0.273033705397352,0.348408954354506
"urban","shc","msm","2016",698,"42-180",374,0.535816618911175,0.498007715553437,0.573225874584028
"urban","shc","non_msm","2016",560,"42-180",102,0.182142857142857,0.151550713582053,0.21718641197123
"urban","shc","male","2016",1258,"42-180",476,0.378378378378378,0.351596193536449,0.405912039726752
"urban","shc","all","2016",1859,"7-180",782,0.420656266810113,0.398135095651846,0.443508593255014
"urban","shc","females","2016",601,"7-180",224,0.372712146422629,0.334168527715377,0.412907300333364
"urban","shc","msm","2016",698,"7-180",428,0.613180515759312,0.575800040507269,0.649297533205344
"urban","shc","non_msm","2016",560,"7-180",130,0.232142857142857,0.198230958690665,0.26979733165264
"urban","shc","male","2016",1258,"7-180",558,0.443561208267091,0.415927336968498,0.471543683261858
