"region","context","sex","year","diagnoses","retested","prop_retested","prop_lower","prop_upper"
"regional","gp","all","2016",115,48,0.417391304347826,0.327284868412944,0.513091592543508
"regional","gp","female","2016",51,24,0.470588235294118,0.33157868041598,0.614002569168451
"regional","gp","msm","2016",62,24,0.387096774193548,0.268692948667128,0.519524206282543
"regional","gp","non_msm","2016",2,0,0,0,0.802132544237689
"regional","gp","male","2016",64,24,0.375,0.259756718317285,0.505303358192569
"regional","shc","all","2016",462,101,0.218614718614719,0.182324563617744,0.2596780996314
"regional","shc","female","2016",116,35,0.301724137931034,0.221808619665005,0.394994377129355
"regional","shc","msm","2016",62,24,0.387096774193548,0.268692948667128,0.519524206282543
"regional","shc","non_msm","2016",284,42,0.147887323943662,0.109770242269805,0.19579833312851
"regional","shc","male","2016",346,66,0.190751445086705,0.151525462048922,0.237003846018635
"regional+remote","gp","all","2016",0,0,NA,NA,NA
"regional+remote","gp","female","2016",0,0,NA,NA,NA
"regional+remote","gp","msm","2016",0,0,NA,NA,NA
"regional+remote","gp","non_msm","2016",0,0,NA,NA,NA
"regional+remote","gp","male","2016",0,0,NA,NA,NA
"regional+remote","shc","all","2016",472,103,0.218220338983051,0.182327832171683,0.258791025900168
"regional+remote","shc","female","2016",121,35,0.289256198347107,0.212264752122088,0.379868064448775
"regional+remote","shc","msm","2016",65,26,0.4,0.282821070834562,0.529038941266499
"regional+remote","shc","non_msm","2016",286,42,0.146853146853147,0.108989032073929,0.194471942136321
"regional+remote","shc","male","2016",351,68,0.193732193732194,0.154497197445774,0.239824898866066
"remote","gp","all","2016",0,0,NA,NA,NA
"remote","gp","female","2016",0,0,NA,NA,NA
"remote","gp","msm","2016",0,0,NA,NA,NA
"remote","gp","non_msm","2016",0,0,NA,NA,NA
"remote","gp","male","2016",0,0,NA,NA,NA
"remote","shc","all","2016",10,2,0.2,0.0354269437473664,0.55781857572145
"remote","shc","female","2016",5,0,0,0,0.537056017467523
"remote","shc","msm","2016",3,2,0.666666666666667,0.125334471910263,0.982347205721347
"remote","shc","non_msm","2016",2,0,0,0,0.802132544237689
"remote","shc","male","2016",5,2,0.4,0.0725840399856634,0.829576419356412
"urban","gp","all","2016",808,412,0.50990099009901,0.474850172302559,0.544856431026562
"urban","gp","female","2016",94,35,0.372340425531915,0.276594540206028,0.478644765242826
"urban","gp","msm","2016",698,374,0.535816618911175,0.498007715553437,0.573225874584028
"urban","gp","non_msm","2016",16,3,0.1875,0.0497312561080063,0.463076560310967
"urban","gp","male","2016",714,377,0.528011204481793,0.490642443407686,0.565074449047611
"urban","shc","all","2016",1860,667,0.358602150537634,0.336854182470539,0.380940153644348
"urban","shc","female","2016",600,186,0.31,0.273499493545657,0.34897218784727
"urban","shc","msm","2016",700,379,0.541428571428571,0.503675448737781,0.578720745752715
"urban","shc","non_msm","2016",560,102,0.182142857142857,0.151550713582053,0.21718641197123
"urban","shc","male","2016",1260,481,0.381746031746032,0.35492893328742,0.409292615783784
