"region","context","sex","year","diagnoses","retested","prop_retested","prop_lower","prop_upper"
"regional","gp","all",2017,174,64,0.367816091954023,0.297045823534443,0.444523187122915
"regional","gp","female",2017,70,21,0.3,0.199279727918042,0.422871134793204
"regional","gp","male",2017,104,43,0.413461538461538,0.319070779818907,0.514324924973992
"regional","shc","all",2017,1352,355,0.262573964497041,0.239456565696242,0.28705791910268
"regional","shc","female",2017,517,104,0.201160541586073,0.167968863270275,0.238883062842517
"regional","shc","male",2017,835,251,0.30059880239521,0.269891229462442,0.33316775151525
"remote","gp","all",2017,0,0,NA,NA,NA
"remote","gp","all",2017,0,0,NA,NA,NA
"remote","gp","female",2017,0,0,NA,NA,NA
"remote","gp","male",2017,0,0,NA,NA,NA
"remote","shc","all",2017,19,3,0.157894736842105,0.0416967303552795,0.404932585076039
"remote","shc","female",2017,10,2,0.2,0.0354269437473664,0.55781857572145
"remote","shc","male",2017,9,1,0.111111111111111,0.00582755740060351,0.493297984193994
"urban","gp","all",2017,3006,1716,0.570858283433134,0.552918262130468,0.588615732734124
"urban","gp","female",2017,194,58,0.298969072164948,0.236588679172305,0.369464951063553
"urban","gp","male",2017,2812,1658,0.589615931721195,0.571145803604307,0.607839156501007
"urban","shc","all",2017,5845,2217,0.379298545765612,0.366857645414134,0.391899087031878
"urban","shc","female",2017,1445,412,0.285121107266436,0.262100127973694,0.309298456748231
"urban","shc","male",2017,4400,1805,0.410227272727273,0.395665079918965,0.424947306550455
"regional+remote","gp","all",2017,174,64,0.367816091954023,0.297045823534443,0.444523187122915
"regional+remote","gp","female",2017,70,21,0.3,0.199279727918042,0.422871134793204
"regional+remote","gp","male",2017,104,43,0.413461538461538,0.319070779818907,0.514324924973992
"regional+remote","shc","all",2017,1371,358,0.261123267687819,0.238209598742373,0.285392732980093
"regional+remote","shc","female",2017,527,106,0.201138519924099,0.168251014079786,0.238470714458339
"regional+remote","shc","male",2017,844,252,0.298578199052133,0.26810089568115,0.330915662133243
