year,male < 15 yrs,male 15-19 yrs,male 20-24 yrs,male 25-29 yrs,male 30-34 yrs,male > 34 yrs,male all,female < 15 yrs,female 15-19 yrs,female 20-24 yrs,female 25-29 yrs,female 30-34 yrs,female > 34 yrs,female all
2001,35,1033,2478,1923,1076,1541,8086,218,3770,4280,2040,938,892,12138
2002,41,1214,3100,2171,1436,1914,9876,233,4432,5219,2445,1090,1029,14448
2003,50,1556,4029,2773,1639,2255,12302,288,5494,6734,2849,1422,1207,17994
2004,55,1794,4934,3265,1871,2653,14572,350,6539,8232,3360,1612,1385,21478
2005,65,2178,5859,3475,2062,2856,16509,403,7437,9429,3697,1744,1411,24131
2006,76,2539,6703,4042,2258,3387,19014,382,8606,10784,4325,1974,1792,27871
2007,85,2946,7476,4365,2188,3548,20608,443,9600,11619,4898,2044,2018,30622
2008,63,3742,8224,5121,2449,4097,23696,517,11279,12988,5498,2191,2325,34798
2009,87,4115,9451,5376,2573,4341,25944,518,12252,13758,6021,2295,2394,37239
2010,106,5352,10972,6499,3001,5198,31129,631,14716,15997,6533,2594,2753,43225
2011,109,5530,12237,7070,3196,5408,33550,640,16309,17604,7189,2846,2930,47518
2012,110,5446,12326,7444,3712,6014,35051,675,15672,18176,7383,3056,3106,48067
2013,88,5173,12156,8008,3818,6184,35426,637,14788,18326,7959,3256,3369,48334
2014,75,4996,12553,8472,4237,6709,37042,609,14186,19133,8660,3588,3565,49741
2015,62,4511,12292,8725,4712,7349,37652,445,12977,18410,9066,4014,3831,48743
2016,72,4678,13193,10409,5880,9240,43472,432,12908,19335,9706,4294,4405,51080
2017,58,4786,14287,11602,6939,10907,48579,394,12879,19854,10318,4511,4649,52604
2018,68,4658,14577,12097,7447,11892,50739,397,12712,20103,10698,4792,5250,53952
