"region","context","sex","year","diagnoses","retested","prop_retested","prop_lower","prop_upper"
"urban","shc","male","2018",6316,3465,0.548606713109563,0.536228997316024,0.560924957551331
"regional","shc","male","2018",505,196,0.388118811881188,0.34564995684465,0.432316138433608
"remote","shc","male","2018",12,2,0.166666666666667,0.0294091092225096,0.491185806989924
"regional+remote","shc","male","2018",517,198,0.382978723404255,0.341145120431339,0.426578188824186
"urban","gp","male","2018",3344,2528,0.755980861244019,0.74098281472044,0.770385431532512
"regional","gp","male","2018",128,73,0.5703125,0.479857575158391,0.656486193768139
"remote","gp","male","2018",1,1,1,0.054620755528852,1
"regional+remote","gp","male","2018",129,74,0.573643410852713,0.483531652035418,0.659305418174561
"urban","shc","female","2018",2103,812,0.386115073704232,0.365297716480545,0.407352470329976
"regional","shc","female","2018",261,70,0.268199233716475,0.216331413442481,0.327028944761465
"remote","shc","female","2018",6,3,0.5,0.187616306482651,0.812383693517349
"regional+remote","shc","female","2018",267,73,0.273408239700375,0.221709632664502,0.331757680654555
"urban","gp","female","2018",230,87,0.378260869565217,0.316003217020525,0.444655813896514
"regional","gp","female","2018",85,35,0.411764705882353,0.307758940149016,0.523820337223073
"remote","gp","female","2018",0,0,NA,NA,NA
"regional+remote","gp","female","2018",85,35,0.411764705882353,0.307758940149016,0.523820337223073
"urban","shc","all","2018",8419,4277,0.508017579284951,0.497277940154216,0.518749864496987
"regional","shc","all","2018",766,266,0.347258485639687,0.313745921121973,0.382324820937317
"remote","shc","all","2018",18,5,0.277777777777778,0.107125757931383,0.535941971463847
"regional+remote","shc","all","2018",784,271,0.345663265306122,0.312578029096363,0.380282326854505
"urban","gp","all","2018",3574,2615,0.731673195299384,0.71676146570145,0.746082651063879
"regional","gp","all","2018",213,108,0.507042253521127,0.438064718373905,0.575761628166541
"remote","gp","all","2018",1,1,1,0.054620755528852,1
"regional+remote","gp","all","2018",214,109,0.509345794392523,0.440495247507629,0.577855333881678
"urban","shc","male","2017",6024,3371,0.559594953519256,0.546941433592044,0.572172012642979
"regional","shc","male","2017",853,349,0.409144196951934,0.376051426989854,0.443066069671482
"remote","shc","male","2017",7,5,0.714285714285714,0.302560029813928,0.948875693954224
"regional+remote","shc","male","2017",860,354,0.411627906976744,0.378628881245851,0.445426766336667
"urban","gp","male","2017",3107,2417,0.777920823945929,0.762803114292991,0.792344594951246
"regional","gp","male","2017",105,60,0.571428571428571,0.471189118205254,0.666376958179995
"remote","gp","male","2017",1,1,1,0.054620755528852,1
"regional+remote","gp","male","2017",106,61,0.575471698113208,0.475683085437014,0.669721531543416
"urban","shc","female","2017",1976,739,0.373987854251012,0.352667892462545,0.395802609100296
"regional","shc","female","2017",543,161,0.296500920810313,0.258744513613972,0.337184659019689
"remote","shc","female","2017",5,0,0,0,0.537056017467523
"regional+remote","shc","female","2017",548,161,0.293795620437956,0.256328221279179,0.334202260137806
"urban","gp","female","2017",213,79,0.370892018779343,0.306622568997556,0.439899855962809
"regional","gp","female","2017",55,24,0.436363636363636,0.305535700624039,0.576057540566352
"remote","gp","female","2017",0,0,NA,NA,NA
"regional+remote","gp","female","2017",55,24,0.436363636363636,0.305535700624039,0.576057540566352
"urban","shc","all","2017",8000,4110,0.51375,0.502731131695313,0.524755594327364
"regional","shc","all","2017",1396,510,0.365329512893983,0.340119773874596,0.391288845087348
"remote","shc","all","2017",12,5,0.416666666666667,0.164992515130063,0.714007187896076
"regional+remote","shc","all","2017",1408,515,0.365767045454545,0.340657034295827,0.39161781728766
"urban","gp","all","2017",3320,2496,0.751807228915663,0.73667485608386,0.766351599036782
"regional","gp","all","2017",160,84,0.525,0.444872948753078,0.603907954887017
"remote","gp","all","2017",1,1,1,0.054620755528852,1
"regional+remote","gp","all","2017",161,85,0.527950310559006,0.448029654824536,0.606516411834354
"urban","shc","male","2016",4945,2453,0.496056622851365,0.482028617667704,0.510090794403785
"regional","shc","male","2016",718,267,0.371866295264624,0.336605253368172,0.408517916415232
"remote","shc","male","2016",15,5,0.333333333333333,0.129878037084165,0.613134546731669
"regional+remote","shc","male","2016",733,272,0.371077762619372,0.336196703342524,0.407329217535632
"urban","gp","male","2016",2512,1873,0.74562101910828,0.728020822465762,0.762462376709601
"regional","gp","male","2016",114,65,0.570175438596491,0.474128699209914,0.661429819634743
"remote","gp","male","2016",1,1,1,0.054620755528852,1
"regional+remote","gp","male","2016",115,66,0.573913043478261,0.478267785366781,0.664553886751442
"urban","shc","female","2016",1838,701,0.38139281828074,0.35918761059662,0.404098829204598
"regional","shc","female","2016",533,169,0.317073170731707,0.278096712228578,0.358729464808179
"remote","shc","female","2016",16,4,0.25,0.083327759989653,0.525916175190198
"regional+remote","shc","female","2016",549,173,0.31511839708561,0.276782322724698,0.356083771156918
"urban","gp","female","2016",231,89,0.385281385281385,0.32282271138589,0.451621439013782
"regional","gp","female","2016",64,35,0.546875,0.4182145999262,0.669896650102619
"remote","gp","female","2016",0,0,NA,NA,NA
"regional+remote","gp","female","2016",64,35,0.546875,0.4182145999262,0.669896650102619
"urban","shc","all","2016",6783,3154,0.464985994397759,0.453065908544226,0.476945963290134
"regional","shc","all","2016",1251,436,0.348521183053557,0.322224958736092,0.375758869370313
"remote","shc","all","2016",31,9,0.290322580645161,0.148883684983562,0.48235190194316
"regional+remote","shc","all","2016",1282,445,0.347113884555382,0.32116450049516,0.373990414329669
"urban","gp","all","2016",2743,1962,0.715275246080933,0.697909799150431,0.73203207456446
"regional","gp","all","2016",178,100,0.561797752808989,0.485566618362121,0.635318354553792
"remote","gp","all","2016",1,1,1,0.054620755528852,1
"regional+remote","gp","all","2016",179,101,0.564245810055866,0.488225533380057,0.637463809430486
"urban","shc","male","2015",3944,1751,0.443965517241379,0.428395095750403,0.459645878890168
"regional","shc","male","2015",661,220,0.332829046898638,0.297230813361677,0.370399656172599
"remote","shc","male","2015",11,3,0.272727272727273,0.0732766596779932,0.606833902178911
"regional+remote","shc","male","2015",672,223,0.331845238095238,0.296568003453899,0.3690738664675
