region,context,sex,year,diagnoses,retested,prop_retested,prop_lower,prop_upper
urban,shc,male,2017,6838,3778,0.552500731,0.540615814,0.564326328
regional,shc,male,2017,628,275,0.437898089,0.398805651,0.477761106
remote,shc,male,2017,3,0,0,0,0.690011894
regional+remote,shc,male,2017,631,275,0.435816165,0.396850502,0.475574447
urban,gp,male,2017,3639,2745,0.754328112,0.739938144,0.768176425
regional,gp,male,2017,162,90,0.555555556,0.475566465,0.632868339
remote,gp,male,2017,5,4,0.8,0.298791054,0.989470046
regional+remote,gp,male,2017,167,94,0.562874251,0.484085379,0.638724366
urban,shc,female,2017,2016,710,0.35218254,0.331387071,0.373546946
regional,shc,female,2017,293,84,0.28668942,0.236338625,0.34274168
remote,shc,female,2017,2,0,0,0,0.802132544
regional+remote,shc,female,2017,295,84,0.284745763,0.234689047,0.340517147
urban,gp,female,2017,264,85,0.321969697,0.266728368,0.382487944
regional,gp,female,2017,44,10,0.227272727,0.11991889,0.382216592
remote,gp,female,2017,0,1,Inf,NA,NA
regional+remote,gp,female,2017,44,11,0.25,0.137028837,0.406495096
urban,shc,all,2017,8937,4533,0.507217187,0.49679519,0.517632949
regional,shc,all,2017,929,362,0.389666308,0.35829422,0.421962671
remote,shc,all,2017,5,0,0,0,0.537056017
regional+remote,shc,all,2017,934,362,0.3875803,0.35633122,0.419766081
urban,gp,all,2017,3942,2860,0.725520041,0.711246226,0.739350751
regional,gp,all,2017,206,100,0.485436893,0.415708371,0.555717402
remote,gp,all,2017,6,4,0.666666667,0.241078211,0.940010295
regional+remote,gp,all,2017,212,104,0.490566038,0.421731836,0.559747708
urban,shc,male,2018,7181,3983,0.554658126,0.543067009,0.566190441
regional,shc,male,2018,698,330,0.47277937,0.435282203,0.510580262
remote,shc,male,2018,13,4,0.307692308,0.10358521,0.611150979
regional+remote,shc,male,2018,711,334,0.4697609,0.432640508,0.507212507
urban,gp,male,2018,3551,2646,0.745142213,0.730406212,0.759343199
regional,gp,male,2018,173,102,0.589595376,0.512220809,0.662925702
remote,gp,male,2018,3,3,1,0.309988106,1
regional+remote,gp,male,2018,176,105,0.596590909,0.519939842,0.668955621
urban,shc,female,2018,2245,831,0.370155902,0.350200419,0.390559925
regional,shc,female,2018,290,95,0.327586207,0.274500395,0.385322852
remote,shc,female,2018,4,2,0.5,0.150038989,0.849961011
regional+remote,shc,female,2018,294,97,0.329931973,0.277072698,0.387316011
urban,gp,female,2018,299,86,0.287625418,0.237703725,0.343109179
regional,gp,female,2018,51,17,0.333333333,0.211459592,0.480255143
remote,gp,female,2018,0,0,NA,NA,NA
regional+remote,gp,female,2018,51,17,0.333333333,0.211459592,0.480255143
urban,shc,all,2018,9512,4862,0.511143818,0.501043216,0.521235376
regional,shc,all,2018,993,429,0.432024169,0.401037083,0.463543708
remote,shc,all,2018,17,6,0.352941176,0.152592359,0.613795943
regional+remote,shc,all,2018,1010,435,0.430693069,0.399985263,0.461934583
urban,gp,all,2018,3898,2768,0.710107748,0.695533195,0.724264864
regional,gp,all,2018,225,120,0.533333333,0.465930818,0.599578918
remote,gp,all,2018,3,3,1,0.309988106,1
regional+remote,gp,all,2018,228,123,0.539473684,0.472478202,0.605117093
urban,shc,male,2019,7742,4123,0.532549729,0.521357714,0.54370927
regional,shc,male,2019,845,369,0.436686391,0.403022454,0.470933499
remote,shc,male,2019,15,6,0.4,0.174567667,0.67108939
regional+remote,shc,male,2019,860,375,0.436046512,0.402687025,0.469984749
urban,gp,male,2019,3962,2926,0.738515901,0.724477957,0.752087516
regional,gp,male,2019,149,92,0.617449664,0.533996498,0.694748473
remote,gp,male,2019,3,1,0.333333333,0.017652794,0.874665528
regional+remote,gp,male,2019,152,93,0.611842105,0.529201271,0.688738107
urban,shc,female,2019,2282,779,0.341367222,0.321977977,0.361295645
regional,shc,female,2019,430,150,0.348837209,0.304190193,0.396229936
remote,shc,female,2019,12,4,0.333333333,0.112728594,0.645630987
regional+remote,shc,female,2019,442,154,0.34841629,0.304387369,0.395123569
urban,gp,female,2019,291,99,0.340206186,0.286538816,0.398167906
regional,gp,female,2019,39,11,0.282051282,0.155499428,0.451040389
remote,gp,female,2019,0,0,NA,NA,NA
regional+remote,gp,female,2019,39,11,0.282051282,0.155499428,0.451040389
urban,shc,all,2019,10111,4965,0.491049352,0.481260869,0.500844669
regional,shc,all,2019,1281,523,0.408274785,0.381286765,0.435819233
remote,shc,all,2019,27,10,0.37037037,0.200759358,0.575333584
regional+remote,shc,all,2019,1308,533,0.407492355,0.38079487,0.434739385
urban,gp,all,2019,4303,3060,0.711131769,0.697288331,0.72459534
regional,gp,all,2019,192,105,0.546875,0.473645041,0.618198703
remote,gp,all,2019,3,1,0.333333333,0.017652794,0.874665528
regional+remote,gp,all,2019,195,106,0.543589744,0.470966088,0.614467991
urban,shc,male,2020,5665,2662,0.469902913,0.456843028,0.483003864
regional,shc,male,2020,652,271,0.415644172,0.377664726,0.454631784
remote,shc,male,2020,8,6,0.75,0.35575516,0.955456086
regional+remote,shc,male,2020,660,277,0.41969697,0.381873493,0.458468472
urban,gp,male,2020,3055,2056,0.67299509,0.655986162,0.689565233
regional,gp,male,2020,112,55,0.491071429,0.396031567,0.586731533
remote,gp,male,2020,2,2,1,0.197867456,1
regional+remote,gp,male,2020,114,57,0.5,0.409724679,0.590275321
urban,shc,female,2020,1469,416,0.283185841,0.260403651,0.307115699
regional,shc,female,2020,268,100,0.373134328,0.315625269,0.434343582
remote,shc,female,2020,3,1,0.333333333,0.017652794,0.874665528
regional+remote,shc,female,2020,271,101,0.372693727,0.31551918,0.433540195
urban,gp,female,2020,268,69,0.257462687,0.207083045,0.314939085
regional,gp,female,2020,41,9,0.219512195,0.111118074,0.380304681
remote,gp,female,2020,0,0,NA,NA,NA
regional+remote,gp,female,2020,41,9,0.219512195,0.111118074,0.380304681
urban,shc,all,2020,7200,3109,0.431805556,0.420334451,0.443349831
regional,shc,all,2020,924,373,0.403679654,0.371974236,0.436196258
remote,shc,all,2020,11,7,0.636363636,0.316136309,0.876349187
regional+remote,shc,all,2020,935,380,0.406417112,0.374853623,0.438759409
urban,gp,all,2020,3363,2148,0.638715433,0.622180298,0.654931131
regional,gp,all,2020,155,64,0.412903226,0.335353432,0.494838887
remote,gp,all,2020,2,2,1,0.197867456,1
regional+remote,gp,all,2020,157,66,0.420382166,0.342944908,0.501777462
urban,shc,male,2021,5495,2771,0.504276615,0.490967696,0.517579518
regional,shc,male,2021,520,191,0.367307692,0.326055506,0.410550994
remote,shc,male,2021,6,1,0.166666667,0.008762291,0.635177439
regional+remote,shc,male,2021,526,192,0.365019011,0.324071568,0.407968779
urban,gp,male,2021,3390,2200,0.648967552,0.632591328,0.665003451
regional,gp,male,2021,101,37,0.366336634,0.274367534,0.468606587
remote,gp,male,2021,3,2,0.666666667,0.125334472,0.982347206
regional+remote,gp,male,2021,104,39,0.375,0.283566586,0.47579012
urban,shc,female,2021,1059,335,0.316336166,0.288574631,0.345447678
regional,shc,female,2021,191,67,0.35078534,0.284202807,0.42347677
remote,shc,female,2021,6,4,0.666666667,0.241078211,0.940010295
regional+remote,shc,female,2021,197,71,0.360406091,0.294233668,0.432118542
urban,gp,female,2021,259,78,0.301158301,0.246725101,0.361602775
regional,gp,female,2021,26,8,0.307692308,0.150879625,0.518974913
remote,gp,female,2021,0,1,Inf,NA,NA
regional+remote,gp,female,2021,26,9,0.346153846,0.179431253,0.556350444
urban,shc,all,2021,6618,3136,0.473859172,0.461772551,0.485976313
regional,shc,all,2021,715,261,0.365034965,0.329873142,0.401667786
remote,shc,all,2021,12,5,0.416666667,0.164992515,0.714007188
regional+remote,shc,all,2021,727,266,0.365887208,0.330993183,0.402218698
urban,gp,all,2021,3698,2301,0.622228231,0.606346593,0.637854
regional,gp,all,2021,127,45,0.354330709,0.272919884,0.444693434
remote,gp,all,2021,4,2,0.5,0.150038989,0.849961011
regional+remote,gp,all,2021,131,47,0.358778626,0.278223767,0.447748021
