"year","male15_29_low","male15_29_high","female15_29_low","female15_29_high"
2001,63156,65489,53357,55691
2002,73642,76371,62187,64244
2003,86410,89424,70446,72635
2004,97823,101302,76723,79377
2005,108725,112021,82746,85305
2006,118571,121710,87335,89980
2007,128706,132568,90497,93654
2008,137998,142202,94192,97738
2009,149212,154873,99423,103829
2010,155726,160939,102478,106130
2011,156367,161936,102293,105159
2012,154024,160277,102259,105226
2013,153047,156703,100539,103165
2014,150270,154265,96985,100118
2015,147831,153743,95883,98202
2016,151016,156629,96520,99172
2017,153141,158137,95880,98652
2018,153078,158389,94629,98011
2019,154611,160725,94533,97295
2020,152480,158876,90471,93419
2021,150403,156577,88126,92016
2022,158307,167034,91478,97247
2023,174142,189737,98497,108099
