"year","male < 15 yrs","male 15-19 yrs","male 20-24 yrs","male 25-29 yrs","male 30-34 yrs","male > 34 yrs","male all","female < 15 yrs","female 15-19 yrs","female 20-24 yrs","female 25-29 yrs","female 30-34 yrs","female > 34 yrs","female all"
2014,78,5115,12848,8674,4342,6853,37912,624,14518,19569,8859,3667,3656,50896
2015,67,4620,12573,8932,4820,7520,38535,456,13288,18842,9275,4102,3921,49894
2016,79,4794,13488,10642,6003,9437,44448,448,13223,19789,9930,4394,4514,52309
2017,60,4893,14565,11822,7060,11133,49539,406,13158,20264,10529,4606,4741,53714
2018,71,4758,14875,12314,7583,12104,51708,407,13014,20550,10920,4894,5382,55173
2019,91,4657,14741,12686,8024,13461,53663,374,12396,20764,11141,5301,5771,55750
2020,59,4129,12450,10467,6620,10412,44141,318,10997,18517,9904,4622,4972,49331
2021,64,4201,11749,9858,6801,10743,43416,280,11002,17041,8814,4341,4494,45977
2022,56,4554,12453,10750,7722,12843,48380,281,11199,18237,9039,4371,4877,48008
2023,67,4947,14127,12159,9065,15717,56087,331,12127,20746,10946,5272,5969,55396
