region,context,sex,year,diagnoses,retested,prop_retested,prop_lower,prop_upper,,,,
urban,shc,male,2019,7134,3831,0.537005887,0.525348221,0.548623481,,,,
regional,shc,male,2019,873,405,0.463917526,0.430499405,0.497657265,,,,
remote,shc,male,2019,23,8,0.347826087,0.171895844,0.571788451,,,,
regional+remote,shc,male,2019,896,413,0.4609375,0.427981951,0.494232258,,,,
urban,gp,male,2019,3951,2978,0.753733232,0.739928261,0.767040645,,,,
regional,gp,male,2019,192,125,0.651041667,0.578592552,0.717338973,,,,
remote,gp,male,2019,4,3,0.75,0.21942652,0.986808838,,,,
regional+remote,gp,male,2019,196,128,0.653061224,0.581446409,0.718568718,,,,
urban,shc,female,2019,2219,797,0.359170798,0.339246351,0.379587488,,,,
regional,shc,female,2019,457,184,0.402625821,0.357588849,0.449325495,,,,
remote,shc,female,2019,16,6,0.375,0.162837034,0.64126413,,,,
regional+remote,shc,female,2019,473,190,0.401691332,0.357444842,0.447559521,,,,
urban,gp,female,2019,299,121,0.404682274,0.348983039,0.462871871,,,,
regional,gp,female,2019,44,17,0.386363636,0.247486878,0.544869053,,,,
remote,gp,female,2019,0,0,0,0,0,,,,
regional+remote,gp,female,2019,44,17,0.386363636,0.247486878,0.544869053,,,,
urban,shc,all,2019,9412,4668,0.495962601,0.485812248,0.506116266,,,,
regional,shc,all,2019,1333,592,0.444111028,0.417264681,0.471283083,,,,
remote,shc,all,2019,39,14,0.358974359,0.216823905,0.528463111,,,,
regional+remote,shc,all,2019,1372,606,0.441690962,0.415252311,0.46845973,,,,
urban,gp,all,2019,4268,3110,0.728678538,0.715018766,0.741923421,,,,
regional,gp,all,2019,239,142,0.594142259,0.528765434,0.656441386,,,,
remote,gp,all,2019,4,3,0.75,0.21942652,0.986808838,,,,
regional+remote,gp,all,2019,243,145,0.596707819,0.531912509,0.658393506,,,,
urban,shc,male,2020,5466,2664,0.487376509,0.474047794,0.500723078,,,,
regional,shc,male,2020,638,291,0.456112853,0.417068689,0.495692971,,,,
remote,shc,male,2020,11,5,0.454545455,0.181378667,0.754378147,,,,
regional+remote,shc,male,2020,649,296,0.456086287,0.417377051,0.495322678,,,,
urban,gp,male,2020,2911,2027,0.696324287,0.6791957,0.712930088,,,,
regional,gp,male,2020,124,57,0.459677419,0.370636698,0.551251116,,,,
remote,gp,male,2020,3,2,0.666666667,0.125334472,0.982347206,,,,
regional+remote,gp,male,2020,127,59,0.464566929,0.37637071,0.554936788,,,,
urban,shc,female,2020,1445,437,0.302422145,0.278952224,0.326955067,,,,
regional,shc,female,2020,295,115,0.389830508,0.334302974,0.448276065,,,,
remote,shc,female,2020,3,1,0.333333333,0.017652794,0.874665528,,,,
regional+remote,shc,female,2020,298,116,0.389261745,0.334033677,0.447393345,,,,
urban,gp,female,2020,257,96,0.373540856,0.3148131,0.436114949,,,,
regional,gp,female,2020,42,12,0.285714286,0.162296983,0.448014003,,,,
remote,gp,female,2020,0,0,0,0,0,,,,
regional+remote,gp,female,2020,42,12,0.285714286,0.162296983,0.448014003,,,,
urban,shc,all,2020,6960,3120,0.448275862,0.436552346,0.460056794,,,,
regional,shc,all,2020,937,409,0.436499466,0.40454012,0.468986054,,,,
remote,shc,all,2020,14,6,0.428571429,0.188136342,0.703518472,,,,
regional+remote,shc,all,2020,951,415,0.436382755,0.404661932,0.468623981,,,,
urban,gp,all,2020,3177,2127,0.669499528,0.652787378,0.685798336,,,,
regional,gp,all,2020,166,69,0.415662651,0.340560023,0.494731831,,,,
remote,gp,all,2020,4,2,0.5,0.150038989,0.849961011,,,,
regional+remote,gp,all,2020,170,71,0.417647059,0.343329749,0.495746704,,,,
urban,shc,male,2021,5152,2717,0.527368012,0.513622966,0.541071987,,0.527368012,0.513622966,0.541071987
regional,shc,male,2021,629,259,0.411764706,0.373173276,0.451449414,,0.4109375,0.372695677,0.450263816
remote,shc,male,2021,11,4,0.363636364,0.123650813,0.683863691,,0.4109375,0.372695677,0.450263816
