year,stage,region,context,sex,proportion,prop_lower,prop_upper,source,reference
2020,notifications,urban,all,all,0.737960482,0.737960482,0.737960482,notifications data,
2020,notifications,regional,all,all,0.219641289,0.219641289,0.219641289,notifications data,
2020,notifications,remote,all,all,0.04239823,0.04239823,0.04239823,notifications data,
2020,diagnoses,all,shc,all,0.11,0.11,0.11,"(Grulich et al. 2014, table 4, usual GP %)","Grulich AE, de Visser RO, Badcock PB, Smith AM, Richters J, Rissel C, et al. Knowledge about and experience of sexually transmissible infections in a representative sample of adults: the Second Australian Study of Health and Relationships. Sexual health 2014; 11:481–494.
"
2020,diagnoses,all,gp,all,0.797,0.797,0.797,"(Grulich et al. 2014, table 4, sexual health clini %)","Grulich AE, de Visser RO, Badcock PB, Smith AM, Richters J, Rissel C, et al. Knowledge about and experience of sexually transmissible infections in a representative sample of adults: the Second Australian Study of Health and Relationships. Sexual health 2014; 11:481–494.
"
2020,diagnoses,all,other,all,0.092,0.092,0.092,"(Grulich et al. 2014, table 4, Other + pharmacy %)","Grulich AE, de Visser RO, Badcock PB, Smith AM, Richters J, Rissel C, et al. Knowledge about and experience of sexually transmissible infections in a representative sample of adults: the Second Australian Study of Health and Relationships. Sexual health 2014; 11:481–494.
"
2020,treated,urban,gp,all,0.8879,0.8879,0.8879,(Jung 2023),"Jung, et al. The Chlamydia Care Cascade of Young People Attending Australian General Practices; a Descriptive Study to Assess Gaps in Care. Sexual Health, October 2, 2023. https://doi.org/10.1071/SH23096."
2020,treated,regional,gp,all,0.8879,0.8879,0.8879,(Jung 2023),"Jung, et al. The Chlamydia Care Cascade of Young People Attending Australian General Practices; a Descriptive Study to Assess Gaps in Care. Sexual Health, October 2, 2023. https://doi.org/10.1071/SH23096."
2020,treated,urban,other,all,0.99,0.99,0.99,(Foster et al. 2016),Foster et al. Does being in a regional area impact on the timeliness of treatment?  STD 2016:43;506
2020,treated,regional,other,all,1,1,1,(Foster et al. 2016),Foster et al. Does being in a regional area impact on the timeliness of treatment?  STD 2016:43;506
2020,treated,remote,shc,all,0.96,0.96,0.96,(Foster et al. 2016),Foster et al. Does being in a regional area impact on the timeliness of treatment?  STD 2016:43;506
