region,context,sex,year,diagnoses,period,retested,prop_retested,prop_lower,prop_upper
regional,shc,all,2015,1191,42-120,128,0.107472712,0.090739842,0.126789551
regional,shc,females,2015,515,42-120,51,0.099029126,0.075272216,0.128944703
regional,shc,males,2015,676,42-120,77,0.113905325,0.091437909,0.140869833
remote,shc,all,2015,14,42-120,0,0,0,0.267620106
remote,shc,females,2015,6,42-120,0,0,0,0.483182949
remote,shc,males,2015,8,42-120,0,0,0,0.402296702
urban,shc,all,2015,3531,42-120,719,0.203625035,0.190530104,0.217370995
urban,shc,females,2015,899,42-120,119,0.132369299,0.111257931,0.156687278
urban,shc,males,2015,2626,42-120,599,0.22810358,0.212273198,0.244737703
regional,shc,all,2015,1191,42-180,229,0.192275399,0.170497604,0.216068905
regional,shc,females,2015,515,42-180,96,0.186407767,0.154242972,0.22334941
regional,shc,males,2015,676,42-180,133,0.196745562,0.1678338,0.229168624
remote,shc,all,2015,14,42-180,2,0.142857143,0.025139354,0.438493428
remote,shc,females,2015,6,42-180,0,0,0,0.483182949
remote,shc,males,2015,8,42-180,2,0.25,0.044543914,0.64424484
urban,shc,all,2015,3531,42-180,1021,0.289153214,0.274295653,0.304473384
urban,shc,females,2015,899,42-180,181,0.201334816,0.175891075,0.229373859
urban,shc,males,2015,2626,42-180,840,0.319878142,0.302125372,0.338162738
regional,shc,all,2015,1191,7-180,339,0.284634761,0.259324761,0.311352215
regional,shc,females,2015,515,7-180,144,0.27961165,0.241667865,0.320900275
regional,shc,males,2015,676,7-180,195,0.288461538,0.254870746,0.324494532
remote,shc,all,2015,14,7-180,1,0.071428571,0.003739925,0.358319133
remote,shc,females,2015,6,7-180,0,0,0,0.483182949
remote,shc,males,2015,8,7-180,1,0.125,0.006559917,0.533210814
urban,shc,all,2015,3531,7-180,1443,0.4086661,0.392418919,0.425113527
urban,shc,females,2015,899,7-180,250,0.278086763,0.249253448,0.30884426
urban,shc,males,2015,2626,7-180,1190,0.453160701,0.434013916,0.472445691
