"year","male15_29_low","male15_29_high","female15_29_low","female15_29_high"
2001,60210,62801,51560,53797
2002,72213,74415,60951,62987
2003,85107,88111,70701,73013
2004,98143,101858,79030,81650
2005,108611,112743,84583,87396
2006,117827,121833,87458,90025
2007,128737,132913,89704,92418
2008,139120,143721,92181,95433
2009,150266,155419,95725,99502
2010,156372,162363,99394,103470
2011,157550,163081,100962,104394
2012,153315,158749,99180,102732
2013,148919,154227,97241,100676
2014,146336,151208,95115,98790
2015,146606,151555,94428,97959
2016,150740,155642,93329,96620
2017,155852,163491,92924,98187
