"region","context","sex","year","diagnoses","retested","prop_retested","prop_lower","prop_upper"
"regional","gp","all","2014",NA,NA,NA,NA,NA
"regional","gp","female","2014",NA,NA,NA,NA,NA
"regional","gp","male","2014",NA,NA,NA,NA,NA
"regional","shc","all","2014",1239,263,0.21226795803067,0.190019567002273,0.236326484636449
"regional","shc","female","2014",530,104,0.19622641509434,0.163776721391044,0.233169234663943
"regional","shc","male","2014",709,159,0.22425952045134,0.194423480490783,0.25713545845666
"remote","gp","all","2014",NA,NA,NA,NA,NA
"remote","gp","female","2014",NA,NA,NA,NA,NA
"remote","gp","male","2014",NA,NA,NA,NA,NA
"remote","shc","all","2014",41,21,0.51219512195122,0.35365488547236,0.668486618235735
"remote","shc","female","2014",18,13,0.722222222222222,0.464058028536152,0.892874242068617
"remote","shc","male","2014",23,8,0.347826086956522,0.171895843607639,0.571788451045555
"urban","gp","all","2014",NA,NA,NA,NA,NA
"urban","gp","female","2014",NA,NA,NA,NA,NA
"urban","gp","male","2014",NA,NA,NA,NA,NA
"urban","shc","all","2014",3832,1260,0.328810020876827,0.313984980592412,0.343980948669429
"urban","shc","female","2014",1097,281,0.256153144940747,0.230765224658418,0.283272865161005
"urban","shc","male","2014",2731,975,0.357012083485903,0.339074394850101,0.375355553871277
