"year","mrate_all_adults","mrate_male_adults","mrate_female_adults","mrate_nsw","mrate_vic","mrate_qld","mrate_nt","mrate_wa","mrate_sa","mrate_tas","mrate_act","pstay_indigenous","pstay_non_indigenous","pstay_nsw","pstay_nsw_lower","pstay_nsw_upper","pstay_vic","pstay_vic_lower","pstay_vic_upper","drate_indigenous","drate_indigenous_lower","drate_indigenous_upper","drate_non_indigenous","drate_non_indigenous_lower","drate_non_indigenous_upper","drate_nsw","drate_nsw_lower","drate_nsw_upper","drate_vic","drate_vic_lower","drate_vic_upper","drate_qld","drate_qld_lower","drate_qld_upper"
1980,1.2499,1.2499,1,1.90429738594711,0.424307786490371,1.00334977944346,3.18508733540699,0.120500519330057,0.254551168559027,0.397955913782914,1.3479079249484,0,1,1.0130612244898,1.02666666666667,1,1.02040816326531,1.04166666666667,1,1.75,1.5,2,1,1,1,0,0,0,0,0,0,0,0,0
1981,1.2499,1.2499,1,1.85083208372724,0.458169992767951,1.00358540387464,3.06722281396937,0.189074566146692,0.276871024754352,0.399165913422701,1.34738267025437,0,1,0.917551020408163,0.831666666666667,1,1.02040816326531,1.04166666666667,1,1.75,2.55775016835433,3.08553988563379,1,1.70516677890289,1.5427699428169,1,1,1,1,1,1,1,0.586452898550725,0.648184782608696
1982,1.2499,1.2499,1,1.80096162550781,0.489755407481195,1.00380518563707,2.95728314379346,0.253037903015971,0.297690161832754,0.400294556373859,1.34689273208542,0,1,0.989183673469388,0.977916666666667,1,1.02040816326531,1.04166666666667,1,1.75,1.5,2,1,1,1,0,0,0,0,0,0,0,0,0
1983,1.240169381,1.2499,1,1.75433524401565,0.519286188801214,1.00401067058078,2.85449505670212,0.312840420435306,0.317155012616421,0.401349781023634,1.34643466442794,0,1,0.975918367346939,0.950833333333333,1,1.02040816326531,1.04166666666667,1,1.75,1.58030347026152,1.89801583123211,1,1.05353564684101,0.949007915616056,1,1,1,1,1,1,1,0.949184778890455,1.05373199058181
1984,1.235807895,1.2499,1,1.71064636932767,0.546956502542952,1.00420320977573,2.75818271779358,0.368875321835501,0.335393559110785,0.402338525507261,1.34600545547272,0,1.00892857142857,0.990856622903939,0.981332271762208,1,1.02040816326531,1.04166666666667,1,1.75,1.4585477662933,1.79563818844556,0.993303571428571,0.963683345586645,0.893810973266429,1,1,1,1,1,1,1,1.02842020992706,1.11381012771362
1985,1.235391781,1.2499,1,1.66962588026629,0.572936796388302,1.00438398925327,2.66775284810962,0.421487779271319,0.352518149806019,0.403266880438913,1.3456024613151,0,1.00377358490566,0.993091535099981,0.985895217495794,1,1.02040816326531,1.04166666666667,1,1.75,9.04952609847983,11.3343132208701,0.997169811320755,6.01025129559415,5.6564638621135,1,1,1,1,1,1,1,0.165754536058189,0.176455331789962
1986,1.236048319,1.2499,1,1.63103655570532,0.597377314147314,1.00455405445952,2.58268249251199,0.470982050119813,0.368627816058981,0.404140214486976,1.34522335144341,0,1.00349116299367,0.992906916653823,0.985518288168222,1,1.02040816326531,1.04166666666667,1,1.75,19.3454709890678,24.2231504047857,0.997381627754746,12.8519551977704,12.090433460822,1,1,1,1,1,1,1,0.077537528078156,0.0825656434682776
1987,1.236375068,1.2499,1,1.59466848404628,0.620411003162517,1.00471433048606,2.50250889985045,0.517627364838542,0.383810188473025,0.404963278264418,1.3448660636407,0,1.00443681122084,0.992030920327875,0.983729795669412,1,1.02040816326531,1.04166666666667,1,1.75,23.8199140030344,29.7284699984781,0.996672391584371,15.8094863608709,14.8312600969221,1,1,1,1,1,1,1,0.0629725195401175,0.0672755779258869
1988,1.236578904,1.2499,1,1.56033524322838,0.642155933696576,1.00486563890484,2.42682110177604,0.561662826445649,0.398143091607549,0.405740290780904,1.34452876645633,0,1.00443534629819,0.991681085033196,0.983015548609442,1,1.02040816326531,1.04166666666667,1,1.75,27.4699014197816,34.1726262648662,0.996673490276356,18.2320419294718,17.0484212745822,1,1,1,1,1,1,1,0.054605219621204,0.0585263767700598
1989,1.235863902,1.2499,1,1.52787070448578,0.662717323270077,1.00500871185415,2.35525286660823,0.603301509987744,0.411695878295314,0.406475011778511,1.34420982780535,0,1.00511170011359,0.991432021599676,0.982507044099338,1,1.02040816326531,1.04166666666667,1,1.75,19.4593764075947,24.1255230104504,0.996166224914805,12.9066039406677,12.0319308955469,1,1,1,1,1,1,1,0.0770836623220142,0.0828997572045864
