"year","mrate_all_adults","mrate_male_adults","mrate_female_adults","mrate_nsw","mrate_vic","mrate_qld","mrate_nt","mrate_wa","mrate_sa","mrate_tas","mrate_act","pstay_indigenous","pstay_non_indigenous","non_aborig_migration","pstay_nsw","pstay_nsw_lower","pstay_nsw_upper","pstay_nswaus","pstay_nswaus_lower","pstay_nswaus_upper","pstay_nswos","pstay_nswos_lower","pstay_nswos_upper","pstay_aus","pstay_aus_lower","pstay_aus_upper","pstay_os","pstay_os_lower","pstay_os_upper","pstay_vic","pstay_vic_lower","pstay_vic_upper","drate_indigenous","drate_indigenous_lower","drate_indigenous_upper","drate_non_indigenous","drate_non_indigenous_lower","drate_non_indigenous_upper","drate_male","drate_female","drate_nsw","drate_nsw_lower","drate_nsw_upper","drate_vic","drate_vic_lower","drate_vic_upper","drate_qld","drate_qld_lower","drate_qld_upper"
1980,1.29953618070721,1.29953618070721,0.972959864802975,2.11353254988362,0.473585645030507,0.952491092736154,2.06853366455762,-0.43817794360313,0.255471376892542,0.375208947273749,1.5009875523261,1,1,1,1.0130612244898,1.02666666666667,1,1.0130612244898,1.00571428571429,1,0.917551020408163,0.81469387755102,1,1.01673469387755,1.0130612244898,1,0.968979591836735,0.917551020408163,1,1.02040816326531,1.04166666666667,1,1.75,1.5,2,1,1,1,1,0.580113702285648,0,0,0,0,0,0,0,0,0
1981,1.29603511351845,1.29603511351845,0.97277077163554,2.03973045972242,0.506427951908513,0.956630013203128,2.02623027816258,-0.321293437267243,0.279548984017963,0.37825875904293,1.48869455718318,1,1,1,0.917551020408163,0.831666666666667,1,1.0130612244898,1.00571428571429,1,0.917551020408163,0.81469387755102,1,1.01673469387755,1.0130612244898,1,0.968979591836735,0.917551020408163,1,1.02040816326531,1.04166666666667,1,1.75,1.5,2,1,1,1,1,0.583158385817588,1,1,1,1,1,1,1,0.401680067500496,0.433112728243033
1982,1.29253404632969,1.29253404632969,0.972581678468106,1.97171227707281,0.536696390417277,0.960444564358522,1.98724222977223,-0.213569229409471,0.301739616771668,0.381069555505611,1.47736497035013,1,1,1,0.989183673469388,0.977916666666667,1,1.0130612244898,1.00571428571429,1,0.917551020408163,0.81469387755102,1,1.01673469387755,1.0130612244898,1,0.968979591836735,0.917551020408163,1,1.02040816326531,1.04166666666667,1,1.75,1.5,2,1,1,1,1,0.586235197561262,0,0,0,0,0,0,0,0,0
1983,1.28903297914093,1.28903297914093,0.972392585300671,1.9088237088947,0.564682124299817,0.963971439835943,1.95119447836495,-0.113969079473135,0.322256735378556,0.383668374793222,1.46688980817695,1,1,1,0.975918367346939,0.950833333333333,1,1.0130612244898,1.00571428571429,1,0.917551020408163,0.81469387755102,1,1.01673469387755,1.0130612244898,1,0.968979591836735,0.917551020408163,1,1.02040816326531,1.04166666666667,1,1.75,1.5,2,1,1,1,1,0.589344648750589,1,1,1,1,1,1,1,0.148927217248436,0.164287894831242
1984,1.2765636566443,1.28553191195217,0.972203492133237,1.85050556356122,0.590633996684658,0.967241999853816,1.91776649508569,-0.0216073643396096,0.341282773645975,0.386078325048109,1.45717592777381,1,0.99981778425656,1.00892857142857,0.990856622903939,0.981332271762208,1,1.0130612244898,1.00571428571429,1,0.917551020408163,0.81469387755102,1,1.01673469387755,1.0130612244898,1,0.968979591836735,0.917551020408163,1,1.02040816326531,1.04166666666667,1,1.75,1.5,2,0.993303571428571,0.991071428571429,0.995535714285714,1.0161235979121,0.602040287896731,1,1,1,1,1,1,1,0.036214311555813,0.0399992419866467
1985,1.26924177824464,1.28203084476341,0.972014398965802,1.79627707798548,0.614765949599814,0.970283206252627,1.88668270634858,0.0642773274356535,0.358974578415295,0.388319273416548,1.44814324986003,1,0.99992298806315,1.00377358490566,0.993091535099981,0.985895217495794,1,1.0130612244898,1.00571428571429,1,0.917551020408163,0.81469387755102,1,1.01673469387755,1.0130612244898,1,0.968979591836735,0.917551020408163,1,1.02040816326531,1.04166666666667,1,1.75,1.5,2,0.997169811320755,0.99622641509434,0.99811320754717,1.02333293918036,0.609562151048584,1,1,1,1,1,1,1,0.033870822698293,0.0371749179237746
1986,1.26636220212076,1.27852977757466,0.971825305798368,1.74572263356494,0.637262935445064,0.9731183674825,1.8577048794112,0.144343234326277,0.375467743426516,0.39040839500161,1.43972254607836,1,0.999928767318446,1.00349040139616,0.992906916653823,0.985518288168222,1,1.0130612244898,1.00571428571429,1,0.917551020408163,0.81469387755102,1,1.01673469387755,1.0130612244898,1,0.968979591836735,0.917551020408163,1,1.02040816326531,1.04166666666667,1,1.75,1.5,2,0.99738219895288,0.996509598603839,0.99825479930192,1.02384305648304,0.613153106050449,1,1,1,1,1,1,1,0.0443792880031718,0.0480991376821208
1987,1.26374952371362,1.2750287103859,0.971636212630933,1.69848108368729,0.65828566630657,0.975767737131152,1.83062600489681,0.219162324462211,0.390880091172569,0.392360613895364,1.43185366130936,1,0.99990946578975,1.00443617630223,0.992030920327875,0.983729795669412,1,1.0130612244898,1.00571428571429,1,0.917551020408163,0.81469387755102,1,1.01673469387755,1.0130612244898,1,0.968979591836735,0.917551020408163,1,1.02040816326531,1.04166666666667,1,1.75,1.5,2,0.996672867773326,0.995563823697768,0.997781911848884,1.0225514305322,0.615698115686535,1,1,1,1,1,1,1,0.0434778092357578,0.0470431212250327
1988,1.26005915765788,1.27152764319714,0.971447119463499,1.65423711281502,0.677974459208173,0.978248998517979,1.80526534381836,0.289233980731709,0.405314491959927,0.394188960257738,1.42448407437967,1,0.99990949302168,1.00443484193768,0.991681085033196,0.983015548609442,1,1.0130612244898,1.00571428571429,1,0.917551020408163,0.81469387755102,1,1.01673469387755,1.0130612244898,1,0.968979591836735,0.917551020408163,1,1.02040816326531,1.04166666666667,1,1.75,1.5,2,0.996673868546736,0.995565158062315,0.997782579031158,1.02182233003967,0.618611411817209,1,1,1,1,1,1,1,0.0424112922730721,0.0458909195202689
1989,1.25656219523923,1.26802657600838,0.971258026296064,1.61271418984448,0.696452371902672,0.98057765987914,1.78146438844112,0.354996160941397,0.418861162844189,0.395904861513245,1.41756772432397,1,0.999895699335952,1.00511073253833,0.991417500962649,0.982477397798742,1,1.0130612244898,1.00571428571429,1,0.917551020408163,0.81469387755102,1,1.01673469387755,1.0130612244898,1,0.968979591836735,0.917551020408163,1,1.02040816326531,1.04166666666667,1,1.75,1.5,2,0.996166950596252,0.99488926746167,0.997444633730835,1.02130193418214,0.621683670673327,1,1,1,1,1,1,1,0.0620258778174354,0.0672556147790641
