year,mrate_all_adults,mrate_male_adults,mrate_female_adults,mrate_nsw,mrate_vic,mrate_qld,mrate_nt,mrate_wa,mrate_sa,mrate_tas,mrate_act,pstay_indigenous,pstay_non_indigenous,non_aborig_migration,pstay_nsw,pstay_nsw_lower,pstay_nsw_upper,pstay_vic,pstay_vic_lower,pstay_vic_upper,pstay_aus,pstay_aus_lower,pstay_aus_upper,pstay_os,pstay_os_lower,pstay_os_upper,drate_indigenous,drate_indigenous_lower,drate_indigenous_upper,drate_non_indigenous,drate_non_indigenous_lower,drate_non_indigenous_upper,drate_male,drate_female,drate_nsw,drate_nsw_lower,drate_nsw_upper,drate_vic,drate_vic_lower,drate_vic_upper,drate_qld,drate_qld_lower,drate_qld_upper
1980,1.299536181,1.299536181,0.972959865,1.751531562,0.57338828,1.002285754,1.038396023,0.260276122,0.391078016,0.450375622,1.598909013,1,1,1,1.013061224,1.026666667,1,1.020408163,1.041666667,1,1.013061224,1.026666667,1,0.91755102,0.831666667,1,1.75,1.5,2,1,1,1,1,0.580113702,0,0,0,0,0,0,0,0,0
1981,1.296035114,1.296035114,0.972770772,1.717751832,0.591798991,1.002534612,1.064391128,0.306847384,0.40116719,0.448477109,1.584968744,1,1,1,0.91755102,0.831666667,1,1.020408163,1.041666667,1,1.013061224,1.026666667,1,0.91755102,0.831666667,1,1.75,1.5,2,1,1,1,1,0.583158386,1,1,1,1,1,1,1,0.401680068,0.433112728
1982,1.292534046,1.292534046,0.972581678,1.68524552,0.609515662,1.002774088,1.089406277,0.351663018,0.410876025,0.446650166,1.57155399,1,1,1,1.013061224,1.026666667,1,1.020408163,1.041666667,1,1.013061224,1.026666667,1,0.91755102,0.831666667,1,1.75,1.5,2,1,1,1,1,0.586235198,0,0,0,0,0,0,0,0,0
1983,1.289032979,1.289032979,0.972392585,1.653941949,0.626576811,1.003004704,1.11349586,0.394820462,0.420225632,0.44489082,1.558635586,1,1,1,0.998367347,0.996666667,1,1.020408163,1.041666667,1,1.013061224,1.026666667,1,0.91755102,0.831666667,1,1.75,1.5,2,1,1,1,1,0.589344649,1,1,1,1,1,1,1,0.148927217,0.164287895
1984,1.276563657,1.285531912,0.972203492,1.62377558,0.64301816,1.003226942,1.136710313,0.436410075,0.429235584,0.443195388,1.546186484,1,0.999817784,1.008928571,1.006767916,1.013817829,1,1.020408163,1.041666667,1,1.013061224,1.026666667,1,0.91755102,0.831666667,1,1.75,1.5,2,0.993303571,0.991071429,0.995535714,1.016123598,0.602040288,1,1,1,1,1,1,1,0.036214312,0.039999242
1985,1.269241778,1.282030845,0.972014399,1.594685549,0.65887288,1.00344125,1.159096471,0.476515767,0.43792406,0.441560449,1.534181566,1,0.999922988,1.003773585,1.007178646,1.014656401,1,1.020408163,1.041666667,1,1.013061224,1.026666667,1,0.91755102,0.831666667,1,1.75,1.5,2,0.997169811,0.996226415,0.998113208,1.023332939,0.609562151,1,1,1,1,1,1,1,0.033870823,0.037174918
1986,1.266362202,1.278529778,0.971825306,1.566615261,0.674171818,1.003648046,1.18069789,0.515215566,0.446307964,0.439982823,1.522597478,1,0.999928767,1.003490401,1.006780964,1.013844468,1,1.020408163,1.041666667,1,1.013061224,1.026666667,1,0.91755102,0.831666667,1,1.75,1.5,2,0.997382199,0.996509599,0.998254799,1.023843056,0.613153106,1,1,1,1,1,1,1,0.044379288,0.048099138
1987,1.263749524,1.27502871,0.971636213,1.539512018,0.688943694,1.003847718,1.201555121,0.552582123,0.454403036,0.438459547,1.511412471,1,0.999909466,1.004436176,1.005844438,1.011932393,1,1.020408163,1.041666667,1,1.013061224,1.026666667,1,0.91755102,0.831666667,1,1.75,1.5,2,0.996672868,0.995563824,0.997781912,1.022551431,0.615698116,1,1,1,1,1,1,1,0.043477809,0.047043121
1988,1.260060478,1.271527643,0.971447119,1.513326695,0.703215283,1.004040627,1.22170597,0.588683169,0.462223948,0.43698786,1.500606273,1,0.999909503,1.004434338,1.005617809,1.011469693,1,1.020408163,1.041666667,1,1.013061224,1.026666667,1,0.91755102,0.831666667,1,1.75,1.5,2,0.996674247,0.995565662,0.997782831,1.02182233,0.618611412,1,1,1,1,1,1,1,0.042412015,0.045891685
1989,1.256563291,1.268026576,0.971258026,1.488013435,0.717011578,1.004227111,1.241185724,0.623581923,0.469784396,0.435565186,1.490159959,1,0.999895709,1.005110249,1.005285843,1.010791929,1,1.020408163,1.041666667,1,1.013061224,1.026666667,1,0.91755102,0.831666667,1,1.75,1.5,2,0.996167313,0.994889751,0.997444876,1.021301934,0.621683671,1,1,1,1,1,1,1,0.062026709,0.067256534
