"year","mrate_all_adults","mrate_male_adults","mrate_female_adults","mrate_nsw","mrate_vic","mrate_qld","mrate_nt","mrate_wa","mrate_sa","mrate_tas","mrate_act","pstay_indigenous","pstay_non_indigenous","non_aborig_migration","pstay_aus","pstay_aus_lower","pstay_aus_upper","pstay_os","pstay_os_lower","pstay_os_upper","pstay_nsw","pstay_nsw_lower","pstay_nsw_upper","pstay_vic","pstay_vic_lower","pstay_vic_upper","pstay_qld","pstay_qld_lower","pstay_qld_upper","pstay_wa","pstay_wa_lower","pstay_wa_upper","pstay_sa","pstay_sa_lower","pstay_sa_upper","pstay_act","pstay_act_lower","pstay_act_upper","pstay_tas","pstay_tas_lower","pstay_tas_upper","pstay_nt","pstay_nt_lower","pstay_nt_upper","drate_indigenous","drate_indigenous_lower","drate_indigenous_upper","drate_non_indigenous","drate_non_indigenous_lower","drate_non_indigenous_upper","drate_male","drate_female","drate_nsw","drate_nsw_lower","drate_nsw_upper","drate_vic","drate_vic_lower","drate_vic_upper","drate_qld","drate_qld_lower","drate_qld_upper"
1980,1.29953618070721,1.29953618070721,0.972959864802975,1.74588719306182,0.593787210198456,0.983643226443793,1.07889329566887,0.246002054416337,0.420359059813442,0.481652156906992,1.50354065794988,1,1,1,1,1,1,0.916650450258524,0.831998565125022,1,1,1,1,1,1,1,0.916650450258524,0.831998565125022,1,0.916650450258524,0.831998565125022,1,0.916650450258524,0.831998565125022,1,0.916650450258524,0.831998565125022,1,0.916650450258524,0.831998565125022,1,0.916650450258524,0.831998565125022,1,1.7,1.5,1.9,1,1,1,1,0.580113702285648,0,0,0,0,0,0,0,0,0
1981,1.29603511351845,1.29603511351845,0.97277077163554,1.71228654324001,0.611158363339278,0.984908044143943,1.10278116285702,0.293525726456636,0.428891855499756,0.478042117785853,1.49473407845926,1,1,1,1.0909283901164,1.20192514977443,1,1,1,1,1,1,1,1.0909283901164,1.20192514977443,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.7,1.5,1.9,1,1,1,1,0.583158385817588,1,1,1,1,1,1,1,1,1
1982,1.29253404632969,1.29253404632969,0.972581678468106,1.67996642505928,0.627867496210934,0.986124659232125,1.12575865569424,0.339238255972302,0.437099463580438,0.474569658424175,1.48626312056368,1,1,1,1,1,1,0.916650450258524,0.831998565125022,1,1,1,1,1,1,1,0.916650450258524,0.831998565125022,1,0.916650450258524,0.831998565125022,1,0.916650450258524,0.831998565125022,1,0.916650450258524,0.831998565125022,1,0.916650450258524,0.831998565125022,1,0.916650450258524,0.831998565125022,1,1.7,1.5,1.9,1,1,1,1,0.586235197561262,0,0,0,0,0,0,0,0,0
1983,1.28903297914093,1.28903297914093,0.972392585300671,1.64885500510399,0.643951745870923,0.987295775708889,1.14787684304681,0.383241241822423,0.445000125960407,0.471227061071193,1.47810895704735,1,1,1,1,1,1,0.916650450258524,0.831998565125022,1,1,1,1,1,1,1,0.916650450258524,0.831998565125022,1,1,1,1,1,1,1,0.916650450258524,0.831998565125022,1,0.916650450258524,0.831998565125022,1,0.916650450258524,0.831998565125022,1,1.7,1.5,1.9,1,1,1,1,0.589344648750589,1,1,1,1,1,1,1,1,1
1984,1.2765636566443,1.28553191195217,0.972203492133237,1.61888572414688,0.659445522681394,0.988423899040323,1.16918304417756,0.425628823224626,0.452610745178453,0.468007174632649,1.47025414303557,1,0.999912531693559,1.00892857142857,1.0020287930866,1.00409772937546,1,0.918510144354838,0.835407870085676,1,1.00018646995281,1.00037662953819,1,0.998973232767147,0.997926149157541,1,1.0020287930866,1.00409772937546,1,1.0020287930866,1.00409772937546,1,1.0020287930866,1.00409772937546,1,1.0020287930866,1.00409772937546,1,1.0020287930866,1.00409772937546,1,1.0020287930866,1.00409772937546,1,1.7,1.5,1.9,0.99375,0.991964285714286,0.995535714285714,1.0161235979121,0.602040287896731,1,1,1,1,1,1,1,1,1
1985,1.26924177824464,1.28203084476341,0.972014398965802,1.58999682181906,0.674380756049444,0.989511354050744,1.18972116667453,0.466488352046626,0.459947005116057,0.464903363601515,1.46268249141288,1,0.999962016522172,1.00377358490566,1.0022958938433,1.00463847683939,1,0.918754982383734,0.835857771199758,1,0.999306671022717,0.998599242550963,1,1.0002015534446,1.00040720566736,1,1.00136766149375,1.00276313566561,1,0.999874418148823,0.999746282473021,1,1.0022958938433,1.00463847683939,1,1.0022958938433,1.00463847683939,1,1.0022958938433,1.00463847683939,1,1.0022958938433,1.00463847683939,1,1.7,1.5,1.9,0.997358490566038,0.996603773584906,0.99811320754717,1.02333293918036,0.609562151048584,1,1,1,1,1,1,1,1,1
1986,1.26636759315996,1.27852977757466,0.971825305798368,1.56213091177594,0.688787114061395,0.990560300914585,1.20953200848019,0.50590099367758,0.467023478882848,0.461909462414029,1.45537896147597,1,0.999963827884196,1.00348887919756,1.00259578021289,1.00524594955305,1,0.919029873359438,0.836363187625879,1,0.999597900146395,0.999187375134139,1,1.00020362639075,1.00041151934521,1,1.00160094798844,1.00323544048249,1,0.99702471975599,0.993987098757906,1,1.00259578021289,1.00524594955305,1,1.00259578021289,1.00524594955305,1,0.919029873359438,0.836363187625879,1,1.00259578021289,1.00524594955305,1,1.7,1.5,1.9,0.99755778456171,0.996860008722198,0.998255560401221,1.02384305648304,0.613153106050449,1,1,1,1,1,1,1,1,1
1987,1.26375116146398,1.2750287103859,0.971636212630933,1.53523460120982,0.702692200190523,0.991572749478918,1.22865352839311,0.543942265177293,0.473853725440382,0.459019734570285,1.44832955920961,1,0.999951831991861,1.00443554156532,1.00308372016938,1.00623515130811,1,0.919477143740261,0.83718620206671,1,0.999600112818171,0.999191445089722,1,0.999910331866965,0.999818694840557,1,1.00235353172896,1.00475874127107,1,1.00308372016938,1.00623515130811,1,1.00308372016938,1.00623515130811,1,1.00109308739726,1.00221017632618,1,1.00308372016938,1.00623515130811,1,1.00308372016938,1.00623515130811,1,1.7,1.5,1.9,0.996895120904278,0.996008012591215,0.997782229217341,1.0225514305322,0.615698115686535,1,1,1,1,1,1,1,1,1
1988,1.26006311685887,1.27152764319714,0.971447119463499,1.50925814940063,0.716121729822398,0.992550572116556,1.24712108881611,0.580682518210998,0.480450376312272,0.45622883594907,1.44152124779436,1,0.999950053399569,1.00454752160073,1.00320647092353,1.00648415903498,1,0.919589663274316,0.837393376138172,1,0.999568980650588,0.999128388163998,1,0.9996889369479,0.999370965042931,1,1.00320647092353,1.00648415903498,1,1.0017971988845,1.00363431437942,1,1.00320647092353,1.00648415903498,1,1.00320647092353,1.00648415903498,1,1.00320647092353,1.00648415903498,1,0.919589663274316,0.837393376138172,1,1.7,1.5,1.9,0.996816734879491,0.995907230559345,0.997726239199636,1.02182233003967,0.618611411817209,1,1,1,1,1,1,1,1,1
1989,1.25656438728144,1.26802657600838,0.971258026296064,1.48415516071063,0.729099688973147,0.993495515282542,1.26496767401706,0.616187373267726,0.486825213547371,0.453531781823361,1.43494186714181,1,0.999941336855947,1.00520488312672,1.0034917915795,1.00706319089949,1,0.919851202582085,0.837875129818605,1,0.999422589991837,0.998832015880078,1,0.999891646107143,0.99978082190402,1,1.0034917915795,1.00706319089949,1,0.99924607640197,0.998474964448687,1,1.0034917915795,1.00706319089949,1,1.00222450992803,1.00449973542857,1,1.0034917915795,1.00706319089949,1,1.0034917915795,1.00706319089949,1,1.7,1.5,1.9,0.996356581811299,0.995315605185956,0.997397558436642,1.02130193418214,0.621683670673327,1,1,1,1,1,1,1,1,1
