"year","migrationrate","migrationrate_lower","migrationrate_upper","propstay","propstay_lower","propstay_upper","deathrate","deathrate_lower","deathrate_upper"
1980,0.00131857617421201,0,0.00263715234842402,0.98,0.96,1,0,0,0
1981,0.00131857617421201,0,0.00263715234842402,0.98,0.96,1,0.61731884057971,0.586452898550725,0.648184782608696
1982,0.00147165677353577,0,0.00294331354707153,0.98,0.96,1,0,0,0
1983,0.00167081129481352,0,0.00334162258962705,0.98,0.96,1,1.00136563614227,0.949184778890455,1.05373199058181
1984,0.00142435404300312,0,0.00284870808600623,0.98,0.96,1,1.0715543934601,1.02842020992706,1.11381012771362
1985,0.00117039858832698,0,0.00234079717665396,0.98,0.96,1,0.17120522273524,0.165754536058189,0.176455331789962
1986,0.00116551640338864,0,0.00233103280677727,0.98,0.96,1,0.0800979233322089,0.077537528078156,0.0825656434682776
1987,0.00124613890599983,0,0.00249227781199967,0.98,0.96,1,0.0651592961542522,0.0629725195401175,0.0672755779258869
1988,0.00121890693651532,0,0.00243781387303065,0.98,0.96,1,0.0565940084000231,0.054605219621204,0.0585263767700598
1989,0.00146722597990178,0,0.00293445195980356,0.98,0.96,1,0.080027724323203,0.0770836623220142,0.0828997572045864
1990,0.00176880666063746,0,0.00353761332127493,0.98,0.96,1,0.0892980201710278,0.0857774282391403,0.0927533101217312
1991,0.0017198937037793,0,0.00343978740755859,0.98,0.96,1,0.0913423632119727,0.0874238411447831,0.0952180161718667
1992,0.0016027673766554,0,0.00320553475331081,0.98,0.96,1,0.0926606587184612,0.0883462475822598,0.0969612250062801
1993,0.0015841671327365,0,0.003168334265473,0.98,0.96,1,0.100642753921034,0.095590368613896,0.105716687971008
1994,0.00151061006571517,0,0.00302122013143034,0.98,0.96,1,0.107376913803702,0.101516339981019,0.113315050177888
1995,0.00153811206595107,0,0.00307622413190213,0.98,0.96,1,0.0955388719284525,0.0898452896691273,0.1013665509785
1996,0.00155482144948748,0,0.00310964289897496,0.98,0.96,1,0.0770274101765833,0.072108228794196,0.0821047780829467
1997,0.00163911363822504,0,0.00327822727645008,0.98,0.96,1,0.0395905933775625,0.0369361793115604,0.0423466267956662
1998,0.00178769802872078,0,0.00357539605744156,0.98,0.96,1,0.0278822171293783,0.0259705829840992,0.0298713262508689
1999,0.00202175460814696,0,0.00404350921629391,0.98,0.96,1,0.0245515248906661,0.0228387669912661,0.0263361354161536
2000,0.0022903671462715,0,0.004580734292543,0.98,0.96,1,0.0243447651582062,0.0226184821096807,0.0261454582731447
2001,0.00245532178358907,0,0.00491064356717815,0.98,0.96,1,0.0218336289949126,0.0202500423953907,0.0234887353423001
2002,0.00250287662491244,0,0.00500575324982488,0.98,0.96,1,0.0190629817064623,0.0176519757450549,0.0205400386974153
2003,0.00272908543863202,0,0.00545817087726403,0.98,0.96,1,0.0170497437106866,0.0157713636580008,0.0183885213536554
2004,0.00308540311003645,0,0.0061708062200729,0.98,0.96,1,0.00821799307958477,0.00509858349301905,0.0130624472019807
2005,0.00317061091813655,0,0.0063412218362731,0.98,0.96,1,0.0113735783027122,0.00759575839298068,0.0168718438010168
2006,0.00336443300795776,0,0.00672886601591551,0.98,0.96,1,0.0120950323974082,0.00820446125101963,0.0176792450789682
2007,0.00356726153223042,0,0.00713452306446085,0.98,0.96,1,0.0109519797809604,0.00731380260092902,0.0162483451494219
2008,0.00369768050988039,0,0.00739536101976078,0.98,0.96,1,0.00915903413821815,0.00589061066800285,0.0140787551286989
2009,0.00378265005300787,0,0.00756530010601573,0.98,0.96,1,0.00668058455114823,0.00395739083938856,0.0110819552152855
2010,0.00397790611410935,0,0.0079558122282187,0.98,0.96,1,0.0101010101010101,0.0066879252344497,0.0151088872439266
2011,0.00390802999143262,0,0.00781605998286524,0.98,0.96,1,0.00832012678288431,0.00529163799218971,0.0129246693458025
2012,0.00389297091663213,0,0.00778594183326427,0.98,0.96,1,0.00704776820673453,0.00431107065242294,0.0113521793947764
2013,0.0039513454994922,0,0.0079026909989844,0.98,0.96,1,0.00560672807368843,0.00319350494683849,0.00963924707351775
2014,0.00357877811258097,0,0.00715755622516193,0.98,0.96,1,0.00837520938023451,0.00526362792759613,0.0131543095343316
2015,0.00374014036094318,0,0.00748028072188635,0.98,0.96,1,0.00442282176028306,0.00224908660201263,0.00840751845448758
