"year","cumunique_female","annunique_female","cumunique_male","annunique_male","cumunique_all","annunique_all","migrationrate","migrationrate_lower","migrationrate_upper","propstay","propstay_lower","propstay_upper","deathrate","deathrate_lower","deathrate_upper"
1980,0,0,1,1,1,1,0.00131857617421201,0,0.00263715234842402,0.99298,0.98596,1,0,0,0
1981,0,0,1,1,1,1,0.00131857617421201,0,0.00263715234842402,0.9143,0.8286,1,0.413956094420725,0.394662641356917,0.433112728243033
1982,0,0,1,1,1,1,0.00147165677353577,0,0.00294331354707153,0.99298,0.98596,1,0,0,0
1983,0,0,0.962442442524841,0.953053053156051,0.962442442524841,0.953053053156051,0.00167081129481352,0,0.00334162258962705,0.99298,0.98596,1,0.163188370550631,0.15527912440062,0.171073288290407
1984,0.728768175211071,0.728768175211071,0.910490467538892,0.907983132838798,0.904412081897778,0.901725491128006,0.00142435404300312,0,0.00284870808600623,0.991068744939271,0.982137489878542,1,0.0415010562266226,0.0394210379754166,0.0435816248400327
1985,0.824789467284209,0.841293126859279,0.929867331044963,0.935219130070292,0.922667094415587,0.927592635042408,0.00117039858832698,0,0.00234079717665396,0.990885590062112,0.981771180124224,1,0.0367047506475879,0.0349028930279651,0.0385031662423186
1986,0.866752452685228,0.920551151917305,0.918588522621461,0.903065467034753,0.910184677517258,0.89307604528393,0.00116551640338864,0,0.00233103280677727,0.990577557251908,0.981155114503817,1,0.0470136243047659,0.0447956098613939,0.0492186241660368
1987,0.895852451257528,0.959538513706742,0.849701349683829,0.719727816075022,0.838754076272937,0.702894136189134,0.00124613890599983,0,0.00249227781199967,0.990106521084337,0.980213042168675,1,0.0457570334900061,0.0435702152708025,0.0479340989245688
1988,0.913906893603493,0.992819006778554,0.844201781331718,0.823095157685052,0.835486905907943,0.822862602796069,0.00121890693651532,0,0.00243781387303065,0.989985340469819,0.979970680939637,1,0.0444660746938731,0.0422946471830794,0.0466327519121908
1989,0.9248728984156,0.984438242735906,0.847559872289618,0.864083341048899,0.840469881297044,0.865114126320525,0.00146722597990178,0,0.00293445195980356,0.989713605243991,0.979427210487982,1,0.0649332417301871,0.0616701459725251,0.0681989994181954
1990,0.93429406806778,0.979483746229932,0.852599595214836,0.887734362598478,0.846917210981298,0.890804514774301,0.00176880666063746,0,0.00353761332127493,0.989506634433466,0.979013268866933,1,0.0755476667768683,0.071552721094252,0.079567882015687
1991,0.932360829540938,0.91913747801734,0.8525342997242,0.851994320109193,0.846163059649947,0.839998758264365,0.0017198937037793,0,0.00343978740755859,0.989212932782576,0.978425865565152,1,0.0794018430827927,0.0749116440470618,0.0839546511671191
1992,0.938152035325388,0.985446882565061,0.859304306642109,0.934503909346637,0.853959489285636,0.938807735058113,0.0016027673766554,0,0.00320553475331081,0.988935764139591,0.977871528279182,1,0.0816943646851029,0.076754637046844,0.0867427007874491
1993,0.943245262794578,0.999270764955675,0.86499835499948,0.943557204880889,0.859448062203091,0.934053664018219,0.0015841671327365,0,0.003168334265473,0.988691574222507,0.977383148445014,1,0.0905048837704613,0.0846613837931106,0.0965260382515968
1994,0.950588641722134,1.02479541825322,0.861999513049348,0.814649873327306,0.859387936325378,0.858469540769042,0.00151061006571517,0,0.00302122013143034,0.988377515789474,0.976755031578947,1,0.0980098695016643,0.0911974777630573,0.105099542021593
1995,0.949529000617567,0.934819508968637,0.867493177999085,0.968055499713286,0.864259078930821,0.951704027995099,0.00153811206595107,0,0.00307622413190213,0.988075887662989,0.976151775325978,1,0.0870430908248889,0.0805215575082909,0.0939050324472832
1996,0.952112984816961,0.989106480127277,0.87314846606111,0.986738389894319,0.868898453401643,0.959784807844716,0.00155482144948748,0,0.00310964289897496,0.987557138942176,0.975114277884352,1,0.0703524256609102,0.0647561945459588,0.0762949163509377
1997,0.953753929188897,0.975815514633819,0.873568201232723,0.883532275929145,0.869357907707285,0.879756286335444,0.00163911363822504,0,0.00327822727645008,0.986903886193785,0.97380777238757,1,0.0367525933849918,0.0336901986284612,0.0400278956401172
