year,cumunique_female,annunique_female,cumunique_male,annunique_male,cumunique_all,annunique_all,migrationrate,migrationrate_lower,migrationrate_upper,propstay,propstay_lower,propstay_upper,deathrate,deathrate_lower,deathrate_upper
1980,0,0,1,1,1,1,0.001318576,0,0.002637152,0.9923077,0.9846154,1,0,0,0
1981,0,0,1,1,1,1,0.001318576,0,0.002637152,0.9095993,0.8191986,1,0.617318841,0.586452899,0.648184783
1982,0,0,1,1,1,1,0.001471657,0,0.002943314,0.9923077,0.9846154,1,0,0,0
1983,0,0,0.962442443,0.953053053,0.962442443,0.953053053,0.001670811,0,0.003341623,0.9923077,0.9846154,1,1.01394298,0.973224843,1.053862013
1984,0.728768175,0.728768175,0.910490468,0.907983133,0.904412082,0.901725491,0.001424354,0,0.002848708,0.99030669,0.980613381,1,1.113133484,1.056973215,1.169363239
1985,0.824789467,0.841293127,0.929794847,0.935123915,0.922601527,0.927507033,0.001170399,0,0.002340797,0.990036699,0.980073398,1,0.185178563,0.177259025,0.192979407
1986,0.866752453,0.920551152,0.917804383,0.901313389,0.909447147,0.891429305,0.001165516,0,0.002331033,0.989739956,0.979479911,1,0.082159636,0.07865766,0.085608468
1987,0.895852451,0.959538514,0.849497012,0.720528175,0.838574291,0.703687241,0.001246139,0,0.002492278,0.989258256,0.978516511,1,0.066013958,0.063086257,0.06890838
1988,0.913906894,0.992819007,0.843854004,0.822187073,0.835159951,0.821961345,0.001218907,0,0.002437814,0.989137007,0.978274013,1,0.057057528,0.054435027,0.059659449
1989,0.924872898,0.984438243,0.847270391,0.864086743,0.84019717,0.86511815,0.001467226,0,0.002934452,0.9888565,0.977713001,1,0.080496598,0.076655354,0.084322141
1990,0.934204952,0.978967177,0.852263721,0.887037218,0.846680042,0.890765235,0.001768807,0,0.003537613,0.988642194,0.977284389,1,0.089622605,0.085082979,0.094171761
1991,0.932259684,0.918954046,0.852161281,0.851314357,0.845882938,0.83936924,0.001719894,0,0.003439787,0.988336704,0.976673408,1,0.091545932,0.08655259,0.09659032
1992,0.938063089,0.985457562,0.858960435,0.934518968,0.853701642,0.938829657,0.001602767,0,0.003205535,0.988046577,0.976093154,1,0.092650496,0.08721606,0.098186559
1993,0.94316494,0.999285312,0.864676434,0.943571816,0.859207005,0.934070906,0.001584167,0,0.003168334,0.987790793,0.975581587,1,0.100739445,0.094416088,0.107234462
1994,0.950501125,1.024635199,0.861697929,0.814650661,0.859161888,0.858472493,0.00151061,0,0.00302122,0.987462233,0.974924465,1,0.107610173,0.100320833,0.11517284
1995,0.949344893,0.933080557,0.867262626,0.969279952,0.864150296,0.953920609,0.001538112,0,0.003076224,0.987146563,0.974293127,1,0.095701101,0.088671878,0.103079187
1996,0.951921571,0.988777862,0.872927888,0.986751834,0.868794712,0.959800033,0.001554821,0,0.003109643,0.986602892,0.973205784,1,0.077152354,0.071117362,0.083547203
1997,0.953556092,0.975513161,0.873645246,0.890702203,0.869258166,0.879761825,0.001639114,0,0.003278227,0.985928019,0.971856037,1,0.039647564,0.036411172,0.043098878
1998,0.956378926,0.993417923,0.873329697,0.864688803,0.869717746,0.881464336,0.001787698,0,0.003575396,0.985243933,0.970487866,1,0.027902392,0.025587705,0.030374643
1999,0.959878518,1.025110909,0.877985686,1.01459225,0.874217084,1.001267786,0.002021755,0,0.004043509,0.984692194,0.969384389,1,0.024426028,0.022378032,0.026614386
2000,0.956897346,0.90642303,0.878999408,0.908233563,0.874451727,0.880904411,0.002290367,0,0.004580734,0.983971196,0.967942392,1,0.024311402,0.022255492,0.02650798
