COUNTRY_NAME,REGION,COUNTRY_CODE,REGION_CODE
Afghanistan,Southern And Central Asia,7201,10
Albania,Southern And Eastern Europe,3201,11
Algeria,North Africa And The Middle East,4101,3
American Samoa,Oceania And Antarctica,1506,7
Andorra,Southern And Eastern Europe,3101,11
Angola,Sub-Saharan Africa,9201,12
Anguilla,Caribbean,8401,1
Antarctica,Oceania And Antarctica,1000,7
Antigua And Barbuda,Caribbean,8402,1
Argentina,South America,8201,8
Armenia,Southern And Central Asia,7202,10
Aruba,Caribbean,8403,1
Australia,Oceania And Antarctica,1100,7
Austria,North West Europe,2301,4
Azerbaijan,Southern And Central Asia,7203,10
Bahamas,Caribbean,8404,1
Bahrain,North Africa And The Middle East,4201,3
Bangladesh,Southern And Central Asia,7101,10
Barbados,Caribbean,8405,1
Belarus,Southern And Eastern Europe,3301,11
Belgium,North West Europe,2302,4
Belize,Central America,8301,2
Benin,Sub-Saharan Africa,9101,12
Bermuda,Northern America,8101,6
Bhutan,Southern And Central Asia,7102,10
Bolivia,South America,8202,8
Bosnia And Herzegovina,Southern And Eastern Europe,3202,11
Botswana,Sub-Saharan Africa,9202,12
Bouvet Island,Oceania And Antarctica,29,7
Brazil,South America,8203,8
British Indian Ocean Territory,Southern And Central Asia,9299,10
Brunei Darussalam,South-East Asia,5201,9
Bulgaria,North West Europe,3203,4
Burkina Faso,Sub-Saharan Africa,9102,12
Burundi,Sub-Saharan Africa,9203,12
Cambodia,South-East Asia,5102,9
Cameroon,Sub-Saharan Africa,9103,12
Canada,Northern America,8102,6
Cape Verde,Sub-Saharan Africa,9104,12
Cayman Islands,Caribbean,8406,1
Central African Republic,Sub-Saharan Africa,9105,12
Chad,Sub-Saharan Africa,9106,12
Chile,South America,8204,8
China,North-East Asia,6101,5
Christmas Island,Oceania And Antarctica,1101,7
Cocos (Keeling) Islands,Oceania And Antarctica,1101,7
Colombia,South America,8205,8
Comoros,Sub-Saharan Africa,9204,12
Congo (Rc),Sub-Saharan Africa,9107,12
"Congo, (Zaire) The Democratic Republic Of The",Sub-Saharan Africa,9108,12
Cook Islands,Oceania And Antarctica,1501,7
Costa Rica,Central America,8302,2
"Cote D""+B104ivoire",Sub-Saharan Africa,9111,12
Croatia,Southern And Eastern Europe,3204,11
Cuba,Caribbean,8407,1
Cyprus,Southern And Eastern Europe,3205,11
Czech Republic,Southern And Eastern Europe,3302,11
Denmark,North West Europe,2401,4
Djibouti,Sub-Saharan Africa,9205,12
Dominica,Caribbean,8408,1
Dominican Republic,Caribbean,8411,1
East Timor,South-East Asia,5206,9
Ecuador,South America,8206,8
Egypt,North Africa And The Middle East,4102,3
El Salvador,Central America,8303,2
Equatorial Guinea,Sub-Saharan Africa,9112,12
Eritrea,Sub-Saharan Africa,9206,12
Estonia,Southern And Eastern Europe,3303,11
Ethiopia,Sub-Saharan Africa,9207,12
Falkland Islands (Malvinas),South America,8207,8
Faroe Islands,North West Europe,2402,4
Fiji,Oceania And Antarctica,1502,7
Finland,North West Europe,2403,4
France,North West Europe,2303,4
French Guiana,South America,8208,8
French Polynesia,Oceania And Antarctica,1503,7
French Southern Territories,Oceania And Antarctica,9299,7
Gabon,Sub-Saharan Africa,9113,12
Gambia,Sub-Saharan Africa,9114,12
Georgia,Southern And Central Asia,7204,10
Germany,North West Europe,2304,4
Ghana,Sub-Saharan Africa,9115,12
Gibraltar,Southern And Eastern Europe,3102,11
Greece,Southern And Eastern Europe,3207,11
Greenland,North West Europe,2404,4
Grenada,Caribbean,8412,1
Guadeloupe,Caribbean,8413,1
Guam,Oceania And Antarctica,1401,7
Guatemala,Central America,8304,2
Guinea,Sub-Saharan Africa,9116,12
Guinea-Bissau,Sub-Saharan Africa,9117,12
Guyana,South America,8211,8
Haiti,Caribbean,8414,1
Heard Island And Mcdonald Islands,Oceania And Antarctica,1199,7
Holy See (Vatican City State),Southern And Eastern Europe,3103,11
Honduras,Central America,8305,2
Hong Kong,North-East Asia,6102,5
Hungary,Southern And Eastern Europe,3304,11
Iceland,North West Europe,2405,4
India,Southern And Central Asia,7103,10
Indonesia,South-East Asia,5202,9
"Iran, Islamic Republic Of",North Africa And The Middle East,4203,3
Iraq,North Africa And The Middle East,4204,3
Ireland,North West Europe,2201,4
Israel,North Africa And The Middle East,4205,3
Italy,North West Europe,3104,4
Jamaica,Caribbean,8415,1
Japan,North-East Asia,6201,5
Jordan,North Africa And The Middle East,4206,3
Kazakstan,Southern And Central Asia,7205,10
Kenya,Sub-Saharan Africa,9208,12
