parameter,value,source,description,citation,Notes
linkedDiagnoses,19772,2003 linkage,Number of HIV/AIDS diagnoses used in 2003 linkage study,"Nakhaee F, Black D, Wand H, McDonald A, Law M. Changes in mortality following HIV and AIDS and estimation of the number of people living with diagnosed HIV/AIDS in Australia, 1981-2003. Sexual Health. CSIRO; 2009;6(2):129–34. ",
notifiedDeaths,6900,2003 linkage,Number of know deaths in the HIV/AIDS notifications registry ,"Nakhaee F, Black D, Wand H, McDonald A, Law M. Changes in mortality following HIV and AIDS and estimation of the number of people living with diagnosed HIV/AIDS in Australia, 1981-2003. Sexual Health. CSIRO; 2009;6(2):129–34. ",
linkedDeaths,1619,2003 linkage,Number of linked deaths in NDI,"Nakhaee F, Black D, Wand H, McDonald A, Law M. Changes in mortality following HIV and AIDS and estimation of the number of people living with diagnosed HIV/AIDS in Australia, 1981-2003. Sexual Health. CSIRO; 2009;6(2):129–34. ",
linkageYear,2003,2003 linkage,Number of HIV/AIDS diagnoses used in 2003 linkage study,"Nakhaee F, Black D, Wand H, McDonald A, Law M. Changes in mortality following HIV and AIDS and estimation of the number of people living with diagnosed HIV/AIDS in Australia, 1981-2003. Sexual Health. CSIRO; 2009;6(2):129–34. ",
linkageSensitivity,0.05,Assumption,,,
linkage1989,0.0299,2003 linkage,Standardised mortality ratio HIV without AIDS up to 1989,"Nakhaee F, Black D, Wand H, McDonald A, Law M. Changes in mortality following HIV and AIDS and estimation of the number of people living with diagnosed HIV/AIDS in Australia, 1981-2003. Sexual Health. CSIRO; 2009;6(2):129–34. ",
linkage1989-lowerCI,0.0249,2003 linkage,Standardised mortality ratio HIV without AIDS up to 1989 (lower CI),"Nakhaee F, Black D, Wand H, McDonald A, Law M. Changes in mortality following HIV and AIDS and estimation of the number of people living with diagnosed HIV/AIDS in Australia, 1981-2003. Sexual Health. CSIRO; 2009;6(2):129–34. ",
linkage1989-upperCI,0.0358,2003 linkage,Standardised mortality ratio HIV without AIDS up to 1989 (upper CI),"Nakhaee F, Black D, Wand H, McDonald A, Law M. Changes in mortality following HIV and AIDS and estimation of the number of people living with diagnosed HIV/AIDS in Australia, 1981-2003. Sexual Health. CSIRO; 2009;6(2):129–34. ",
linkage1989,0.0122,2003 linkage,Standardised mortality ratio HIV without AIDS up to 1990-1996,"Nakhaee F, Black D, Wand H, McDonald A, Law M. Changes in mortality following HIV and AIDS and estimation of the number of people living with diagnosed HIV/AIDS in Australia, 1981-2003. Sexual Health. CSIRO; 2009;6(2):129–34. ",
linkage1996-lowerCI,0.0112,2003 linkage,Standardised mortality ratio HIV without AIDS up to 1990-1996 (lower CI),"Nakhaee F, Black D, Wand H, McDonald A, Law M. Changes in mortality following HIV and AIDS and estimation of the number of people living with diagnosed HIV/AIDS in Australia, 1981-2003. Sexual Health. CSIRO; 2009;6(2):129–34. ",
