stage,year,population,value,lower,upper
infected,1980,all,609.6148520806379,296.187483,911.672600135846
infected,1981,all,761.0500695183475,406.8550506311275,1156.999552
infected,1982,all,1220.197025467782,214.98517834172102,2317.1267947974984
infected,1983,all,2182.5824373122186,838.1035405632406,3662.6693077974983
infected,1984,all,4962.119550583742,4547.254695192837,5295.202752944491
infected,1985,all,10759.472285343254,7511.4145277332245,14815.965575495735
infected,1986,all,13067.182541727236,9463.554697807378,17473.98731294612
infected,1987,all,14212.31269966302,10980.057371558456,18241.946406189392
infected,1988,all,14515.836030851595,11921.129315989969,17784.637437228354
infected,1989,all,14953.31161173257,12667.887618279185,17823.07555465611
infected,1990,all,14885.83581252821,12923.930269931305,17338.22148587395
infected,1991,all,14534.346243855412,12870.473385157668,16604.85231649224
infected,1992,all,14214.048717349111,12757.942901664906,16024.321965908312
infected,1993,all,13853.90696551775,12513.910316823094,15510.486831760132
infected,1994,all,13390.443446716847,12129.912655598633,14997.353288977953
infected,1995,all,12950.707374595266,11764.375830083009,14482.60009159139
infected,1996,all,12687.910930298644,11556.521727468282,14174.659260407578
infected,1997,all,12464.068139544463,11427.024124977957,13851.293831862336
infected,1998,all,12621.662312461222,11606.527942341301,13964.522562781427
infected,1999,all,12989.713916191962,11950.235549994894,14347.351253037808
infected,2e3,all,13377.74668142097,12308.158642683587,14755.412873317888
infected,2001,all,13829.970253682684,12733.098115805586,15231.304394826222
infected,2002,all,14447.308715039551,13310.386056628562,15876.693396350975
infected,2003,all,15062.578484522219,13897.833066536783,16517.0677412396
infected,2004,all,15773.068667254658,14581.023967152707,17278.7272400374
infected,2005,all,16608.84527091371,15314.97984831503,18237.101080168726
infected,2006,all,17502.339194523196,16067.0955839861,19274.461156693815
infected,2007,all,18353.104798643344,16786.445831727226,20292.43953400902
infected,2008,all,19032.332973124416,17346.88905506317,21095.556226537945
infected,2009,all,19903.025107918595,18061.580721628245,22067.239661486863
infected,2010,all,20817.97206617852,18810.353566513484,23114.99161204431
infected,2011,all,21698.02307030882,19514.05644710645,24145.07728358039
infected,2012,all,22657.33207881183,20305.50110995865,25265.482733938697
infected,2013,all,23536.14941192068,20995.88202463844,26297.829522587665
infected,2014,all,24531.20506795904,21813.993589439273,27478.235258508354
infected,2015,all,25404.12859359765,22484.471345140413,28588.831925366572
infected,2016,all,26443.794510772546,23324.92383990739,29830.791448832602
pldhiv,1980,all,2,2,2
pldhiv,1981,all,2.956703823279705,2.9134076465594094,3
pldhiv,1982,all,3.697193232964734,3.602080962819093,3.794959797498512
pldhiv,1983,all,23.65039252773423,23.508829455905072,23.794959797498514
pldhiv,1984,all,550.7835358404882,550.0354277325094,551.5373047249722
pldhiv,1985,all,2502.069157073075,2488.7164947332244,2515.4334485768923
pldhiv,1986,all,4110.496239177775,4050.2656728073775,4170.8497809189075
pldhiv,1987,all,5590.102995173497,5484.644401558456,5696.225441890632
pldhiv,1988,all,6793.024774800636,6640.180510989969,6947.410687272814
pldhiv,1989,all,8000.739628952494,7803.4751352791845,8200.709679442505
pldhiv,1990,all,8832.365422713541,8582.922037931305,9086.459072323445
pldhiv,1991,all,9376.729621997732,9072.775725157668,9688.049941112264
pldhiv,1992,all,9787.081846688248,9430.881934664907,10153.791583295344
pldhiv,1993,all,9976.167261435698,9569.467404823094,10396.791619253478
pldhiv,1994,all,9936.080438709012,9482.068084598634,10407.92082532155
pldhiv,1995,all,9837.55210922407,9339.860326083008,10357.292137595967
pldhiv,1996,all,9832.53290545803,9292.156893468282,10399.058039492447
pldhiv,1997,all,9843.331317460286,9262.345117977957,10454.32732001091
pldhiv,1998,all,10130.035706926215,9513.8066213413,10779.57790415239
pldhiv,1999,all,10549.8505287968,9898.239163994893,11238.196734920222
pldhiv,2e3,all,10950.786778158827,10259.754144683588,11682.441439964723
pldhiv,2001,all,11388.591488225436,10654.866598805585,12167.502384154675
pldhiv,2002,all,11958.160730638023,11177.898677628562,12788.649699148871
pldhiv,2003,all,12513.910468381648,11682.768167536784,13400.625913286416
pldhiv,2004,all,13158.12208562686,12272.427806152707,14105.479824679094
pldhiv,2005,all,13907.81975234278,12909.18957831503,14958.909942088121
pldhiv,2006,all,14711.801215554158,13589.6929389861,15879.082487539656
pldhiv,2007,all,15487.216056217205,14232.259138727226,16781.883412243435
pldhiv,2008,all,16133.737996049731,14741.90121206317,17561.326559103145
pldhiv,2009,all,16985.363990379457,15458.045763472806,18545.287468308277
pldhiv,2010,all,17888.90844462632,16221.22050779016,19585.23947061886
pldhiv,2011,all,18774.830781987894,16954.56450812212,20624.73443221451
pldhiv,2012,all,19745.411302206332,17772.10394503568,21749.175597006557
pldhiv,2013,all,20650.871211212696,18521.793843801064,22811.12732470436
pldhiv,2014,all,21665.19629715877,19379.321549085544,23982.08431187434
pldhiv,2015,all,22576.61453182507,20125.82736687441,25060.61699370206
pldhiv,2016,all,23647.715703261198,21034.53037770606,26290.655684128815
retained,2013,all,19618.32765065206,16928.919573234172,22537.393796807908
retained,2014,all,20581.936482300833,17712.69989586419,23694.299300131846
retained,2015,all,21447.783805233816,18395.006213323213,24759.889589777635
retained,2016,all,22465.329918098138,19225.56076522334,25975.167815919267
numART,2e3,all,6389.29388164494,3913.49977663269,9063.6629471676
numART,2001,all,6940.78435305918,4127.01133778362,9431.50688097606
numART,2002,all,6994.08826479438,4386.68563579818,9843.62868953052
numART,2003,all,7352.86459378134,4701.92314866548,10304.1733819218
numART,2004,all,7788.52156469408,5083.75968070192,10817.3551702417
numART,2005,all,8664.96088264794,5545.01693287378,11387.3641463244
numART,2006,all,9700.28686058175,6100.39832433939,12018.2483021301
numART,2007,all,10182.0722166499,6766.48863576439,12713.7698655887
numART,2008,all,10455.7673019057,7561.60235776682,13477.2366070616
numART,2009,all,11173.3199598796,8505.41237312661,14330.3267980849
numART,2010,all,12710.9327983952,9618.28170494234,15261.5903007248
numART,2011,all,13018.4553660983,10920.2228804267,16269.6000393154
numART,2012,all,14832.6418011437,12429.4307021889,17353.9510041544
numART,2013,all,16585.7171514544,15739.2376241691,17436.1491447139
