stage,year,population,value,lower,upper
pldhiv,1980,all,2.0,2.0,2.0
pldhiv,1981,all,2.956703823279705,2.9134076465594094,3.0
pldhiv,1982,all,3.697193232964734,3.602080962819093,3.794959797498512
pldhiv,1983,all,23.65039252773423,23.508829455905072,23.794959797498514
pldhiv,1984,all,550.7835358404882,550.0354277325094,551.5373047249722
pldhiv,1985,all,2502.069157073075,2488.7164947332244,2515.4334485768923
pldhiv,1986,all,4110.496239177775,4050.2656728073775,4170.8497809189075
pldhiv,1987,all,5590.102995173497,5484.644401558456,5696.225441890632
pldhiv,1988,all,6793.024774800636,6640.180510989969,6947.410687272814
pldhiv,1989,all,8000.739628952494,7803.4751352791845,8200.709679442505
pldhiv,1990,all,8832.365422713541,8582.922037931305,9086.459072323445
pldhiv,1991,all,9376.729621997732,9072.775725157668,9688.049941112264
pldhiv,1992,all,9787.081846688248,9430.881934664907,10153.791583295344
pldhiv,1993,all,9976.167261435698,9569.467404823094,10396.791619253478
pldhiv,1994,all,9936.080438709012,9482.068084598634,10407.92082532155
pldhiv,1995,all,9837.55210922407,9339.860326083008,10357.292137595967
pldhiv,1996,all,9832.53290545803,9292.156893468282,10399.058039492447
pldhiv,1997,all,9843.331317460286,9262.345117977957,10454.32732001091
pldhiv,1998,all,10130.035706926215,9513.8066213413,10779.57790415239
pldhiv,1999,all,10549.8505287968,9898.239163994893,11238.196734920222
pldhiv,2000,all,10950.786778158827,10259.754144683588,11682.441439964723
pldhiv,2001,all,11388.591488225436,10654.866598805585,12167.502384154675
pldhiv,2002,all,11958.160730638023,11177.898677628562,12788.649699148871
pldhiv,2003,all,12513.910468381648,11682.768167536784,13400.625913286416
pldhiv,2004,all,13158.12208562686,12272.427806152707,14105.479824679094
pldhiv,2005,all,13907.81975234278,12909.18957831503,14958.909942088121
pldhiv,2006,all,14711.801215554158,13589.6929389861,15879.082487539656
pldhiv,2007,all,15487.216056217205,14232.259138727226,16781.883412243435
pldhiv,2008,all,16133.737996049731,14741.90121206317,17561.326559103145
pldhiv,2009,all,16985.363990379457,15458.045763472806,18545.287468308277
pldhiv,2010,all,17888.90844462632,16221.22050779016,19585.23947061886
pldhiv,2011,all,18774.830781987894,16954.56450812212,20624.73443221451
pldhiv,2012,all,19745.411302206332,17772.10394503568,21749.175597006557
pldhiv,2013,all,20650.871211212696,18521.793843801064,22811.12732470436
pldhiv,2014,all,21665.19629715877,19379.321549085544,23982.08431187434
pldhiv,2015,all,22576.61453182507,20125.82736687441,25060.61699370206
pldhiv,2016,all,23647.715703261198,21034.53037770606,26290.655684128815
retained,2013,all,19618.32765065206,16928.919573234172,22537.393796807908
retained,2014,all,20581.936482300833,17712.69989586419,23694.299300131846
retained,2015,all,21447.783805233816,18395.006213323213,24759.889589777635
retained,2016,all,22465.329918098138,19225.56076522334,25975.167815919267
