stage,year,population,value,lower,upper
infected,1980,all,609.6148520806379,296.187483,911.672600135846
infected,1981,all,761.0500695183475,406.8550506311275,1156.999552
infected,1982,all,1220.197025467782,214.98517834172102,2317.1267947974984
infected,1983,all,2182.5824373122186,838.1035405632406,3662.6693077974983
infected,1984,all,4962.119550583742,4547.254695192837,5295.202752944491
infected,1985,all,10759.472285343254,7511.4145277332245,14815.965575495735
infected,1986,all,13067.182541727236,9463.554697807378,17473.98731294612
infected,1987,all,14212.31269966302,10980.057371558456,18241.946406189392
infected,1988,all,14515.836030851595,11921.129315989969,17784.637437228354
infected,1989,all,14953.31161173257,12667.887618279185,17823.07555465611
infected,1990,all,14885.83581252821,12923.930269931305,17338.22148587395
infected,1991,all,14534.346243855412,12870.473385157668,16604.85231649224
infected,1992,all,14214.048717349111,12757.942901664906,16024.321965908312
infected,1993,all,13853.90696551775,12513.910316823094,15510.486831760132
infected,1994,all,13390.443446716847,12129.912655598633,14997.353288977953
infected,1995,all,12950.707374595266,11764.375830083009,14482.60009159139
infected,1996,all,12687.910930298644,11556.521727468282,14174.659260407578
infected,1997,all,12464.068139544463,11427.024124977957,13851.293831862336
infected,1998,all,12621.662312461222,11606.527942341301,13964.522562781427
infected,1999,all,12989.713916191962,11950.235549994894,14347.351253037808
infected,2e3,all,13377.74668142097,12308.158642683587,14755.412873317888
infected,2001,all,13829.970253682684,12733.098115805586,15231.304394826222
infected,2002,all,14447.308715039551,13310.386056628562,15876.693396350975
infected,2003,all,15062.578484522219,13897.833066536783,16517.0677412396
infected,2004,all,15773.068667254658,14581.023967152707,17278.7272400374
infected,2005,all,16608.84527091371,15314.97984831503,18237.101080168726
infected,2006,all,17502.339194523196,16067.0955839861,19274.461156693815
infected,2007,all,18353.104798643344,16786.445831727226,20292.43953400902
infected,2008,all,19032.332973124416,17346.88905506317,21095.556226537945
infected,2009,all,19903.025107918595,18061.580721628245,22067.239661486863
infected,2010,all,20817.97206617852,18810.353566513484,23114.99161204431
infected,2011,all,21698.02307030882,19514.05644710645,24145.07728358039
infected,2012,all,22657.33207881183,20305.50110995865,25265.482733938697
infected,2013,all,23536.14941192068,20995.88202463844,26297.829522587665
infected,2014,all,24531.20506795904,21813.993589439273,27478.235258508354
infected,2015,all,25404.12859359765,22484.471345140413,28588.831925366572
infected,2016,all,26443.794510772546,23324.92383990739,29830.791448832602
