parameter,value
linkedDiagnoses,19772.0
notifiedDeaths,6900.0
linkedDeaths,1619.0
linkageYear,2003.0
linkageSensitivity,0.05
linkage1989,0.0299
linkage1989-lowerCI,0.0249
linkage1989-upperCI,0.0358
linkage1989,0.0122
linkage1996-lowerCI,0.0112
linkage1996-upperCI,0.0133
linkage2003,0.0161
linkage2003-lowerCI,0.0152
linkage2003-upperCI,0.0171
vicClinicRetained,0.95
vicClinicRetainedLower,0.914
vicClinicRetainedUpper,0.988
ahodMortality,0.0108
ahodMortalityLower,0.008
ahodMortalityUpper,0.015
aborigMortality,1.75
aborigMortalityMin,1.5
aborigMortalityMax,2.0
