year,pldhiv,duplicates,deaths,emigrants,diag_departs,inter_departs,inter_arrivals
1980,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1981,3.0,0.0,1.205040202501488,0.0,0.0,0.0,-0.0
1982,3.794959797498512,0.0,0.0,0.0,0.0,0.0,-0.0
1983,23.794959797498514,0.0,3.5437171471798616,0.0,0.0,0.0,-0.0
1984,551.5373047249722,8.713937925346496,19.973543787963514,0.0,0.0,0.0,-0.0
1985,2515.4334485768923,111.13031236011629,85.19980034610364,0.0,0.0,0.0,-0.0
1986,4170.8497809189075,199.3838673118808,185.0993436453662,0.0,0.0,0.0,-0.0
1987,5696.225441890632,708.5249953829091,247.65940312639108,0.0,0.0,0.0,-0.0
1988,6947.410687272814,315.1553514914272,294.64866519899203,0.0,0.0,0.0,-0.0
1989,8200.709679442505,239.05234263131638,508.6562165933606,0.0,0.0,0.0,-0.0
1990,9086.459072323445,165.5943905256997,655.4340988371129,0.0,0.0,0.0,-0.0
1991,9688.049941112264,234.97503237406787,732.9224694267671,0.0,0.0,0.0,-0.0
1992,10153.791583295344,58.33588839015317,787.0061746175755,0.0,0.0,0.0,-0.0
1993,10396.791619253478,65.99378942429018,891.4134796431533,0.0,0.0,0.0,-0.0
1994,10407.92082532155,146.45731428877494,961.5707397660683,0.0,0.0,0.0,-0.0
1995,10357.292137595967,40.05794795951458,845.7086862610638,0.0,0.0,0.0,-0.0
1996,10399.058039492447,35.52541184245663,683.5328592531401,0.0,0.0,0.0,-0.0
1997,10454.32732001091,96.19786022839604,357.87048383862935,0.0,0.0,0.0,-0.0
1998,10779.57790415239,88.87893201989188,261.4411563747646,0.0,0.0,0.0,-0.0
1999,11238.196734920222,4.940012857401357,239.41911188713553,0.0,0.0,0.0,-0.0
2000,11682.441439964723,90.33618306836422,248.00496069775403,0.0,0.0,0.0,-0.0
2001,12167.502384154675,51.93409511229364,230.86299979752923,0.0,0.0,0.0,-0.0
2002,12788.649699148871,11.989685208274565,210.01937517395547,0.0,0.0,0.0,-0.0
2003,13400.625913286416,56.00441068849996,197.8346885427229,0.0,0.0,0.0,-0.0
2004,14105.479824679094,16.311400064597983,71.57703124553326,0.0,0.0,0.0,-0.0
2005,14958.909942088121,51.99285134543954,112.83338180934362,0.0,0.0,0.0,-0.0
2006,15879.082487539656,-14.005927260877602,129.16175721648102,0.0,0.0,0.0,-0.0
2007,16781.883412243435,20.03731807974275,121.61082928478443,0.0,0.0,0.0,-0.0
2008,17561.326559103145,113.94602385550411,102.38006305815766,0.0,0.0,0.0,-0.0
2009,18545.287468308277,-12.340972263289178,72.27334009240604,0.0,0.0,0.0,-0.0
2010,19585.23947061886,-49.22534240298754,128.43847634574794,0.0,0.0,0.0,-0.0
2011,20624.73443221451,-22.93343794139914,106.93309366415298,0.0,0.0,0.0,-0.0
2012,21749.175597006557,25.625741543800714,91.46790200052351,0.0,0.0,0.0,-0.0
2013,22811.12732470436,85.58037030167137,70.36555850744001,0.0,0.0,0.0,-0.0
2014,23982.08431187434,97.67745432257968,142.5709235823497,0.0,0.0,0.0,-0.0
2015,25060.61699370206,26.896394589930544,52.09782852244549,0.0,0.0,0.0,-0.0
2016,26290.655684128815,-15.136518949198695,41.92356733149419,0.0,0.0,0.0,-0.0
