year,pldhiv,pldhiv_lower,pldhiv_upper,undiagnosed,undiagnosed_lower,undiagnosed_upper,percent,percent_lower,percent_upper,pnumber,pnumber_lower,pnumber_upper,undiag,undiag_lower,undiag_upper,plhiv,plhiv_lower,plhiv_upper,undiag_percent,uplower,upupper
1980,2,2,2,306.615586,294.187483,321.590506,99.780368,99.780129,99.780623,908.6141181612758,907.6242796912995,909.672600135846,607.6148520806379,294.187483,909.672600135846,609.6148520806379,296.187483,911.672600135846,99.67192400362721,99.32475201863949,99.780623
1981,2.956703823279705,2.9134076465594094,3,1102.492083,1060.411499,1153.999552,99.290365,99.28392,99.296231,413.69464839013557,403.9416429845681,423.27623552614654,758.0933656950679,403.9416429845681,1153.999552,761.0500695183475,406.8550506311275,1156.999552,99.61149680662261,99.28392,99.740708629073
1982,3.697193232964734,3.602080962819093,3.794959797498512,2214.998726,2136.239504,2313.331835,98.33233,98.324498,98.340425,218.0009384696345,211.38309737890194,224.87562137530222,1216.4998322348172,211.38309737890194,2313.331835,1220.197025467782,214.98517834172102,2317.1267947974984,99.69700030767184,98.324498,99.83622131486204
1983,23.65039252773423,23.508829455905072,23.794959797498514,3492.729175,3378.62962,3638.874348,97.213619,97.194997,97.232648,825.1349145689691,814.5947111073356,836.0508349369085,2158.9320447844843,814.5947111073356,3638.874348,2182.5824373122186,838.1035405632406,3662.6693077974983,98.91640324216762,97.19499700000001,99.35033829707636
1984,550.7835358404882,550.0354277325094,551.5373047249722,4446.421011,4289.171338,4617.837835,88.821196,87.904011,89.584208,4376.251018486507,3997.2192674603275,4743.665448219519,4411.336014743254,3997.2192674603275,4743.665448219519,4962.119550583742,4547.254695192837,5295.202752944491,88.90023647705759,87.90401099999998,89.58420799999999
1985,2502.069157073075,2488.7164947332244,2515.4334485768923,5202.346967,5022.698033,5391.446164,81.888132,80.626854,83.022143,11312.459289540358,10357.501123888054,12300.532126918843,8257.40312827018,5022.698033,12300.532126918843,10759.472285343254,7511.4145277332245,14815.965575495735,76.74542867235749,66.86753892300145,83.022143
1986,4110.496239177775,4050.2656728073775,4170.8497809189075,5643.271813,5413.289025,5831.372453,74.90631,73.201936,76.131093,12270.10079209892,11063.757761151797,13303.137532027213,8956.68630254946,5413.289025,13303.137532027213,13067.182541727236,9463.554697807378,17473.98731294612,68.5433625339526,57.20143432207573,76.131093
1987,5590.102995173497,5484.644401558456,5696.225441890632,5748.463912,5495.41297,5923.565114,67.282665,65.232189,68.774026,11495.955496979048,10290.41949751318,12545.72096429876,8622.209704489524,5495.41297,12545.72096429876,14212.31269966302,10980.057371558456,18241.946406189392,60.66718265137778,50.04903694068775,68.774026
1988,6793.024774800636,6640.180510989969,6947.410687272814,5559.426584,5280.948805,5737.125036,59.272529,56.914778,60.935888,9886.195928101919,8771.555120753947,10837.226749955538,7722.81125605096,5280.948805,10837.226749955538,14515.836030851595,11921.129315989969,17784.637437228354,53.20266252413633,44.29906483705862,60.935888
1989,8000.739628952494,7803.4751352791845,8200.709679442505,5157.160035,4864.412483,5348.709619,52.23075,49.69156,53.988246,8747.983930560153,7707.789247554361,9622.365875213603,6952.571982780077,4864.412483,9622.365875213603,14953.31161173257,12667.887618279185,17823.07555465611,46.495198945262366,38.39955507641917,53.988246
1990,8832.365422713541,8582.922037931305,9086.459072323445,4635.14791,4341.008232,4811.718353,45.827529,43.311229,47.5929,7471.792869629338,6557.505045822732,8251.762413550505,6053.470389814669,4341.008232,8251.762413550505,14885.83581252821,12923.930269931305,17338.22148587395,40.66597580446205,33.588917158581,47.59290000000001
1991,9376.729621997732,9072.775725157668,9688.049941112264,4072.949159,3797.69766,4245.764379,39.96593,37.561697,41.655308,6242.284084715358,5458.009528819635,6916.802375379977,5157.616621857679,3797.69766,6916.802375379977,14534.346243855412,12870.473385157668,16604.85231649224,35.485714564135485,29.507054995968797,41.65530799999999
1992,9787.081846688248,9430.881934664907,10153.791583295344,3561.088023,3327.060967,3722.929327,35.098615,32.810137,36.635125,5292.845718321725,4605.285894200746,5870.5303826129675,4426.966870660863,3327.060967,5870.5303826129675,14214.048717349111,12757.942901664906,16024.321965908312,31.145009832824623,26.07834972020309,36.635124999999995
1993,9976.167261435698,9569.467404823094,10396.791619253478,3144.061664,2944.442912,3287.219525,31.611934,29.594645,32.969276,4611.417744164106,4022.4921908967117,5113.695212506655,3877.739704082053,2944.442912,5113.695212506655,13853.90696551775,12513.910316823094,15510.486831760132,27.990224806141057,23.529359228678775,32.96927600000001
