run,year,N_HIV_Obs_M_LB,N_HIV_Obs_M_UB,N_CD4_1_Obs_M_LB,N_CD4_1_Obs_M_UB,N_CD4_2_Obs_M_LB,N_CD4_2_Obs_M_UB,N_CD4_3_Obs_M_LB,N_CD4_3_Obs_M_UB,N_CD4_4_Obs_M_LB,N_CD4_4_Obs_M_UB,N_AIDS_M_LB,N_AIDS_M_UB,N_HIVAIDS_Obs_M_LB,N_HIVAIDS_Obs_M_UB,N_Inf_M_LB,N_Inf_M_UB,N_Alive_LB,N_Alive_UB,N_Alive_Diag_M_LB,N_Alive_Diag_M_UB,N_Und_LB,N_Und_UB,N_Und_Alive_p_LB,N_Und_Alive_p_UB,delta1_LB,delta1_UB,delta2_LB,delta2_UB,delta3_LB,delta3_UB,delta4_LB,delta4_UB,t_diag_LB,t_diag_UB,t_diag_p50_LB,t_diag_p50_UB,t_diag_p25_LB,t_diag_p25_UB,t_diag_p75_LB,t_diag_p75_UB,D_Avg_Time_LB,D_Avg_Time_UB,N_Und_CD4_3_M_LB,N_Und_CD4_3_M_UB,N_Und_CD4_4_M_LB,N_Und_CD4_4_M_UB,Version,Timestamp
1,1980,0.496512,0.496512,0,0,0,0,0,0,0,0,0.496512,0.496512,0.496512,0.496512,228.333996,228.333996,228.312104,228.312104,0.496512,0.496512,227.815592,227.815592,99.782529,99.782529,0,0,0,0,0,0,0,0,11.567122,11.567122,10.8755,10.8755,6.3895,6.3895,17.2385,17.2385,0.5,0.5,24.743022,24.743022,5.694474,5.694474,ECDC HIV Modelling Tool v.1.3.0,2023/11/22 18:33:50
1,1981,6.315377,6.315377,0,0,0,0,0,0,0,0,6.315377,6.315377,6.315377,6.315377,619.091958,619.091958,845.808659,845.808659,5.494942,5.494942,840.313717,840.313717,99.350333,99.350333,0,0,0,0,0,0,0,0,11.567122,11.567122,10.8755,10.8755,6.3895,6.3895,17.2385,17.2385,1.147616,1.147616,121.720764,121.720764,33.096481,33.096481,ECDC HIV Modelling Tool v.1.3.0,2023/11/22 18:33:50
1,1982,22.663174,22.663174,0,0,0,0,0,0,0,0,22.663174,22.663174,22.663174,22.663174,917.928601,917.928601,1762.738001,1762.738001,28.158116,28.158116,1734.579884,1734.579884,98.402592,98.402592,0,0,0,0,0,0,0,0,11.567122,11.567122,10.8755,10.8755,6.3895,6.3895,17.2385,17.2385,1.65101,1.65101,288.794349,288.794349,89.538593,89.538593,ECDC HIV Modelling Tool v.1.3.0,2023/11/22 18:33:50
1,1983,51.667155,51.667155,0,0,0,0,0,0,0,0,51.667155,51.667155,51.667155,51.667155,1134.102158,1134.102158,2890.861222,2890.861222,76.124431,76.124431,2814.736791,2814.736791,97.366721,97.366721,0,0,0,0,0,0,0,0,11.567122,11.567122,10.8755,10.8755,6.3895,6.3895,17.2385,17.2385,2.148175,2.148175,514.854242,514.854242,177.509204,177.509204,ECDC HIV Modelling Tool v.1.3.0,2023/11/22 18:33:50
1,1984,548.782011,548.782011,38.24599,38.24599,17.02832,17.02832,10.473506,10.473506,21.040859,21.040859,97.735589,97.735589,75.301568,75.301568,1276.87086,1276.87086,4143.429113,4143.429113,603.92365,603.92365,3539.505463,3539.505463,85.424545,85.424545,0.138973,0.138973,0.128799,0.128799,0.087763,0.087763,0.63544,0.63544,5.20725,5.20725,4.1485,4.1485,1.9845,1.9845,7.4395,7.4395,2.313276,2.313276,721.179403,721.179403,195.324765,195.324765,ECDC HIV Modelling Tool v.1.3.0,2023/11/22 18:33:50
1,1985,715.728053,715.728053,24.945964,24.945964,11.110184,11.110184,7.283696,7.283696,11.676422,11.676422,153.783927,153.783927,88.750243,88.750243,1355.492942,1355.492942,5409.987006,5409.987006,1234.629808,1234.629808,4175.357198,4175.357198,77.178692,77.178692,0.160575,0.160575,0.142835,0.142835,0.096601,0.096601,0.621542,0.621542,4.877567,4.877567,3.8555,3.8555,1.8375,1.8375,6.9615,6.9615,2.621417,2.621417,915.912907,915.912907,240.000964,240.000964,ECDC HIV Modelling Tool v.1.3.0,2023/11/22 18:33:50
1,1986,894.621424,894.621424,18.56439,18.56439,8.284645,8.284645,5.729266,5.729266,8.273251,8.273251,220.146549,220.146549,108.715392,108.715392,1379.226634,1379.226634,6601.191886,6601.191886,1946.02293,1946.02293,4655.168956,4655.168956,70.520128,70.520128,0.182177,0.182177,0.156872,0.156872,0.10544,0.10544,0.607643,0.607643,4.589759,4.589759,3.6025,3.6025,1.7125,1.7125,6.5425,6.5425,2.914941,2.914941,1082.609559,1082.609559,289.991277,289.991277,ECDC HIV Modelling Tool v.1.3.0,2023/11/22 18:33:50
1,1987,1057.64636,1057.64636,17.501259,17.501259,7.842579,7.842579,5.690018,5.690018,7.660676,7.660676,293.947788,293.947788,128.977614,128.977614,1357.33017,1357.33017,7706.236837,7706.236837,2757.070919,2757.070919,4949.165918,4949.165918,64.222863,64.222863,0.203779,0.203779,0.170908,0.170908,0.114279,0.114279,0.593745,0.593745,4.336354,4.336354,3.3815,3.3815,1.6055,1.6055,6.1715,6.1715,3.193926,3.193926,1209.434185,1209.434185,335.596424,335.596424,ECDC HIV Modelling Tool v.1.3.0,2023/11/22 18:33:50
1,1988,1188.0497,1188.0497,32.152349,32.152349,14.493106,14.493106,10.994934,10.994934,13.963941,13.963941,371.7249,371.7249,146.445368,146.445368,1299.061781,1299.061781,8705.422391,8705.422391,3651.701425,3651.701425,5053.720966,5053.720966,58.052565,58.052565,0.225381,0.225381,0.184944,0.184944,0.123117,0.123117,0.579846,0.579846,4.11156,4.11156,3.1865,3.1865,1.5125,1.5125,5.8425,5.8425,3.45568,3.45568,1289.751759,1289.751759,371.855167,371.855167,ECDC HIV Modelling Tool v.1.3.0,2023/11/22 18:33:50
1,1989,1276.407619,1276.407619,43.238424,43.238424,19.630561,19.630561,15.534939,15.534939,18.716717,18.716717,449.959069,449.959069,159.520242,159.520242,1213.6797,1213.6797,9405.165704,9405.165704,4421.206183,4421.206183,4983.959521,4983.959521,52.991725,52.991725,0.246983,0.246983,0.198981,0.198981,0.131956,0.131956,0.565948,0.565948,3.910821,3.910821,3.0135,3.0135,1.4305,1.4305,5.5475,5.5475,3.699389,3.699389,1322.020118,1322.020118,396.255749,396.255749,ECDC HIV Modelling Tool v.1.3.0,2023/11/22 18:33:50
1,1990,1319.199001,1319.199001,41.047985,41.047985,18.785957,18.785957,15.478419,15.478419,17.757355,17.757355,525.319896,525.319896,167.461257,167.461257,1110.44216,1110.44216,9855.142904,9855.142904,5087.323884,5087.323884,4767.81902,4767.81902,48.378994,48.378994,0.268585,0.268585,0.213017,0.213017,0.140795,0.140795,0.552049,0.552049,3.730498,3.730498,2.8595,2.8595,1.3595,1.3595,5.2815,5.2815,3.925032,3.925032,1309.150775,1309.150775,407.941423,407.941423,ECDC HIV Modelling Tool v.1.3.0,2023/11/22 18:33:50
1,1991,1317.902778,1317.902778,39.88694,39.88694,18.40921,18.40921,15.764695,15.764695,17.272593,17.272593,594.880295,594.880295,170.145905,170.145905,998.607392,998.607392,10115.70126,10115.70126,5674.679657,5674.679657,4441.021604,4441.021604,43.902261,43.902261,0.290187,0.290187,0.227054,0.227054,0.149633,0.149633,0.538151,0.538151,3.567657,3.567657,2.7215,2.7215,1.2955,1.2955,5.0415,5.0415,4.132427,4.132427,1257.544178,1257.544178,407.340834,407.340834,ECDC HIV Modelling Tool v.1.3.0,2023/11/22 18:33:50
1,1992,1278.088822,1278.088822,108.668004,108.668004,50.575916,50.575916,44.9297,44.9297,47.129063,47.129063,656.285773,656.285773,167.938514,167.938514,887.433629,887.433629,10212.983794,10212.983794,6170.022086,6170.022086,4042.961708,4042.961708,39.586489,39.586489,0.311789,0.311789,0.24109,0.24109,0.158472,0.158472,0.524252,0.524252,3.419899,3.419899,2.5975,2.5975,1.2385,1.2385,4.8235,4.8235,4.320285,4.320285,1176.000801,1176.000801,395.897517,395.897517,ECDC HIV Modelling Tool v.1.3.0,2023/11/22 18:33:50
1,1993,1200.021728,1200.021728,178.678041,178.678041,84.147122,84.147122,76.876639,76.876639,77.560754,77.560754,707.821496,707.821496,161.762786,161.762786,786.179104,786.179104,10106.058457,10106.058457,6484.071777,6484.071777,3621.98668,3621.98668,35.839756,35.839756,0.333391,0.333391,0.255126,0.255126,0.167311,0.167311,0.510354,0.510354,3.285248,3.285248,2.4855,2.4855,1.1875,1.1875,4.6245,4.6245,4.487224,4.487224,1076.696003,1076.696003,377.361257,377.361257,ECDC HIV Modelling Tool v.1.3.0,2023/11/22 18:33:50
1,1994,1100.876206,1100.876206,272.686701,272.686701,129.950523,129.950523,120.998013,120.998013,117.858066,117.858066,748.58862,748.58862,153.310935,153.310935,704.002916,704.002916,9847.463495,9847.463495,6629.109852,6629.109852,3218.353643,3218.353643,32.682057,32.682057,0.348056,0.348056,0.266426,0.266426,0.172154,0.172154,0.486802,0.486802,3.20365,3.20365,2.4165,2.4165,1.1565,1.1565,4.5045,4.5045,4.624441,4.624441,971.06681,971.06681,354.915381,354.915381,ECDC HIV Modelling Tool v.1.3.0,2023/11/22 18:33:50
1,1995,1001.771065,1001.771065,194.434879,194.434879,93.204123,93.204123,88.014581,88.014581,82.662847,82.662847,778.581841,778.581841,143.54138,143.54138,646.688089,646.688089,9648.590577,9648.590577,6791.648902,6791.648902,2856.941676,2856.941676,29.609938,29.609938,0.362721,0.362721,0.277725,0.277725,0.176997,0.176997,0.46325,0.46325,3.127146,3.127146,2.3535,2.3535,1.1275,1.1275,4.3925,4.3925,4.719328,4.719328,867.583016,867.583016,330.42695,330.42695,ECDC HIV Modelling Tool v.1.3.0,2023/11/22 18:33:50
1,1996,910.842973,910.842973,227.610922,227.610922,109.034817,109.034817,103.596973,103.596973,93.471349,93.471349,798.435897,798.435897,133.28524,133.28524,613.011265,613.011265,9577.801829,9577.801829,7024.568641,7024.568641,2553.233188,2553.233188,26.65782,26.65782,0.377386,0.377386,0.289025,0.289025,0.18184,0.18184,0.439698,0.439698,3.055344,3.055344,2.2935,2.2935,1.1005,1.1005,4.2875,4.2875,4.755203,4.755203,772.940303,772.940303,305.974744,305.974744,ECDC HIV Modelling Tool v.1.3.0,2023/11/22 18:33:50
1,1997,833.929725,833.929725,240.605757,240.605757,114.435082,114.435082,108.264708,108.264708,93.310536,93.310536,809.32816,809.32816,123.377692,123.377692,600.194274,600.194274,9817.434558,9817.434558,7503.376759,7503.376759,2314.057799,2314.057799,23.570901,23.570901,0.39205,0.39205,0.300325,0.300325,0.186683,0.186683,0.416146,0.416146,2.987896,2.987896,2.2365,2.2365,1.0745,1.0745,4.1885,4.1885,4.718705,4.718705,691.559953,691.559953,283.396032,283.396032,ECDC HIV Modelling Tool v.1.3.0,2023/11/22 18:33:50
1,1998,774.486052,774.486052,222.380209,222.380209,104.429473,104.429473,97.247806,97.247806,79.475789,79.475789,812.785024,812.785024,114.515251,114.515251,605.452732,605.452732,10158.66856,10158.66856,8018.693258,8018.693258,2139.975302,2139.975302,21.06551,21.06551,0.406715,0.406715,0.311624,0.311624,0.191527,0.191527,0.392595,0.392595,2.924493,2.924493,2.1835,2.1835,1.0505,1.0505,4.0955,4.0955,4.604726,4.604726,625.799311,625.799311,264.123625,264.123625,ECDC HIV Modelling Tool v.1.3.0,2023/11/22 18:33:50
1,1999,733.997011,733.997011,192.936192,192.936192,89.134277,89.134277,80.822312,80.822312,62.094553,62.094553,810.530116,810.530116,107.21713,107.21713,626.002254,626.002254,10543.916696,10543.916696,8516.663542,8516.663542,2027.253154,2027.253154,19.226756,19.226756,0.42138,0.42138,0.322924,0.322924,0.19637,0.19637,0.369043,0.369043,2.864864,2.864864,2.1335,2.1335,1.0275,1.0275,4.0075,4.0075,4.420196,4.420196,576.332882,576.332882,249.149848,249.149848,ECDC HIV Modelling Tool v.1.3.0,2023/11/22 18:33:50
