run,year,N_HIV_M,Cum_HIV_M,N_HIV_Obs_M,N_HIV_D,N_CD4_1_M,N_CD4_1_Obs_M_NoW,N_CD4_1_Obs_M,N_CD4_1_D,N_CD4_2_M,N_CD4_2_Obs_M_NoW,N_CD4_2_Obs_M,N_CD4_2_D,N_CD4_3_M,N_CD4_3_Obs_M_NoW,N_CD4_3_Obs_M,N_CD4_3_D,N_CD4_4_M,N_CD4_4_Obs_M_NoW,N_CD4_4_Obs_M,N_CD4_4_D,N_HIVAIDS_M,N_HIVAIDS_Obs_M,N_HIVAIDS_D,N_AIDS_M,N_AIDS_D,N_Dead_D,Cum_Dead_D,N_Diag_Dead_M,Cum_Diag_Dead_M,N_Und_Dead_D,Cum_Und_Dead_D,N_Und_Dead_M,Cum_Und_Dead_M,N_Emig_D,Cum_Emig_D,Cum_Inf_M,Cum_Inf_D,N_Inf_M,N_Inf_D,delta1,delta2,delta3,delta4,t_diag,t_diag_p50,t_diag_p25,t_diag_p75,D_Avg_Time,t_diag_1,t_diag_2,t_diag_3,t_diag_4,t_diag_5,t_diag_6,t_diag_7,t_diag_8,t_diag_9,t_diag_10,t_diag_11,t_diag_12,t_diag_13,t_diag_14,t_diag_15,N_Alive,N_Alive_Diag_M,N_Und,N_Und_1,N_Und_2,N_Und_Inf_p,N_Und_Alive_p,N_Und_PrimInf,N_Und_CD4_1_M,N_Und_CD4_2_M,N_Und_CD4_3_M,N_Und_CD4_4_M,N_Und_HIVAIDS_M,N_Und_500,N_Und_350,N_Und_T_1,N_Und_T_1_p,N_Und_PrimInf_T_1,N_Und_CD4_1_T_1,N_Und_CD4_2_T_1,N_Und_CD4_3_T_1,N_Und_CD4_4_T_1,N_Und_CD4_5_T_1,N_Und_T_2,N_Und_T_2_p,N_Und_PrimInf_T_2,N_Und_CD4_1_T_2,N_Und_CD4_2_T_2,N_Und_CD4_3_T_2,N_Und_CD4_4_T_2,N_Und_CD4_5_T_2,N_Und_T_3,N_Und_T_3_p,N_Und_PrimInf_T_3,N_Und_CD4_1_T_3,N_Und_CD4_2_T_3,N_Und_CD4_3_T_3,N_Und_CD4_4_T_3,N_Und_CD4_5_T_3,LL_HIV,LL_CD4_1,LL_CD4_2,LL_CD4_3,LL_CD4_4,LL_AIDS,LL_HIVAIDS,Version,Timestamp
0,1980,0.512307,0.512307,0.512307,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.512307,0.512307,0,0.512307,0,0,0,0.049937,0.049937,0,0,0.022589,0.022589,0,0,235.534805,0,235.534805,0,0,0,0,0,11.567122,10.8755,6.3895,17.2385,0.5,1.19279,2.688429,3.724466,4.546088,5.15016,5.543558,5.745209,5.781735,5.683217,5.47992,5.200068,4.868552,4.506353,4.13046,3.754111,235.512216,0.512307,234.999909,0,234.999909,99.772902,99.782471,85.188116,83.360721,34.883706,25.525943,5.874793,0.16663,168.548838,31.567366,234.999909,100,85.188116,83.360721,34.883706,25.525943,5.874793,0.16663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.024615,1.024615,ECDC HIV Modelling Tool v.1.3.0,2023/11/22 18:33:50
0,1981,6.51325,7.025557,6.51325,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.51325,6.51325,0,6.51325,1,1.316947,1.316947,1.273058,1.322995,0,0,0.287181,0.309769,0,0,873.538553,0,638.003748,0,0,0,0,0,11.567122,10.8755,6.3895,17.2385,1.147776,1.19279,2.688429,3.724466,4.546088,5.15016,5.543558,5.745209,5.781735,5.683217,5.47992,5.200068,4.868552,4.506353,4.13046,3.754111,871.911837,5.70861,866.203227,0,866.20327,99.160274,99.345277,175.737015,367.734951,162.04068,125.492445,34.124897,1.073239,543.471966,160.690581,635.608537,73.378685,174.378217,253.40824,107.729271,80.091107,19.420022,0.58168,230.594733,26.62132,1.359253,114.326437,54.311305,45.401269,14.704865,0.491603,0,0,0,0,0,0,0,0,0,0,0,0,0,7.278822,13.026499,ECDC HIV Modelling Tool v.1.3.0,2023/11/22 18:33:50
0,1982,23.360227,30.385784,23.360227,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23.360227,23.360227,1,23.360227,1,0,1.316947,6.77054,8.093535,0,0,1.029993,1.339762,0,0,1818.37007,0,944.831517,0,0,0,0,0,11.567122,10.8755,6.3895,17.2385,1.651416,1.19279,2.688429,3.724466,4.546088,5.15016,5.543558,5.745209,5.781735,5.683217,5.47992,5.200068,4.868552,4.506353,4.13046,3.754111,1815.713361,29.068837,1786.644525,0,1786.644548,98.255276,98.39904,244.259306,786.669545,362.911555,297.536193,92.264653,3.003273,1030.928851,392.804119,941.00274,52.668717,241.455909,383.495978,163.479567,121.867693,29.803377,0.900215,845.641808,47.331285,2.80406,403.173167,199.431836,175.6684,62.461262,2.103083,0,0,0,0,0,0,0,0,0,0,0,0,0,38.418384,38.418384,ECDC HIV Modelling Tool v.1.3.0,2023/11/22 18:33:50
0,1983,53.22372,83.609503,53.22372,19.05918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,53.22372,53.22372,5.746486,53.22372,5.746486,3.70084,5.017787,19.800318,27.893853,0,0,2.346727,3.686489,0,0,2984.067877,0,1165.697807,0,0,0,0,0,11.567122,10.8755,6.3895,17.2385,2.148992,1.19279,2.688429,3.724466,4.546088,5.15016,5.543558,5.745209,5.781735,5.683217,5.47992,5.200068,4.868552,4.506353,4.13046,3.754111,2975.363601,78.591716,2896.771885,0,2896.771909,97.074598,97.358584,292.616981,1273.53169,611.734617,530.038826,182.794705,6.055066,1566.148671,718.888598,1160.820076,40.072885,288.722994,477.636865,203.84979,152.137644,37.340924,1.131858,1735.951833,59.927116,3.897402,795.892766,407.884052,377.900665,145.453707,4.923241,0,0,0,0,0,0,0,0,0,0,0,0,0,69.37208,69.37208,ECDC HIV Modelling Tool v.1.3.0,2023/11/22 18:33:50
0,1984,567.836279,651.445783,567.836279,465.83273,224.976182,224.976182,38.36781,10,79.257055,79.257055,13.516629,10,45.108473,45.108473,7.692874,8,145.521945,145.521945,24.817553,45,72.972624,72.972624,37.78481,101.480387,37.78481,20.982792,26.000579,43.785439,71.679292,0,0,3.217491,6.90398,0,0,4294.350189,0,1310.282312,0,0.147335,0.100266,0.063984,0.849861,5.327024,4.2385,2.0105,7.6185,2.321262,11.313499,13.59045,12.152656,10.682538,9.252651,7.8973,6.648371,5.527468,4.544489,3.699418,2.985112,2.390009,1.900327,1.501676,1.18013,4261.44563,625.445203,3636.000426,0,3636.000597,84.669397,85.323168,323.150351,1567.197774,802.383636,756.076854,180.982035,6.209776,1890.348125,943.268665,1244.605263,34.230064,318.481446,506.402287,219.535725,166.660395,32.521548,1.003862,2391.395334,65.769941,4.669037,1060.795468,582.847901,589.41645,148.460495,5.205984,0,0,0,0,0,0,0,0,0,29.842945,1.006546,0.012102,13.195123,52.731515,20.637428,ECDC HIV Modelling Tool v.1.3.0,2023/11/22 18:33:50
0,1985,728.811853,1380.257636,728.811853,1875.721239,301.141,301.141,27.346663,30,117.877162,117.877162,10.704444,29,70.640126,70.640126,6.414841,26,157.172892,157.172892,14.272896,76,81.980673,81.980673,102.791932,158.779683,116.682733,85.021895,111.022474,79.924933,151.604225,0,0,3.614671,10.518651,0,0,5682.614915,0,1388.264726,0,0.167846,0.122193,0.075621,0.807621,4.949758,3.9015,1.8455,7.0655,2.612527,12.486689,14.710577,12.852608,11.040335,9.352023,7.812744,6.442117,5.248952,4.231151,3.37822,2.674352,2.101158,1.639712,1.271919,0.981315,5561.07379,1269.235162,4291.838628,0,4291.838803,75.525769,77.176437,338.18893,1797.436417,956.651413,969.633511,222.346348,7.58201,2135.625347,1199.561869,1311.01798,30.546768,333.032452,534.035447,231.4604,176.417364,34.991114,1.081203,2847.402996,66.344596,5.156167,1219.472543,694.153566,747.622241,174.934564,6.063914,133.417827,3.10864,0,43.928674,31.037541,45.593968,12.42069,0.436955,0,0.249498,21.213824,33.60276,130.746182,12.30356,4.885351,ECDC HIV Modelling Tool v.1.3.0,2023/11/22 18:33:50
0,1986,915.53534,2295.792976,915.53534,1710.991518,373.37688,373.37688,22.798432,30,157.476204,157.476204,9.615514,7,99.13825,99.13825,6.053392,15,184.112269,184.112269,11.241915,43,101.431737,101.431737,155.147493,226.75407,208.646628,183.228302,294.250776,127.19685,278.801075,0,0,4.472303,14.990954,0,0,7091.939661,0,1409.324745,0,0.188356,0.14412,0.087257,0.765381,4.624052,3.6145,1.7085,6.5875,2.906961,13.638145,15.76651,13.472433,11.320466,9.386618,7.681202,6.207749,4.959837,3.922015,3.072747,2.387542,1.841491,1.410994,1.07478,0.81436,6782.69793,2001.5422,4781.15573,0,4781.15593,67.416757,70.490471,340.075946,1945.449782,1063.202676,1149.937634,273.152075,9.337617,2285.525728,1432.427326,1323.288583,27.67717,334.679524,539.141354,233.585637,178.72944,36.038343,1.114284,3049.100575,63.773296,5.396117,1279.673553,736.746143,823.321587,197.139477,6.823698,408.766772,8.549539,0,126.63511,92.870988,147.886671,39.974269,1.399734,0,2.067201,0.78648,9.329727,51.857211,1.486073,24.440817,ECDC HIV Modelling Tool v.1.3.0,2023/11/22 18:33:50
0,1987,1087.787153,3383.58013,1087.787153,1680.213513,434.674876,434.674876,20.841514,20,193.907693,193.907693,9.297362,15,127.950633,127.950633,6.134895,8,208.872825,208.872825,10.014901,30,122.381126,122.381126,157.710584,302.263889,267.757525,246.598371,540.849147,184.78089,463.581965,0,0,5.395998,20.386952,0,0,8475.081724,0,1383.142063,0,0.208867,0.166046,0.098894,0.723141,4.340528,3.3685,1.5935,6.1705,3.191601,14.768155,16.76062,14.017769,11.531404,9.366523,7.513011,5.954706,4.667859,3.622674,2.786326,2.125854,1.610287,1.211911,0.90683,0.675032,7913.845625,2842.730983,5071.114642,0,5071.114798,59.835584,64.079019,331.150143,2006.834209,1117.97923,1282.719839,321.404056,11.027165,2337.984352,1615.15106,1291.34138,25.464646,325.724096,525.940317,227.762725,174.939191,35.865657,1.109396,3089.289477,60.919338,5.426227,1280.323522,738.696947,846.033392,211.485065,7.324324,690.483941,13.616019,0,200.57029,151.519534,261.747246,74.053333,2.593537,0,0.034444,2.944308,0.516967,25.8572,4.098329,9.338657,ECDC HIV Modelling Tool v.1.3.0,2023/11/22 18:33:50
0,1988,1225.081408,4608.661538,1225.081408,1475.65455,480.063754,480.063754,33.103579,24,223.703586,223.703586,15.425846,9,154.399585,154.399585,10.646875,10,225.722207,225.722207,15.565043,45,141.192275,141.192275,199.490116,381.668383,434.136277,293.419194,834.268341,250.725716,714.307681,0,0,6.225415,26.612367,0,0,9794.478099,0,1319.396375,0,0.229377,0.187973,0.11053,0.6809,4.09193,3.1565,1.4955,5.8045,3.458784,15.876998,17.695166,14.493851,11.680817,9.300596,7.316928,5.69063,4.37891,3.336989,2.52079,1.88929,1.406028,1.039777,0.764571,0.55934,8933.597391,3774.393196,5159.204195,0,5159.204339,52.674621,57.750579,313.750875,1987.594698,1123.091276,1360.685088,361.632716,12.449543,2301.345573,1734.767346,1224.89071,23.741854,308.466976,498.523769,215.781122,166.361208,34.684503,1.073131,3030.502854,58.739735,5.283817,1242.872498,717.022485,838.100024,219.612297,7.611732,903.810776,17.518414,0,246.198511,190.287704,356.223887,107.33592,3.764753,0,2.770955,3.152935,0.040123,36.677229,6.903242,21.308674,ECDC HIV Modelling Tool v.1.3.0,2023/11/22 18:33:50
0,1989,1316.573145,5925.234682,1316.573145,1530.72937,506.88062,506.88062,42.884851,30,244.50422,244.50422,20.686384,9,176.179272,176.179272,14.905723,19,232.898296,232.898296,19.70446,54,156.110736,156.110736,206.937225,461.321755,529.897831,506.90286,1341.171202,322.378271,1036.685952,0,0,6.883196,33.495562,0,0,11022.245474,0,1227.767375,0,0.249887,0.2099,0.122167,0.63866,3.872569,2.9725,1.4105,5.4825,3.706473,16.964942,18.572287,14.905533,11.775632,9.196594,7.100344,5.421668,4.097407,3.067498,2.276895,1.677079,1.226747,0.891772,0.644648,0.463666,9647.57871,4584.063481,5063.515229,0,5063.51532,45.939053,52.484829,290.217324,1900.49591,1085.172639,1383.0893,391.038113,13.501944,2190.713234,1787.629357,1133.447184,22.384591,285.211408,460.855881,199.369579,154.28218,32.715796,1.012342,2880.957841,56.896399,5.006193,1169.565461,674.228914,803.422238,221.067253,7.667782,1049.110295,20.719011,0,270.074415,211.574094,425.384857,137.255058,4.82187,0,4.330427,8.392248,1.033809,40.287937,9.723304,14.997488,ECDC HIV Modelling Tool v.1.3.0,2023/11/22 18:33:50
