stage,year,value,lower,upper
pldhiv,1980,2,2,2
pldhiv,1981,1.6699715692761392,1.515993350816629,1.827094202
pldhiv,1982,3.6499491851971793,3.479456806444418,3.827094202
pldhiv,1983,18.852069424666603,18.565416086500438,19.16353211123336
pldhiv,1984,480.02895949765775,474.2800203640574,485.83995717399057
pldhiv,1985,2313.864758533351,2285.7529168663555,2342.847675127062
pldhiv,1986,3832.1627708457518,3778.953216863217,3889.720469845765
pldhiv,1987,5253.603130575727,5171.595915068062,5345.848314360844
pldhiv,1988,6418.541346801295,6307.440230843405,6547.528720427026
pldhiv,1989,7412.485178304688,7263.002553997923,7590.726604186669
pldhiv,1990,8099.836980037962,7906.730353270742,8336.260268626347
pldhiv,1991,8569.925115651451,8331.481543655085,8866.234888487308
pldhiv,1992,8916.181498104583,8631.380171437659,9272.126863669215
pldhiv,1993,9005.592309795144,8672.594238233645,9422.298773026705
pldhiv,1994,8901.37840245953,8519.557298668036,9377.583556477874
pldhiv,1995,8918.634354073698,8491.23582948528,9451.326269550174
pldhiv,1996,9077.00920603845,8608.935914817554,9662.188908623622
pldhiv,1997,9415.911632424619,8918.450718720596,10045.858172319793
pldhiv,1998,9795.794727504537,9271.299420176503,10471.06111294299
pldhiv,1999,10239.4189559969,9685.948879534453,10965.662320140955
pldhiv,2000,10620.274387443647,10035.896771370362,11403.436124136384
pldhiv,2001,11076.883980631213,10459.235473878702,11922.299102267196
pldhiv,2002,11656.16233360366,11002.929078949153,12568.216266700361
pldhiv,2003,12214.19100871796,11523.938368181261,13199.248698116295
pldhiv,2004,12925.850558333397,12143.239089926357,14029.838942927527
pldhiv,2005,13595.584150780076,12711.016503468543,14832.700492557524
pldhiv,2006,14341.490326054198,13348.61685407635,15723.717270439367
pldhiv,2007,15088.43264500071,13983.789567883376,16625.902419673454
pldhiv,2008,15715.652650866803,14500.610708380795,17412.031597124656
pldhiv,2009,16550.79870522446,15225.352662914605,18410.904206239167
pldhiv,2010,17347.18032147738,15902.442716272431,19389.440816387763
pldhiv,2011,18216.821159781935,16652.814158657555,20444.071114197697
pldhiv,2012,19183.004784236953,17501.544359875028,21596.75717072222
pldhiv,2013,20044.421603433744,18238.36938983817,22657.37094170837
pldhiv,2014,20917.659195736887,18978.122932487207,23732.65296412398
pldhiv,2015,21884.295218778447,19817.792574143397,24899.512618635483
pldhiv,2016,22804.418363831133,20597.55387285695,26045.011425004024
pldhiv,2017,23642.09828363237,21288.707582285824,27112.713979288066
pldhiv,2018,24413.027859532238,21917.706481557376,28101.36081644422
pldhiv,2019,25295.99308594567,22651.10188851255,29206.859720839577
pldhiv,2020,26003.77012737362,23244.13141461424,30048.945884331373
pldhiv,2021,26362.12997138646,23460.026558959806,30579.790320089014
pldhiv,2022,26849.288559266235,23767.109390998678,31308.9352925964
retained,2013,19042.200523262058,16669.86962231209,22385.48249040787
retained,2014,19915.006064954563,17396.612688113273,23455.772012875866
retained,2015,20880.53554474381,18219.15730649583,24617.318142290947
retained,2016,21805.58483949533,18990.94467077411,25758.51629932898
retained,2017,22655.434715262116,19684.958277753627,26823.511696842324
retained,2018,23444.644421104127,20325.01981056421,27810.98008800763
retained,2019,24344.863745914114,21065.52475631667,28914.79112363118
retained,2020,25145.64571317029,22477.075077931968,29057.330670148436
retained,2021,25492.17968233071,22685.845682514133,29570.657239526077
retained,2022,25963.262036810447,22982.79478109572,30275.74042794072
