stage,year,value,lower,upper
infected,1980,919.4183019166243,898.7477352446873,946.928002154958
infected,1981,255.06523982288704,249.44834735131087,262.7097815153235
infected,1982,227.9850929771814,223.06905467972035,234.67192314558793
infected,1983,713.6420662652173,698.8035111373686,733.6106846031043
infected,1984,3149.189713001344,3081.270397446355,3225.0009231676813
infected,1985,9854.975869674277,9622.696402238042,10093.932150846742
infected,1986,12755.402664656795,12442.703470459082,13093.562095592846
infected,1987,14427.275677238966,14070.58597803349,14849.541286479398
infected,1988,15026.155520787237,14609.854017412683,15479.820287112621
infected,1989,15461.65671419161,14995.879474827008,15952.822320339
infected,1990,15365.49943011878,14839.630510197574,15914.2159028848
infected,1991,14938.231339279926,14405.24701302317,15536.57415414965
infected,1992,14420.420736141092,13869.915752586625,15051.337817342359
infected,1993,13702.671072861467,13119.480277466011,14350.012692471952
infected,1994,12897.6407988606,12302.713924997322,13568.290374247881
infected,1995,12366.936859891004,11770.474280792969,13046.724818004866
infected,1996,12104.414707305648,11481.502217760082,12832.190425010162
infected,1997,12080.953397100751,11437.1363475535,12833.989671707914
infected,1998,12201.996361768335,11546.53382949465,12992.103819255295
infected,1999,12494.193798831653,11818.324652121322,13335.219801092097
infected,2000,12788.483380200581,12079.18041265458,13679.439114020672
infected,2001,13227.577760202988,12482.500658788114,14179.323647548516
infected,2002,13849.719571736689,13069.571594135352,14878.35629815876
infected,2003,14478.338125748742,13667.97707673544,15579.520962085473
infected,2004,15285.313608724178,14393.293662347041,16492.022593721565
infected,2005,16070.522869431621,15082.039447343326,17403.922358960433
infected,2006,16942.6892828715,15838.924965749988,18426.565811634166
infected,2007,17793.025005713178,16586.525517896145,19443.23346531119
infected,2008,18481.252282233367,17173.417867875432,20295.517876392336
infected,2009,19374.732946327935,17949.5476914037,21361.228604469965
infected,2010,20193.027753201888,18648.94050208893,22371.66183131218
infected,2011,21062.32563263309,19384.557011447847,23445.059541100425
infected,2012,22042.172120452695,20233.639361474656,24623.619429575483
infected,2013,22901.28803773675,20973.45063062099,25688.53690086987
infected,2014,23760.536826231204,21712.040374804354,26747.742510285887
infected,2015,24700.693098251708,22507.561731673875,27879.03467481712
infected,2016,25584.72046074179,23231.992939061038,28973.472304744908
infected,2017,26361.83252612614,23858.835128977662,29960.917888133477
infected,2018,27040.16198098281,24380.248800436064,30863.323649037593
infected,2019,27813.858197484493,24982.180551217112,31876.57277324116
infected,2020,28447.706923718964,25464.991147862263,32700.79977100411
infected,2021,28676.879958833397,25471.024746007166,33188.89066460833
infected,2022,28868.079129432488,25383.116395745517,33707.258264581615
