year,diagnoses,diagnoses_lower,diagnoses_upper,undiag,undiag_lower,undiag_upper,undiag_percent,uplower,upupper,infections,infections_lower,infections_upper,start_plhiv,start_plhiv_lower,start_plhiv_upper,deaths,deaths_lower,deaths_upper,ydf,ydf_lower,ydf_upper,cdr,cdr_lower,cdr_upper,ipr,ipr_lower,ipr_upper,imr,imr_lower,imr_upper
2000,669.8857819336023,669.098607101718,669.9732458038117,2168.208992756933,2043.2836412842169,2276.0029898842877,16.9543872271344,14.93689634679512,18.84236274424601,650.399277,630.199652,676.959496,12494.193798831651,11818.324652121322,13335.219801092097,248.93463048566093,244.04621004059848,256.7549391797217,0.2360336194222571,0.22719033115409953,0.24692584362067263,1.029960834248594,0.9883879479574035,1.0631126876658632,0.05205612202532185,0.047258287557314156,0.057280495833941195,2.612731204698593,2.454479177745737,2.773898827961245
2001,729.4091722662997,729.4091722662997,729.4091722662997,2150.693779571776,2023.2651849094127,2257.02454528132,16.25916565043706,14.26912337429591,18.08150952263156,697.090087,680.570005,724.173375,12788.48338020058,12079.18041265458,13679.439114020672,231.590248770034,227.32259565712545,238.93676797879792,0.2532580204470789,0.24424087096942879,0.26498200572285824,1.0463628530501534,1.0072300328167958,1.0717621507082136,0.05450920693842796,0.04975130919676767,0.059952194624175836,3.0100148460577074,2.8483268220167375,3.1856638487987485
2002,829.1787413925667,829.1787413925667,829.1787413925667,2193.5572381330303,2066.642515186198,2310.1400314583993,15.838279084072232,13.890260952024324,17.675713506133725,751.097338,736.333316,779.496476,13227.577760202988,12482.500658788114,14179.323647548516,210.60019821688928,206.99236987465784,217.3251010691874,0.2743139814423032,0.2641269655580563,0.28633629907537544,1.103956437391297,1.0637363566382136,1.1260915720844102,0.05678268172875771,0.05193007327449682,0.0624471407859456,3.566460736311715,3.388165068726146,3.7658222690624603
2003,822.9242743299801,822.9242743299801,822.9242743299801,2264.1471170307823,2144.0387085541793,2380.2722639691774,15.638169915400375,13.761903936404334,17.414956511894438,809.453801,791.93399,838.28576,13849.719571736689,13069.571594135352,14878.35629815876,198.2201623981161,195.08037149581713,204.5574350339779,0.2665711834954488,0.2569072064391462,0.27736250134473284,1.016641435636399,0.9816751203431872,1.0391324084094182,0.05844550113865579,0.05322724998177414,0.06414026305010334,4.083609816514272,3.8714505286422676,4.297130221622396
2004,867.7362382549218,867.7362382549218,867.7362382549218,2359.4630503907815,2250.0545724206836,2462.1836507940375,15.43614420213207,13.643290625112709,17.106464361490293,869.19225,851.313969,899.59087,14478.338125748742,13667.97707673544,15579.520962085471,114.48920642419544,76.77189893974445,171.62716651116034,0.26888213607008693,0.2605877219775252,0.27831765854325835,0.9983248680081096,0.9645898676749818,1.0192904966357033,0.06003397920747551,0.05464314153636489,0.06581741138059216,7.591914357232458,4.960251843024175,11.717710287537074
2005,926.9575263835723,926.9575263835723,926.9575263835723,2474.938718651545,2371.022943874782,2571.2218664029087,15.400486585033423,13.623497594230864,17.04823724523426,927.345454,903.635237,959.650093,15285.313608724178,14393.29366234704,16492.022593721565,165.14600510954807,119.73293240269122,230.05883757850717,0.2724825978265552,0.2649828445891114,0.28106822788764335,0.9995816794973713,0.9659328260843218,1.0258094067480155,0.06066904989575827,0.05479226285707428,0.06667341857343267,5.615306609353668,3.9278440529007543,8.014921824285246
2006,999.4325936404457,999.4325936404457,999.4325936404457,2601.1989568173,2490.3081116736375,2702.8485411947995,15.352928412887948,13.514770669319764,17.064595905589716,980.946188,951.366655,1012.548233,16070.52286943162,15082.039447343326,17403.922358960433,183.63548714666575,135.92485006653018,250.8608338295371,0.27757147034758073,0.2699504865356265,0.2863916485596012,1.0188454839486523,0.9870468991677611,1.0505230432324177,0.06104009159937769,0.054663922038826356,0.06713602868731115,5.341811668550421,3.7924080872921953,7.44932389113834
2007,944.4591541834233,944.4591541834233,944.4591541834233,2704.5923607124673,2602.73595001277,2817.331045637736,15.200295395774734,13.386332857939136,16.985661298371124,1027.027223,992.385528,1057.412746,16942.6892828715,15838.924965749988,18426.56581163417,178.24031553631875,130.52674384699387,246.0285708153509,0.2588231901709311,0.2510664082830361,0.2662552034609444,0.9196047904403243,0.8931792790999923,0.9517058920506781,0.06061772165286008,0.05385623876660878,0.06676038609227229,5.762036607204783,4.0336190415250766,8.101119470501164
2008,822.8473361854922,822.8473361854922,822.8473361854922,2765.599631366564,2672.807159494637,2883.4862792676804,14.964351923409572,13.169445469551851,16.79040422501758,1062.622995,1024.425356,1094.060302,17793.025005713178,16586.525517896145,19443.23346531119,157.91890078305727,111.93392129225636,224.88063356307657,0.2293045831876448,0.2220111359524452,0.23539149455484032,0.7743549123793356,0.7521041890298767,0.8032282014166507,0.059721323083556696,0.052688013947252366,0.06596078852195755,6.7289158532061295,4.555418311344537,9.774162196493046
2009,961.5994267409224,961.5994267409224,961.5994267409224,2823.934241103474,2724.1950284890936,2950.324398230797,14.575345368250304,12.752988505160417,16.436761800096782,1085.18524,1046.713405,1118.099521,18481.252282233367,17173.417867875432,20295.517876392336,121.49436320983662,81.09855695927335,183.06440994902417,0.2540195151106628,0.2458124109172484,0.26089339446925636,0.8861154679369969,0.8600302644624085,0.9186845435890089,0.05871816603267865,0.05157362385995248,0.06510640628453554,8.931980145661107,5.717732929581813,13.786922516531277
