year,pldhiv,diagnoses,duplicates,deaths,emigrants,diag_departs,inter_departs,inter_arrivals
1980,2,2,0,0,0,0,0,0
1981,1.6699715692761392,1,0,1.234637682,0.004990048723860697,0.0904007,0,-0
1982,3.6499491851971793,2,0,0,0.004637784078960308,0.01538459999999997,0,-0
1983,18.85020301187211,19.9,0.8408198179751306,3.7008403536873997,0.01147706994834808,0.14660893171418962,0,-0
1984,459.13465173910464,517.8,51.96727042704712,20.982792152712495,0.05002763711110533,4.515461055896779,0,-0
1985,2230.1498757117183,2025.5,149.77876078637865,85.02189503255285,0.9957449100764981,18.688375298378276,0,-0
1986,3735.548937701371,1918.9,207.90848242941877,183.22830201392,4.809305313107541,17.55484825390098,0,-0
1987,5142.515012441342,2397.1,716.8864867406141,246.5983706803629,8.600644414278294,18.048423424773016,0,-0
1988,6297.196068256357,1804.9,329.2454495226103,293.41919431279223,11.524275297329561,16.030025052254096,0,-0
1989,7287.015368027428,1767.9,237.17062965701962,506.90286043361255,16.94952739987939,17.05768273841696,0,-0
1990,7980.1143433230945,1553,167.59292170771548,653.0812999576517,23.491618212695556,15.735184826270613,0,-0
1991,8448.377796991486,1482.9,244.70854126711427,730.5470050260807,24.93960655053932,14.441393487873487,0,-0
1992,8794.688484775523,1246,78.51824263253542,782.7463932866485,24.469273006183663,13.955403290596692,0,-0
1993,8882.414219993767,1086,74.82598209153916,885.9720369041771,25.130612888373182,12.34563289766616,0,-0
1994,8769.303658714458,1033,155.20530794250223,955.8381308711894,24.061537142764326,11.005585322853637,0,-0
1995,8786.81205178005,938.9,46.521343581476124,839.2320151423019,24.168115370210025,11.470132840420113,0,-0
1996,8956.95904726454,905,20.720026381067676,677.9232339504009,24.36294987523225,11.846794308810027,0,-0
1997,9288.43492445539,820,97.1797306875729,355.1216070717999,26.051271953596423,10.171513096179325,0,-0
1998,9662.918861216267,764,91.22806703340027,259.1695523286447,29.190976158503137,9.927467718574643,0,-0
1999,10100.185973826166,719,0.29799653874576304,236.02672666579664,34.40641334476234,11.001750840796234,0,-0
2000,10473.19415155668,765.9,96.01421806639767,245.5496814844494,40.59045481763898,10.73746790100042,0,-0
2001,10916.142713982143,777,48.59082773370025,228.3829541959418,44.83472326836958,12.24293237652396,0,-0
2002,11475.85450325191,847,17.821258607433236,207.54409122171617,47.665279207475145,14.257581693607934,0,-0
2003,12034.634860321486,871,48.075725670019935,195.15391757490022,54.60896431049569,14.381035375008967,0,-0
2004,12709.901855229613,893,25.26376174507821,112.80614440855932,64.16006603498138,15.503032903254121,0,-0
2005,13387.804047596272,949,22.04247361642773,162.38695529187976,69.93513426592448,16.73324445911072,0,-0
2006,14110.5272512352,977,-22.432593640445756,180.82900233186263,77.29354894757883,18.586838722075502,0,-0
2007,14774.771697843335,942,-2.459154183423307,175.36983761547194,86.66941277004548,18.175457189770405,0,-0
2008,15333.11076493914,894,71.15266381450787,154.63605536371696,93.5703276456804,16.301886080289663,0,-0
2009,16053.48074172869,932,-25.59942674092232,118.53701337115156,99.07988581311413,19.612550767106647,0,-0
2010,16663.977161030605,905,-11.004781669507782,177.31117639681565,108.80577877699487,19.3914071937822,0,-0
2011,17331.66831449727,966,9.868427834022466,156.75724994688832,111.06790405755949,20.61526469486455,0,-0
2012,18180.356415883558,1065,-38.42492871277857,115.68054946681,114.73799406059773,24.318283799082266,0,-0
2013,18852.388813177524,1029,63.07355079858135,150.42848682770904,121.68892908111035,21.776635998632198,0,-0
2014,19389.327241939973,938,53.16610704351695,213.71128286262243,113.7780182153061,20.406163116107386,0,-0
2015,20008.182938344595,884,25.83008696583162,97.3522803249285,121.72568817816226,20.23624812645471,0,-0
2016,20591.685622408535,881,-12.981136708331135,155.73759349627812,133.05134716984364,21.68951197826899,0,-0
2017,21061.241222436565,836,0,217.01816341009572,128.64332922987572,20.782907332,0,-0
2018,21481.66827108235,735,0,175.95022158406277,119.84690413515123,18.77582563500004,0,-0
2019,21973.97917057655,801,0,170.5646394074083,117.00807456839212,21.116386529999996,0,-0
2020,22334.62772721684,574,0,149.1205645626584,60.228736121049614,4.00214267599997,0,-0
2021,22516.593400880636,512,0,250.80996291842968,75.5769112577771,3.6474521600000003,0,-0
2022,22684.502538968256,515,0,218.1538390084975,120.59993716388084,8.337085740000022,0,-0
