year,pldhiv,diagnoses,duplicates,deaths,emigrants,diag_departs,inter_departs,inter_arrivals
1980,2,2,0,0,0,0,0,0
1981,1.827094202,1,0,1.172905798,0,0,0,-0
1982,3.827094202,2,0,0,0,0,0,-0
1983,19.16353211123336,20,0.9389389368789836,3.72462315388766,0,0,0,-0
1984,485.83995717399057,540,53.06823479087674,20.25534014636606,0,0,0,-0
1985,2342.847675127062,2095,151.87276493222546,86.11951711470331,0,0,0,-0
1986,3889.720469845765,1942,210.84428941936218,184.2829158619349,0,0,0,-0
1987,5345.848314360844,2418,716.4842502660712,245.3879052188507,0,0,0,-0
1988,6547.528720427026,1816,323.31819660368,291.001397330137,0,0,0,-0
1989,7590.726604186669,1786,240.8989843508571,501.9031318895007,0,0,0,-0
1990,8336.260268626347,1562,170.62470330156424,645.8416322587557,0,0,0,-0
1991,8866.234888487308,1491,239.50046297533294,721.524917163706,0,0,0,-0
1992,9272.126863669215,1256,76.82995080969161,773.2780740084023,0,0,0,-0
1993,9422.298773026705,1098,72.39014473515272,875.4379459073565,0,0,0,-0
1994,9377.583556477874,1049,148.4623548639138,945.252861684917,0,0,0,-0
1995,9451.326269550174,949,43.729341872887716,831.5279450548121,0,0,0,-0
1996,9662.188908623622,920,36.983969234843244,672.1533916917093,0,0,0,-0
1997,10045.858172319793,836,100.51911405544158,351.811622248387,0,0,0,-0
1998,10471.06111294299,774,91.74660399164352,257.05045538515805,0,0,0,-0
1999,10965.662320140955,728,-0.9229478573578671,234.32174065939384,0,0,0,-0
2000,11403.436124136384,774,92.17998596397227,244.04621004059848,0,0,0,-0
2001,11922.299102267196,788,41.81442621206227,227.32259565712542,0,0,0,-0
2002,12568.216266700361,864,11.090465692177563,206.99236987465784,0,0,0,-0
2003,13199.248698116295,881,54.88719708825007,195.08037149581713,0,0,0,-0
2004,14029.838942927527,918,10.637856249024441,76.77189893974445,0,0,0,-0
2005,14832.700492557524,978,55.405517967312306,119.73293240269122,0,0,0,-0
2006,15723.717270439367,1018,-8.941627948374009,135.92485006653018,0,0,0,-0
2007,16625.902419673454,1055,22.288106918920718,130.52674384699387,0,0,0,-0
2008,17412.031597124656,1019,120.9369012565403,111.93392129225636,0,0,0,-0
2009,18410.904206239167,1075,-4.971166073784882,81.09855695927335,0,0,0,-0
2010,19389.440816387763,1069,-45.33599190094164,135.7993817523463,0,0,0,-0
2011,20444.071114197697,1151,-22.155448282646837,118.52515047271308,0,0,0,-0
2012,21596.75717072222,1261,26.115734279032015,82.1982091964456,0,0,0,-0
2013,22657.37094170837,1247,72.73510853052716,113.65112048332334,0,0,0,-0
2014,23732.65296412398,1338,88.508284584961,174.20969299942794,0,0,0,-0
2015,24899.512618635483,1251,19.52470909368279,64.61563639481327,0,0,0,-0
2016,26045.011425004024,1266,0.2652319219850894,120.23596170947272,0,0,0,-0
2017,27112.713979288066,1251,0,183.29744571595648,0,0,0,-0
2018,28101.36081644422,1131,0,142.35316284384763,0,0,0,-0
2019,29206.859720839577,1242,0,136.50109560464105,0,0,0,-0
2020,30048.945884331373,955,0,112.9138365082047,0,0,0,-0
2021,30579.790320089014,743,0,212.155564242359,0,0,0,-0
2022,31308.9352925964,898,0,168.85502749261272,0,0,0,-0
