year,pldhiv,diagnoses,duplicates,deaths,emigrants,diag_departs,inter_departs,inter_arrivals
1980,2,2,0,0,0,0,0,0
1981,1.827094202,1,0,1.172905798,0,0,0,-0
1982,3.827094202,2,0,0,0,0,0,-0
1983,19.257426004921257,20,0.8450450431910861,3.72462315388766,0,0,0,-0
1984,464.91549976771586,518,51.98734276015915,20.354583477046226,0,0,0,-0
1985,2259.6153509425276,2027,149.88968062897533,82.41046819621303,0,0,0,-0
1986,3792.959977733675,1919,207.91931720363468,177.73605600521802,0,0,0,-0
1987,5234.520685382334,2398,717.1556444053201,239.28364794602092,0,0,0,-0
1988,6425.315719263128,1805,329.2636912783598,284.94127484084584,0,0,0,-0
1989,7463.596823197065,1768,237.18404504418274,492.53485102187966,0,0,0,-0
1990,8213.978849716805,1553,167.59292170771548,635.0250517725426,0,0,0,-0
1991,8741.312662775636,1483,244.72504329296004,710.9411436482102,0,0,0,-0
1992,9146.4115704677,1246,78.51824263253542,762.3828496753996,0,0,0,-0
1993,9294.017188654665,1086,74.82598209153916,863.5683997214966,0,0,0,-0
1994,9239.42833443001,1033,155.20530794250223,932.3835462821542,0,0,0,-0
1995,9312.624573910847,939,46.52629845884128,819.2774620603209,0,0,0,-0
1996,9534.615254536866,905,20.720026381067676,662.2892929929135,0,0,0,-0
1997,9910.269007862527,820,97.1797306875729,347.1665159867656,0,0,0,-0
1998,10329.459900985297,764,91.22806703340027,253.58103984382902,0,0,0,-0
1999,10817.008920239587,719,0.29799653874576304,231.1529842069658,0,0,0,-0
2000,11246.244310555077,766,96.0267541961883,240.73785548832078,0,0,0,-0
2001,11750.464438375515,777,48.59082773370025,224.18904444586192,0,0,0,-0
2002,12375.634166039788,847,17.821258607433236,204.00901372829256,0,0,0,-0
2003,13006.467274895163,871,48.075725670019935,192.0911654746056,0,0,0,-0
2004,13798.552904995862,893,25.26376174507821,75.65060815422383,0,0,0,-0
2005,14607.751331724075,949,22.04247361642773,117.75909965535821,0,0,0,-0
2006,15473.320478814783,977,-22.432593640445756,133.8634465497383,0,0,0,-0
2007,16289.331499273636,942,-2.459154183423307,128.4481337245684,0,0,0,-0
2008,17002.510878561603,894,71.15266381450787,109.66795689752274,0,0,0,-0
2009,17880.919138594363,932,-25.59942674092232,79.19116670816257,0,0,0,-0
2010,18665.033724270026,905,-11.004781669507782,131.8901959938462,0,0,0,-0
2011,19507.06835306889,966,9.868427834022466,114.09694336711223,0,0,0,-0
2012,20532.062421492723,1065,-38.42492871277857,78.4308602889462,0,0,0,-0
2013,21389.94061689428,1029,63.07355079858135,108.04825379986204,0,0,0,-0
2014,22110.30993019004,938,53.16610704351695,164.46457966072302,0,0,0,-0
2015,22908.281274223707,884,25.83008696583162,60.19856900050212,0,0,0,-0
2016,23691.641802717568,881,-12.981136708331135,110.62060821447261,0,0,0,-0
2017,24360.90670875303,836,0,166.73509396453787,0,0,0,-0
2018,24968.001692590355,735,0,127.9050161626778,0,0,0,-0
2019,25647.720747928674,801,0,121.28094466168149,0,0,0,-0
2020,26122.566556926296,574,0,99.15419100237524,0,0,0,-0
2021,26450.132538219732,512,0,184.4340187065631,0,0,0,-0
2022,26819.080593122177,515,0,146.05194509755364,0,0,0,-0
