year,pldhiv,pldhiv_lower,pldhiv_upper,ecdc_diagnosed,undiagnosed,undiagnosed_lower,undiagnosed_upper,percent,percent_lower,percent_upper,pldhiv_exclude,pldhiv_lower_exclude,pldhiv_upper_exclude,ecdc_diagnosed_exclude,undiagnosed_exclude,undiagnosed_lower_exclude,undiagnosed_upper_exclude,percent_exclude,percent_lower_exclude,percent_upper_exclude,undiag_adjusted,undiag_adjusted_lower,undiag_adjusted_upper,percent_adjusted,percent_adjusted_lower,percent_adjusted_upper,undiag_adjusted_exclude,undiag_adjusted_lower_exclude,undiag_adjusted_upper_exclude,percent_adjusted_exclude,percent_adjusted_lower_exclude,percent_adjusted_upper_exclude,final_undiagnosed,final_undiagnosed_lower,final_undiagnosed_upper,plhiv,plhiv_lower,plhiv_upper,undiag_percent,undiag_percent_lower,undiag_percent_upper,adjusted,method
1980,2,2,2,0.512307,234.999909,234.999909,234.999909,99.782471,99.782471,99.782471,2,2,2,0.512307,234.999909,229.705071,242.046615,99.782471,99.782394,99.782549,917.4183019166243,917.4183019166243,917.4183019166243,99.78247115640066,99.78247115640066,99.78247115640066,917.4183019166243,896.7477352446873,944.928002154958,99.78247115640066,94.70073048889951,105.13829021195785,917.4183019166243,896.7477352446873,944.928002154958,919.4183019166243,898.7477352446873,946.928002154958,99.78247115640066,94.70073048889951,105.13829021195785,yes,exclude
1981,1.6699715692761392,1.515993350816629,1.827094202,5.70861,866.203227,866.203227,866.203227,99.345277,99.345277,99.345277,1.6699715692761392,1.515993350816629,1.827094202,5.70861,866.203227,847.528869,891.798127,99.345277,99.340827,99.349194,253.3952682536109,253.3952682536109,253.3952682536109,99.34527669452893,99.2841167269119,99.40528584681789,253.3952682536109,247.93235400049423,260.8826873133235,99.34527669452893,94.37499912276112,104.58385075845344,253.3952682536109,247.93235400049423,260.8826873133235,255.06523982288704,249.44834735131087,262.7097815153235,99.34527669452893,94.37499912276112,104.58385075845344,yes,exclude
1982,3.6499491851971793,3.479456806444418,3.827094202,29.068837,1786.644525,1786.644525,1786.644525,98.39904,98.39904,98.39904,3.6499491851971793,3.479456806444418,3.827094202,29.068837,1786.644525,1748.850163,1838.488802,98.39904,98.395853,98.402522,224.33514379198422,224.33514379198422,224.33514379198422,98.39904042078642,98.32264346824083,98.47268050541778,224.33514379198422,219.58959787327592,230.8448289435879,98.39904042078642,93.57301671621147,103.48581486348787,224.33514379198422,219.58959787327592,230.8448289435879,227.9850929771814,223.06905467972035,234.67192314558793,98.39904042078642,93.57301671621147,103.48581486348787,yes,exclude
1983,18.852069424666603,18.565416086500438,19.16353211123336,78.591716,2896.771885,2896.771885,2896.771885,97.358584,97.358584,97.358584,18.85020301187211,17.71485227835248,19.257426004921257,78.591716,2896.771885,2836.100977,2978.72801,97.358584,97.351271,97.366508,694.8587899956573,694.8587899956573,694.8587899956573,97.3585844777564,97.31611582468642,97.39770308769668,694.7899968405507,680.2380950508681,714.447152491871,97.3583298524809,92.72467118153934,102.23863233443703,694.7899968405507,680.2380950508681,714.447152491871,713.6420662652173,698.8035111373686,733.6106846031043,97.3583298524809,92.72467118153934,102.23863233443703,yes,exclude
1984,480.02895949765775,474.2800203640574,485.83995717399057,625.445203,3636.000426,3636.000426,3636.000426,85.323168,85.323168,85.323168,459.13465173910464,453.0314018795783,464.91549976771586,625.445203,3636.000426,3551.310317,3731.356542,85.323168,84.379388,86.346127,2790.6289677399927,2790.6289677399927,2790.6289677399927,85.32316829895191,85.17184297156899,85.47340761742109,2669.1607535036865,2606.990377082298,2739.1609659936908,84.75706441197012,80.8368877774349,88.89713049084584,2669.1607535036865,2606.990377082298,2739.1609659936908,3149.189713001344,3081.270397446355,3225.0009231676813,84.75706441197012,80.8368877774349,88.89713049084584,yes,exclude
1985,2313.864758533351,2285.7529168663555,2342.847675127062,1269.235162,4291.838628,4291.838628,4291.838628,77.176437,77.176437,77.176437,2230.1498757117183,2198.520056156237,2259.6153509425276,1269.235162,4291.838628,4175.641626,4411.339824,77.176437,75.734413,78.610278,7824.187706077221,7824.187706077221,7824.187706077221,77.1764373225481,76.95643235924736,77.39103519877207,7541.111111140926,7336.943485371687,7751.08447571968,76.52084805551301,72.68667329764267,80.55002622671267,7541.111111140926,7336.943485371687,7751.08447571968,9854.975869674277,9622.696402238042,10093.932150846742,76.52084805551301,72.68667329764267,80.55002622671267,yes,exclude
1986,3832.1627708457518,3778.953216863217,3889.720469845765,2001.5422,4781.15573,4781.15573,4781.15573,70.490471,70.490471,70.490471,3735.548937701371,3678.909267153037,3792.959977733675,2001.5422,4781.15573,4642.118744,4931.504773,70.490471,68.796398,72.029375,9154.024826517194,9154.024826517194,9154.024826517194,70.49047118629385,70.17942023959674,70.78048687481203,8923.239893811044,8663.750253595865,9203.841625747082,69.95655196786481,66.16801593289874,73.96978998654463,8923.239893811044,8663.750253595865,9203.841625747082,12755.402664656795,12442.703470459082,13093.562095592846,69.95655196786481,66.16801593289874,73.96978998654463,yes,exclude
1987,5253.603130575727,5171.595915068062,5345.848314360844,2842.730983,5071.114642,5071.114642,5071.114642,64.079019,64.079019,64.079019,5142.515012441342,5056.474845179228,5234.520685382334,2842.730983,5071.114642,4919.272906,5253.54664,64.079019,62.251056,65.748439,9371.841344833862,9371.841344833862,9371.841344833862,64.07901900411407,63.67739476677247,64.44034637309024,9173.672546663238,8898.99006296543,9503.692972118555,63.58561901701221,59.927710164811735,67.54297928284856,9173.672546663238,8898.99006296543,9503.692972118555,14427.275677238966,14070.58597803349,14849.541286479398,63.58561901701221,59.927710164811735,67.54297928284856,yes,exclude
1988,6418.541346801295,6307.440230843405,6547.528720427026,3774.393196,5159.204195,5159.204195,5159.204195,57.750579,57.750579,57.750579,6297.196068256357,6182.160453965774,6425.315719263128,3774.393196,5159.204195,4976.274165,5353.80829,57.750579,55.705739,59.437857,8773.480589487102,8773.480589487102,8773.480589487102,57.75057873323854,57.264377378909614,58.1760271405949,8607.614173985943,8302.41378656928,8932.291566685595,57.28420794046846,53.633786649844176,61.13881463866571,8607.614173985943,8302.41378656928,8932.291566685595,15026.155520787237,14609.854017412683,15479.820287112621,57.28420794046846,53.633786649844176,61.13881463866571,yes,exclude
1989,7412.485178304688,7263.002553997923,7590.726604186669,4584.063481,5063.515229,5063.515229,5063.515229,52.484829,52.484829,52.484829,7287.015368027428,7133.925180432834,7463.596823197065,4584.063481,5063.515229,4864.542876,5260.367333,52.484829,50.508631,54.30136,8187.7643581180955,8187.7643581180955,8187.7643581180955,52.48482941892474,51.891935532231074,52.99260809958567,8049.1715358869205,7732.876920829086,8362.095716152333,52.05892023523535,48.47340969234064,55.76262286042945,8049.1715358869205,7732.876920829086,8362.095716152333,15461.65671419161,14995.879474827008,15952.822320339,52.05892023523535,48.47340969234064,55.76262286042945,yes,exclude
