stage,year,population,value,lower,upper
infected,1980,all,912.9428189648332,891.1767386945381,942.06212928927755
infected,1981,all,238.18930035063087,232.59712227036695,245.8857716360306
infected,1982,all,220.8038904002597,215.8570085355503,227.7664626081988
infected,1983,all,684.635441050932,670.4618850060194,704.5436168419287
infected,1984,all,3700.3819831688047,3611.533218253694,3791.092814599771
infected,1985,all,11407.597567549938,11125.47805621491,11685.434501904114
infected,1986,all,14268.080796196808,13907.34268216771,14639.313701628029
infected,1987,all,15537.83578085084,15126.59349727317,15962.648973861384
infected,1988,all,15646.955943633548,15222.04673897186,16118.839383597511
infected,1989,all,15664.600597239623,15199.620421511803,16211.032345300113
infected,1990,all,15244.504660482567,14704.857471156343,15848.25826903035
infected,1991,all,14615.808206567832,14022.01874395895,15265.823910943956
infected,1992,all,14022.87909697128,13391.678374376865,14701.801018370752
infected,1993,all,13333.269289546057,12668.832691959258,14066.961917394936
infected,1994,all,12624.94103316842,11919.242333779524,13382.375521826532
infected,1995,all,12219.507249119024,11481.644707708072,12990.621745401237
infected,1996,all,12085.19265203406,11335.961672092828,12868.34711395438
infected,1997,all,12179.190144874392,11426.201752816229,12969.642076065184
infected,1998,all,12404.833842931132,11640.467672473604,13206.242359710344
infected,1999,all,12780.011398246126,11988.169500118009,13622.110612600614
infected,2000,all,13143.170299064372,12297.647798381697,14068.75035848362
infected,2001,all,13614.318939452662,12699.266086145546,14618.482958358476
infected,2002,all,14228.645663614032,13248.727567745746,15299.7529810845
infected,2003,all,14832.826632502329,13787.517097480344,15972.318540406335
infected,2004,all,15584.49433438034,14408.0804000278,16837.59288676126
infected,2005,all,16300.323301525488,14988.388281211455,17681.2792786012
infected,2006,all,17090.13407082189,15632.054556633497,18599.56106664981
infected,2007,all,17857.42299418614,16251.964942477787,19509.09727045849
infected,2008,all,18471.63495402243,16719.166560667498,20269.378134668845
infected,2009,all,19301.069138543025,17391.440337414224,21264.16389947948
infected,2010,all,20069.37849314972,17987.321515862204,22215.527522649536
infected,2011,all,20909.321898060476,18636.521069202685,23241.553753142416
infected,2012,all,21855.727565194185,19413.429439288135,24385.13357974709
infected,2013,all,22682.32336348711,20033.24936448383,25423.911502691622
infected,2014,all,23539.75999444296,20710.965164771795,26475.880967276757
infected,2015,all,24503.88947415943,21497.991152043734,27641.226809114185
infected,2016,all,25435.54545721,22240.53977801773,28797.073323928704
infected,2017,all,26280.18855059299,22894.44700386948,29875.019815757492
infected,2018,all,27044.113518946488,23471.384400257513,30867.44342972504
infected,2019,all,27918.641536321215,24152.282348527795,31983.04388314576
infected,2020,all,28636.36115620842,24688.57044776844,32885.81578827273
infected,2021,all,29061.936545673223,24867.829603901693,33551.89507365918
infected,2022,all,29482.35392252003,25345,34311.158775650234
infected,2023,all,30011.964502683015,26701,35221.08675035641
pldhiv,1980,all,2,2,2
pldhiv,1981,all,1.6699715694574275,1.5128489360163029,1.82709420289855
pldhiv,1982,all,3.649949186091644,3.4736768796339277,3.82709420289855
pldhiv,1983,all,18.85196122817716,18.558762092561416,19.163423076964847
pldhiv,1984,all,480.9452181559443,474.9976847904972,486.9249097355856
pldhiv,1985,all,2318.2524525384847,2289.241181960247,2347.4655689200654
pldhiv,1986,all,3839.668081112665,3782.3739136132945,3897.598823802843
pldhiv,1987,all,5260.03034348427,5168.685191828406,5352.697660036585
pldhiv,1988,all,6423.901264872119,6296.724291095535,6553.324015834251
pldhiv,1989,all,7416.354271545125,7241.540376483677,7595.003505101439
pldhiv,1990,all,8103.086309643915,7872.456577813086,8339.872267162124
pldhiv,1991,all,8570.94373360697,8283.313714203561,8867.54221455029
pldhiv,1992,all,8918.574998391747,8574.567048285002,9274.719668431002
pldhiv,1993,all,9008.745952330555,8607.732866665914,9425.597653632702
pldhiv,1994,all,8904.589395836412,8448.222973266707,9380.874153194602
pldhiv,1995,all,8922.160247731867,8413.574275565277,9454.885253807912
pldhiv,1996,all,9078.3004996718,8521.51227839581,9663.445720401578
pldhiv,1997,all,9416.838550490162,8819.280796063877,10046.727855800014
pldhiv,1998,all,9799.757542627029,9161.147801252771,10475.004210383122
pldhiv,1999,all,10244.118417273205,9559.568716997106,10970.362864254685
pldhiv,2000,all,10634.433558521783,9898.82520866982,11417.775998474735
pldhiv,2001,all,11091.573831071031,10300.46960405762,11937.222451601345
pldhiv,2002,all,11660.034685589057,10809.80672715901,12572.197043726035
pldhiv,2003,all,12221.739976780182,11306.970752771223,13206.992361034934
pldhiv,2004,all,12932.537622134962,11892.414776659873,14036.786692028076
pldhiv,2005,all,13603.861167574498,12427.291357976432,14841.35771369947
pldhiv,2006,all,14348.717229000982,13026.747763467756,15731.392553275551
pldhiv,2007,all,15095.920336468344,13620.746322260396,16633.933614898368
pldhiv,2008,all,15725.47939698131,14094.829273009716,17422.534482863124
pldhiv,2009,all,16560.60964972156,14771.17473609521,18421.506906412105
pldhiv,2010,all,17354.502704261256,15394.890138316292,19397.60751036881
pldhiv,2011,all,18224.840486327073,16093.596570034557,20453.03089376292
pldhiv,2012,all,19192.289628940987,16888.04312437966,21607.10431625239
pldhiv,2013,all,20049.682376484703,17563.725959895906,22663.69974617219
pldhiv,2014,all,20919.323915686506,18250.399587184264,23735.349744472227
pldhiv,2015,all,21883.546396277536,19309,24899.761041306778
pldhiv,2016,all,22804.233429367898,20358,26045.829465661413
pldhiv,2017,all,23642.90068109567,21496,27114.526258194997
pldhiv,2018,all,24414.781007241927,22188,28104.16358519728
pldhiv,2019,all,25295.779445562785,23255,29207.648881235356
pldhiv,2020,all,25996.622865832906,24180,30042.731989256252
pldhiv,2021,all,26345.28538410572,24472,30564.62029659798
pldhiv,2022,all,26821.890683349233,25345,31289.84903958965
pldhiv,2023,all,27651.21261336437,26701,32387.57732648027
retained,2013,all,19047.198257660468,16053.24552734486,22391.735349218125
retained,2014,all,19916.590989327928,17853,23458.437330786717
retained,2015,all,20879.821068234935,19309,24617.563749505294
retained,2016,all,21805.408005161586,20358,25759.325341539137
retained,2017,all,22656.20362600461,21496,26825.30464477425
retained,2018,all,23446.328027287997,22188,27813.75389481691
retained,2019,all,24344.658138409624,23255,28915.572392423004
retained,2020,all,25138.734311260418,24180,29051.321833610793
retained,2021,all,25475.89096643023,24472,29555.987826810244
retained,2022,all,25936.768290798707,25345,30257.28402128319
retained,2023,all,26738.722597123346,26701,31318.78727470642
numART,2000,all,6233,5207.47629149551,7927.09771039449
numART,2001,all,6771,5329.54311256028,8179.24890742458
numART,2002,all,6823,5490.08151579685,8486.11483508073
numART,2003,all,7173,5706.75488355183,8857.22304268907
numART,2004,all,7598,5997.35752315243,9302.61887656503
numART,2005,all,8453,6383.84245331665,9832.31477245497
numART,2006,all,9463,6885.45846022929,10455.4689472674
numART,2007,all,9933,7532.57475077848,11179.282709595
numART,2008,all,10200,8352.28895069613,12007.6685744616
numART,2009,all,10900,9366.08362170547,12939.8330215259
numART,2010,all,12400,10583.4473234582,13969.0212433787
numART,2011,all,13616.1118179388,11994.5050856171,15095.2644235184
numART,2012,all,14980.8581782073,13564.618033324,16305.2652573068
numART,2013,all,16511,15657.0380898214,17374.2241913804
numART,2014,all,17905,17853,18213.5829537691
numART,2015,all,19379,19309,19701.6991388874
numART,2016,all,20432,20358,20817.3644930079
numART,2017,all,21607,21496,21990.2281062964
numART,2018,all,22295,22188,22720.2268623547
numART,2019,all,23387,23255,23799.5532472145
numART,2020,all,24237,24180,24642.0515759312
numART,2021,all,24702,24472,24891.6649232616
numART,2022,all,25395,25345,25776.8681065213
numART,2023,all,26701,26701,27067.6142266336
suppressed,2003,all,3345.5988700565,2521.91599103844,4348.1298016903
suppressed,2004,all,4565.50693568726,3459.16402760851,5813.98877303818
suppressed,2005,all,5589.11293375394,4072.23954702306,6730.21552395437
suppressed,2006,all,6932.1976744186,4896.2271438331,7883.6277558719
suppressed,2007,all,7601.84718010916,5610.69238234195,8784.31637365656
suppressed,2008,all,8194.04052443385,6550.86248936934,9874.56851179059
suppressed,2009,all,8974.22740524781,7542.25481689888,10887.2412744644
suppressed,2010,all,10558.5544889893,8836.4891422729,12125.9177984147
suppressed,2011,all,11774.7619814196,10189.4537110953,13284.1879955807
suppressed,2012,all,13383.9139054035,11933.7923103363,14789.339790959
suppressed,2013,all,15249.3341823739,14276.6249438682,16250.7783265505
suppressed,2014,all,16720.8068783069,16472.2165770057,17213.050422448
suppressed,2015,all,18359.0526315789,18092.7737711361,18868.7974495376
suppressed,2016,all,19366.6652030735,19088.7125615335,19944.4367511954
suppressed,2017,all,20911.5471698113,20628.9494345951,21461.6384063999
