stage,year,value,lower,upper
pldhiv,1980,2,2,2
pldhiv,1981,1.6699715694574275,1.5128489360163029,1.82709420289855
pldhiv,1982,3.6499491860916438,3.4736768796339277,3.82709420289855
pldhiv,1983,18.85196122817716,18.558762092561416,19.163423076964847
pldhiv,1984,460.0519736358657,452.8162368400398,466.0903058349963
pldhiv,1985,2234.48046972748,2199.778240575273,2263.692618569579
pldhiv,1986,3742.991833855087,3679.7086738448597,3800.5084172028673
pldhiv,1987,5148.825602642877,5051.496804593416,5240.581303506626
pldhiv,1988,6302.416476747286,6170.360219324885,6430.253881340937
pldhiv,1989,7290.827492024622,7111.838204002304,7467.241230008365
pldhiv,1990,7983.302288048482,7749.957628304877,8217.00347393574
pldhiv,1991,8449.33754714175,8160.398745518806,8741.997458490341
pldhiv,1992,8797.018703787098,8452.350792208663,9148.708509576189
pldhiv,1993,8885.509982982547,8484.396609344432,9297.14078872005
pldhiv,1994,8772.457382742949,8317.524701518701,9242.559122595412
pldhiv,1995,8790.331165241134,8284.503453343616,9315.989547689811
pldhiv,1996,8958.257290159338,8405.162047315744,9535.706397673048
pldhiv,1997,9288.254051660275,8695.119892899507,9909.848351016475
pldhiv,1998,9664.934231280016,9031.449266545556,10331.256667966572
pldhiv,1999,10103.01715577035,9424.340353944664,10819.636407331143
pldhiv,2000,10485.241032702355,9756.334455379043,11258.166884586284
pldhiv,2001,10928.62766865352,10144.413280562721,11762.962266945962
pldhiv,2002,11479.619525438851,10637.448977400963,12379.312031422289
pldhiv,2003,12035.011797061085,11129.36655519119,13006.718742990997
pldhiv,2004,12708.891891275427,11680.31021668979,13797.407327239811
pldhiv,2005,13387.57902386248,12224.700799011416,14607.421159033722
pldhiv,2006,14106.901340823937,12801.196659349083,15469.522591804658
pldhiv,2007,14771.149470231148,13316.033260155975,16285.515871697697
pldhiv,2008,15332.090921305027,13725.948465005646,17001.32641601505
pldhiv,2009,16050.28554489864,14291.49124012673,17877.519071394858
pldhiv,2010,16657.26862324788,14737.308736354042,18658.014721045125
pldhiv,2011,17325.50576178273,15245.112827629824,19500.567440746785
pldhiv,2012,18175.276987469322,15932.782754102294,20526.627945594802
pldhiv,2013,18843.286772908345,16433.06179529735,21380.348620861732
pldhiv,2014,19379.30541461343,16805.323985302173,22099.693774806798
pldhiv,2015,19999.118271554682,17261.238648072733,22898.562707732606
pldhiv,2016,20582.720289149187,17668.6476707138,23681.940672423392
pldhiv,2017,21052.44958189536,17966.060654249784,24351.273848085635
pldhiv,2018,21472.99520375133,18223.290555168882,24958.41941305323
pldhiv,2019,21963.48150901376,18548.664120778936,25636.185019181245
pldhiv,2020,22317.296706943325,18789.807829263296,26104.075421337955
pldhiv,2021,22489.817843289777,18826.103845908514,26422.771955698434
pldhiv,2022,22646.363840330192,18794.106393563947,26785.87109407039
pldhiv,2023,22914.11440079898,18866.066882458785,27271.003015653336
