year,infections,infections_lower,infections_upper,exclude
1980,293.47236,286.459894,302.853782,yes
1981,775.301619,757.74796,800.019666,yes
1982,1113.462571,1090.043741,1146.584879,yes
1983,1326.628279,1301.246544,1364.283116,yes
1984,1433.471807,1405.844582,1473.688953,yes
1985,1452.666217,1427.426065,1492.664683,yes
1986,1402.884573,1375.987949,1439.984606,yes
1987,1302.799937,1279.533583,1331.063476,yes
1988,1171.085373,1148.137144,1190.737292,yes
1989,1026.413945,1001.889673,1049.353083,yes
1990,887.458715,859.447975,911.012011,yes
1991,771.969387,739.433724,796.906096,yes
1992,687.5387,653.354646,713.596324,yes
1993,631.602424,597.982556,658.569264,yes
1994,600.672973,568.331118,628.234222,yes
1995,591.262757,560.985766,621.224217,yes
1996,599.884189,571.166418,631.16811,yes
1997,623.049682,597.512245,656.762474,yes
1998,657.271648,631.126606,692.341534,yes
1999,699.062499,673.527335,733.997346,yes
2000,744.934647,720.684417,778.586476,yes
2001,791.400505,768.477075,823.706857,yes
2002,835.110811,812.608471,863.505455,yes
2003,874.23789,851.555584,900.497722,yes
2004,908.475658,886.668409,929.373028,yes
2005,937.656353,917.297181,955.641338,yes
2006,961.612215,941.4888,980.172131,yes
2007,980.175485,960.303545,998.854719,yes
2008,993.178401,972.317744,1014.039821,yes
2009,1000.453204,978.072841,1026.494626,yes
2010,1001.832133,974.347081,1031.798125,yes
2011,997.147428,965.945893,1029.253456,yes
2012,986.231329,957.179117,1020.248335,yes
2013,968.911151,940.568013,1002.403344,yes
2014,944.960027,919.429213,976.29573,yes
2015,914.096911,892.940502,944.147893,yes
2016,876.035832,856.249561,903.988599,yes
2017,830.490819,800.238274,864.349058,yes
2018,777.1759,734.50044,821.120458,yes
2019,715.805103,658.882235,770.913624,yes
2020,646.092457,573.025284,720.920601,yes
2021,567.751991,472.878353,665.806339,yes
2022,480.497734,358.472237,604.550932,yes
2023,384.043713,231.920847,536.910918,yes
