year,pldhiv,diagnoses,duplicates,deaths,emigrants,diag_departs,inter_departs,inter_arrivals,extra_migrants
1980,2,2,0,0,0,0,0,0,0
1981,1.6699715694574275,1,0,1.23463768115942,0.004990049383152552,0.0904007,0,-0,0.0015722073398973793
1982,3.6499491860916438,2,0,0,0.0046377833657837535,0.01538459999999997,0,-0,0.001461219416616799
1983,18.85196122817716,20,0.9390479706310617,3.7008403540116217,0.011477071976282244,0.1466225612955144,0,-0,0.0036160637733492
1984,480.94521815594436,541,52.98317317277343,20.984869693970225,0.05002300125836148,4.888677204230827,0,-0,0.015760671629346766
1985,2318.2524525384847,2098,152.47962603363845,87.65648053991474,1.0424152917908232,19.514243752115565,0,-0,0.3284322152217662
1986,3839.668081112665,1945,210.5420725823629,190.1062831221964,4.999148066665772,17.93686765459489,0,-0,1.5750740484015446
1987,5260.03034348427,2419,718.4642454472897,252.9762372743353,8.838603031522231,18.35865187524739,0,-0,2.784765338698785
1988,6423.901264872119,1818,326.3226002418823,299.7574456677978,11.784434623842186,16.26459807862881,0,-0,3.712904059566716
1989,7416.354271545125,1787,243.34196520057043,516.670335387136,17.284035803993607,17.25065693529465,0,-0,5.445655116326753
1990,8103.086309643915,1564,173.20406263975934,664.3253280291395,23.905722069111146,15.832849163198958,0,-0,7.531939829993922
1991,8570.94373360697,1492,242.71919972363327,741.5061380140065,25.318042770493584,14.599195528812317,0,-0,7.9769175852240055
1992,8918.574998391747,1256,76.65967925746743,792.775163909281,24.812774474338514,14.121117574135795,0,-0,7.817723464517613
1993,9008.745952330557,1101,74.59664711726691,898.209745570225,25.472836312838307,12.549817060859729,0,-0,8.025688153360015
1994,8904.589395836412,1049,148.38264767431247,969.0922131490822,24.37547838178755,11.30621728896223,0,-0,7.679945243576899
1995,8922.160247731867,950,44.38838872265475,851.8707974441069,24.5170201579407,11.652941779842147,0,-0,7.724540597707343
1996,9078.3004996718,921,40.231234342032614,688.0929141058036,24.725552933436926,11.810046678794185,0,-0,7.790242705055469
1997,9416.838550490162,836,100.87969706100918,359.8805192394156,26.34982072372774,10.35191215748519,0,-0,8.301998310215588
1998,9799.757542627027,775,89.65487623193984,262.7259046845871,29.582119915576687,10.118107031029856,0,-0,9.320393946003612
1999,10244.118417273205,729,-0.6966235895924866,239.27227179791038,34.88228105940717,11.181196086098366,0,-0,10.990307731046093
2000,10634.433558521785,776,84.52428927159055,248.9346390353379,41.121481505070584,11.104448939421394,0,-0,12.956083213926348
2001,11091.573831071033,788,41.21438622020651,231.5917392015314,45.482218816335475,12.571383212678706,0,-0,14.330014147612546
2002,11660.034685589055,865,23.01825090363851,210.60182786046823,48.42127243724661,14.497794280626065,0,-0,15.25601734324208
2003,12221.739976780182,881,51.112271327729104,198.21992094961223,55.44167004696277,14.5208464845684,0,-0,17.467923439454022
2004,12932.537622134962,918,11.388730589773322,114.55997018195528,65.03812715513102,16.215526718359804,0,-0,20.491464720109775
2005,13603.861167574498,981,56.63675568222972,165.23143890688434,71.10014124215782,16.70811872919221,0,-0,22.40141436396753
2006,14348.717229000982,1020,-6.039026716538443,183.74728060399767,78.33501644953732,19.100668236518416,0,-0,24.68089559368984
2007,15095.920336468345,1055,21.868472740235973,178.3301376453277,87.69959850576709,19.898683641305396,0,-0,27.631380351132094
2008,15725.47939698131,1019,118.41114722929709,157.9972632741691,95.17749159940153,17.855037384165776,0,-0,29.987428860085412
2009,16560.60964972156,1078,-2.1198982188943094,121.57032730726804,101.28661145418708,22.132706717191216,0,-0,31.91222004720963
2010,17354.502704261256,1070,-41.978186697466306,182.9124260377059,111.62337198704226,23.549334133017915,0,-0,35.16900761235578
2011,18224.840486327073,1151,-22.998462108433067,163.2529906740322,115.0864345996945,25.32125476888759,0,-0,36.26010953141059
2012,19192.289628940987,1264,27.69235180436595,121.64204486358867,119.95820321065551,27.258257507477985,0,-0,37.79505032664488
2013,20049.682376484703,1248,77.69900123422484,158.801450830481,127.71418841274733,26.392611978830136,0,-0,40.23871689716697
2014,20919.323915686502,1338,92.09164430569582,227.2838488022564,120.24217075008654,28.740796940160504,0,-0,37.88451955139713
2015,21883.546396277536,1253,23.96573354891007,105.0342623381749,130.7899128331844,28.98761068870032,0,-0,41.20778075566083
2016,22804.233429367898,1266,-0.30557438414702753,170.33485519429473,144.55710036598404,30.726585733508976,0,-0,45.54538778654292
2017,23642.90068109567,1252,0,240.33646905697782,141.86536495153354,31.130914263716246,0,-0,44.69730676555166
2018,24414.781007241927,1132,0,197.51796726061545,133.67682055509547,28.92488603803302,0,-0,42.117354421468434
2019,25295.779445562785,1240,0,193.85357659036367,132.45515185874922,32.69283323003017,0,-0,41.73244510618126
2020,25996.622865832902,948,0,171.6630694318367,68.88378309669571,6.60972720135149,0,-0,21.703109742794535
2021,26345.28538410572,734,0,291.9328788976178,88.17585403813128,5.22874879143318,0,-0,27.78143346406876
2022,26821.890683349233,894,0,255.24843970759858,147.67422423192744,14.472036816958083,0,-0,46.52749530594974
2023,27651.21261336437,1302,0,300.9187436426617,150.4960540853299,21.263272256875396,0,-0,47.41656498578887
