year,pldhiv,diagnoses,duplicates,deaths,emigrants,diag_departs,inter_departs,inter_arrivals,extra_migrants
1980,2,2,0,0,0,0,0,0,0
1981,1.6699715694574275,1,0,1.23463768115942,0.004990049383152552,0.0904007,0,-0,0.0015722073398973793
1982,3.6499491860916438,2,0,0,0.0046377833657837535,0.01538459999999997,0,-0,0.001461219416616799
1983,18.85196122817716,20,0.9390479706310617,3.7008403540116217,0.011477071976282244,0.1466225612955144,0,-0,0.0036160637733492
1984,460.0519736358657,518.7,51.787824601065935,20.984869693970225,0.05003058260528869,4.677262714670085,0,-0,0.015763060272899178
1985,2234.48046972748,2029.1,150.98712534572442,83.84850363827908,0.9977517567123265,18.838123167670144,0,-0,0.31436014252580147
1986,3742.991833855087,1921.7,207.40506233365065,183.2366342776376,4.818586827878601,17.728352433226416,0,-0,1.5181848909754492
1987,5148.825602642877,2398.7,719.5141178230111,246.60673013247364,8.61722043381113,18.128162822913453,0,-0,2.7150146572281644
1988,6302.416476747286,1807,332.3726654767407,293.42013449580855,11.537634299994778,16.078691623047774,0,-0,3.6351450534230114
1989,7290.827492024622,1768.8,239.4340909783208,506.89939034348697,16.964563548691018,17.090939852164844,0,-0,5.344999474245115
1990,7983.302288048482,1555,170.1762933965438,653.0811754538844,23.502873958594318,15.764861167117047,0,-0,7.405015082844785
1991,8449.33754714175,1484,248.0264350555244,730.54480996505,24.949809775658288,14.443686110501222,0,-0,7.860898970412885
1992,8797.018703787098,1245.7,78.03940378968309,781.5271184893426,24.471053518022412,13.981267557603594,0,-0,7.710057957733088
1993,8885.509982982547,1088.9,76.93063059664885,885.9675377658405,25.137219461868384,12.373332980194016,0,-0,7.919945857848942
1994,8772.457382742949,1033,155.1244019334099,955.8354270317936,24.072050611186775,11.02072066320706,0,-0,7.58434471311364
1995,8790.331165241134,940,47.23048553348412,839.2301917566111,24.177843890973893,11.487696320746702,0,-0,7.617676842361638
1996,8958.257290159338,906,23.949835561015803,677.9260201007332,24.370790729348748,11.827228690700176,0,-0,7.678468311986591
1997,9288.254051660275,819,97.67076354503665,355.1217857548749,26.05298186532511,10.157707333825819,0,-0,8.208473738390104
1998,9664.934231280016,763,88.0252925823188,259.13845029611423,29.19107432891086,9.965003172914443,0,-0,9.197187802259586
1999,10103.01715577035,720,0.49808983883851354,235.9804066821671,34.41359726096655,11.024981727692648,0,-0,10.842640232907268
2000,10485.241032702355,768,88.76022523738354,245.50584309908461,40.602103404458724,10.907951327068464,0,-0,12.792443538391106
2001,10928.62766865352,776.9,48.037248380129455,228.34269388658808,44.86375189160591,12.269669890511187,0,-0,14.135154705574463
2002,11479.619525438851,847,26.664979630342746,207.50787923147882,47.71021765244006,14.125066700408219,0,-0,15.031986383645496
2003,12035.011797061085,870,50.494021546590425,195.15287357390554,54.62164002043827,14.339193236832822,0,-0,17.209557814658634
2004,12708.891891275427,892,25.65934559201194,112.8096813735375,64.15562688275585,15.495251937352087,0,-0,20.213416689087456
2005,13387.57902386248,952,24.236848026837805,162.37404873374038,69.93239766142023,16.76957299094891,0,-0,22.033495153598153
2006,14106.901340823937,977,-18.961857085003416,180.82595883654156,77.27282746277197,18.54075382423344,0,-0,24.34623331018843
2007,14771.149470231148,942,-2.4098934638714433,175.3247776584237,86.64713041000367,18.189855988231248,0,-0,27.299780814110743
2008,15332.090921305027,895,69.5471938929768,154.59813907948862,93.54782272614558,16.365393227510868,0,-0,29.473971543854088
2009,16050.28554489864,933,-22.37830463511269,118.5291249032222,99.07792593701755,19.57663020126225,0,-0,31.21633282947128
2010,16657.26862324788,906,-6.360761943415216,177.27588112462354,108.77994104286975,19.321861426680858,0,-0,34.27313210939732
2011,17325.50576178273,965,8.393237137694122,156.6941424681804,111.04301568672847,20.632466172549417,0,-0,34.98615562732541
2012,18175.276987469322,1068,-36.46522015158924,115.63941811947643,114.70319631249939,24.35138003302348,0,-0,36.13936322174638
2013,18843.286772908345,1029,67.25967189657602,150.38645261499443,121.65493543807366,21.689154611331396,0,-0,38.329637192817735
2014,19379.30541461343,938,54.26401521464139,213.60810916657294,113.72308241921442,20.38615149448498,0,-0,35.830560214273035
2015,19999.118271554682,884,24.961410645308238,97.30195187253605,121.66277002678153,20.261010514123917,0,-0,38.33210562487638
2016,20582.720289149187,881,-12.951633055810765,155.667041032175,132.99106327230717,21.691511156822088,0,-0,41.90129390771322
2017,21052.44958189536,836,0,216.92368363108142,128.55992751694373,20.78709610580414,0,-0,40.50518264232473
2018,21472.99520375133,735,0,175.8767717785744,119.79687205630557,18.780734309146883,0,-0,37.744219962945586
2019,21963.48150901376,799,0,170.4957713575314,116.95213809713667,21.06578528289847,0,-0,36.84793392101566
2020,22317.296706943325,567,0,149.04931707522675,60.182198789334144,3.953286205871619,0,-0,18.96151468705048
2021,22489.817843289777,503,0,250.61534763552265,76.28032713234509,3.583188885682411,0,-0,24.033527726629274
2022,22646.363840330192,509,0,217.8944289315272,126.31990205956716,8.239671968491795,0,-0,39.79942119684992
2023,22914.11440079898,660,0,254.072892748656,127.39792950948663,10.778617273070477,0,-0,40.13907368107113
