year,pldhiv,diagnoses,duplicates,deaths,emigrants,diag_departs,inter_departs,inter_arrivals,extra_migrants
1980,2,2,0,0,0,0,0,0,0
1981,1.82709420289855,1,0,1.17290579710145,0,0,0,-0,0
1982,3.82709420289855,2,0,0,0,0,0,-0,0
1983,19.163423076964847,20,0.9390479706310617,3.7246231553026408,0,0,0,-0,0
1984,486.9249097355856,541,52.98317317277343,20.255340168605866,0,0,0,-0,0
1985,2347.4655689200654,2098,152.47962603363845,84.97971478188191,0,0,0,-0,0
1986,3897.598823802843,1945,210.5420725823629,184.32467253485956,0,0,0,-0,0
1987,5352.697660036585,2419,718.4642454472897,245.43691831896848,0,0,0,-0,0
1988,6553.324015834251,1818,326.3226002418823,291.0510439604513,0,0,0,-0,0
1989,7595.003505101439,1787,243.34196520057043,501.9785455322417,0,0,0,-0,0
1990,8339.872267162124,1564,173.20406263975934,645.9271752995569,0,0,0,-0,0
1991,8867.54221455029,1492,242.71919972363327,721.6108528882,0,0,0,-0,0
1992,9274.719668431002,1256,76.65967925746743,772.162866861822,0,0,0,-0,0
1993,9425.597653632702,1101,74.59664711726691,875.5253676810328,0,0,0,-0,0
1994,9380.874153194602,1049,148.38264767431247,945.3408527637876,0,0,0,-0,0
1995,9454.885253807912,950,44.38838872265475,831.6005106640358,0,0,0,-0,0
1996,9663.445720401578,921,40.231234342032614,672.2082990643004,0,0,0,-0,0
1997,10046.727855800014,836,100.87969706100918,351.8381675405537,0,0,0,-0,0
1998,10475.004210383122,775,89.65487623193984,257.0687691849531,0,0,0,-0,0
1999,10970.362864254683,729,-0.6966235895924866,234.3379697180319,0,0,0,-0,0
2000,11417.775998474737,776,84.52428927159055,244.06257650835582,0,0,0,-0,0
2001,11937.222451601343,788,41.21438622020651,227.3391606531872,0,0,0,-0,0
2002,12572.197043726035,865,23.01825090363851,207.00715697166916,0,0,0,-0,0
2003,13206.992361034934,881,51.112271327729104,195.09241136337275,0,0,0,-0,0
2004,14036.786692028076,918,11.388730589773322,76.81693841708524,0,0,0,-0,0
2005,14841.35771369947,981,56.63675568222972,119.79222264637629,0,0,0,-0,0
2006,15731.392553275553,1020,-6.039026716538443,136.00418714045514,0,0,0,-0,0
2007,16633.933614898368,1055,21.868472740235973,130.59046563695068,0,0,0,-0,0
2008,17422.534482863124,1019,118.41114722929709,111.98798480594533,0,0,0,-0,0
2009,18421.506906412105,1078,-2.1198982188943094,81.14747466991145,0,0,0,-0,0
2010,19397.60751036881,1070,-41.978186697466306,135.87758274076168,0,0,0,-0,0
2011,20453.03089376292,1151,-22.998462108433067,118.57507871432136,0,0,0,-0,0
2012,21607.10431625239,1264,27.69235180436595,82.23422570616425,0,0,0,-0,0
2013,22663.69974617219,1248,77.69900123422484,113.70556884597255,0,0,0,-0,0
2014,23735.349744472227,1338,92.09164430569582,174.25835739427,0,0,0,-0,0
2015,24899.761041306774,1253,23.96573354891007,64.62296961654384,0,0,0,-0,0
2016,26045.829465661413,1266,-0.30557438414702753,120.23715002950978,0,0,0,-0,0
2017,27114.526258194997,1252,0,183.3032074664136,0,0,0,-0,0
2018,28104.163585197282,1132,0,142.36267299771657,0,0,0,-0,0
2019,29207.648881235356,1240,0,136.51470396192454,0,0,0,-0,0
2020,30042.731989256252,948,0,112.9168919791049,0,0,0,-0,0
2021,30564.62029659798,734,0,212.11169265827326,0,0,0,-0,0
2022,31289.84903958965,894,0,168.77125700832815,0,0,0,-0,0
2023,32387.57732648027,1302,0,204.2717131093802,0,0,0,-0,0
