year,pldhiv,diagnoses,duplicates,deaths,emigrants,diag_departs,inter_departs,inter_arrivals,extra_migrants
1980,2,2,0,0,0,0,0,0,0
1981,1.82709420289855,1,0,1.17290579710145,0,0,0,-0,0
1982,3.82709420289855,2,0,0,0,0,0,-0,0
1983,19.163423076964847,20,0.9390479706310617,3.7246231553026408,0,0,0,-0,0
1984,466.0903058349963,519,51.81777707336267,20.255340168605866,0,0,0,-0,0
1985,2263.692618569579,2030,151.05409514160002,81.34359212381743,0,0,0,-0,0
1986,3800.5084172028673,1922,207.4374407062895,177.74676066042207,0,0,0,-0,0
1987,5240.581303506626,2399,719.6041058312435,239.32300786499738,0,0,0,-0,0
1988,6430.253881340937,1807,332.3726654767407,284.9547566889479,0,0,0,-0,0
1989,7467.241230008365,1769,239.46116403247936,492.5514873000925,0,0,0,-0,0
1990,8217.00347393574,1555,170.1762933965438,635.0614626760823,0,0,0,-0,0
1991,8741.997458490341,1484,248.0264350555244,710.9795803898738,0,0,0,-0,0
1992,9148.708509576189,1246,78.05819789832636,761.2307510158265,0,0,0,-0,0
1993,9297.14078872005,1089,76.93769558246909,863.6300252736717,0,0,0,-0,0
1994,9242.559122595412,1033,155.1244019334099,932.4572641912276,0,0,0,-0,0
1995,9315.989547689811,940,47.23048553348412,819.3390893721163,0,0,0,-0,0
1996,9535.706397673048,906,23.949835561015803,662.3333144557479,0,0,0,-0,0
1997,9909.848351016475,819,97.67076354503665,347.1872831115355,0,0,0,-0,0
1998,10331.256667966572,763,88.0252925823188,253.56639046758428,0,0,0,-0,0
1999,10819.636407331143,720,0.49808983883851354,231.12217079658987,0,0,0,-0,0
2000,11258.166884586284,768,88.76022523738354,240.70929750747618,0,0,0,-0,0
2001,11762.962266945962,777,48.04343157595648,224.1611860643665,0,0,0,-0,0
2002,12379.312031422289,847,26.664979630342746,203.98525589333,0,0,0,-0,0
2003,13006.718742990997,870,50.494021546590425,192.0992668847018,0,0,0,-0,0
2004,13797.407327239811,892,25.65934559201194,75.65207015917383,0,0,0,-0,0
2005,14607.421159033722,952,24.236848026837805,117.7493201792504,0,0,0,-0,0
2006,15469.522591804658,977,-18.961857085003416,133.86042431406727,0,0,0,-0,0
2007,16285.515871697697,942,-2.4098934638714433,128.41661357083504,0,0,0,-0,0
2008,17001.32641601505,895,69.5471938929768,109.64226178966908,0,0,0,-0,0
2009,17877.519071394858,933,-22.37830463511269,79.18564925530623,0,0,0,-0,0
2010,18658.014721045125,906,-6.360761943415216,131.86511229314615,0,0,0,-0,0
2011,19500.567440746785,965,8.393237137694122,114.0540431606469,0,0,0,-0,0
2012,20526.627945594802,1068,-36.46522015158924,78.40471530357222,0,0,0,-0,0
2013,21380.348620861732,1029,67.25967189657602,108.01965283649399,0,0,0,-0,0
2014,22099.693774806798,938,54.26401521464139,164.3908308402942,0,0,0,-0,0
2015,22898.562707732606,884,24.961410645308238,60.169656428882696,0,0,0,-0,0
2016,23681.940672423392,881,-12.951633055810765,110.57366836502332,0,0,0,-0,0
2017,24351.273848085635,836,0,166.66682433775537,0,0,0,-0,0
2018,24958.41941305323,735,0,127.85443503240614,0,0,0,-0,0
2019,25636.185019181245,799,0,121.23439387198525,0,0,0,-0,0
2020,26104.075421337955,567,0,99.10959784328934,0,0,0,-0,0
2021,26422.771955698434,503,0,184.30346563952077,0,0,0,-0,0
2022,26785.87109407039,509,0,145.90086162804332,0,0,0,-0,0
2023,27271.003015653336,660,0,174.86807841705533,0,0,0,-0,0
