year,pldhiv,diagnoses,duplicates,deaths,emigrants,diag_departs,inter_departs,inter_arrivals,extra_migrants
1980,2,2,0,0,0,0,0,0,0
1981,1.5128489360163029,1,0,1.296369565217392,0.009980098766305104,0.1808014,0,-0,0.0031444146797947586
1982,3.4736768796339277,2,0,0,0.008402856382374958,0.03076919999999994,0,-0,0.0026474752985564936
1983,18.558762092561416,20,0.9390479706310617,3.660776107768388,0.021845586082033314,0.2932451225910288,0,-0,0.0068828558888598115
1984,452.8162368400398,517,51.618093924717726,21.70205970504003,0.09850494266198642,9.323866680101922,0,-0,0.03103580385240668
1985,2199.778240575273,2023,150.53321895145658,85.97767746659893,1.9641180634630468,37.56298178324853,0,-0,0.6188317186253435
1986,3679.7086738448597,1920,207.2215848886971,187.93513803540532,9.48750512514678,35.42533868116374,0,-0,2.9892139435393963
1987,5051.496804593416,2397,719.0041857763613,253.03399696408417,16.943056347558006,36.23063016344,0,-0,5.338223232792249
1988,6170.360219324885,1807,332.3726654767407,300.967462202574,22.639074343118207,32.15738324609702,0,-0,7.132859039612585
1989,7111.838204002304,1768,239.32579876168654,519.8115959641867,33.21820081083461,34.16641978587319,0,-0,10.466008474646522
1990,7749.957628304877,1555,170.1762933965438,669.3227997637285,45.851760202919344,31.52972233423425,0,-0,14.44644499544034
1991,8160.398745518806,1484,248.0264350555244,748.2039764207398,48.44109908880447,28.887372221002444,0,-0,15.262264096472641
1992,8452.350792208663,1245,77.9955508695155,799.8371280925721,47.26845230548207,27.946822042573974,0,-0,14.892800041453253
1993,8484.396609344432,1088,76.86704572426663,906.0562425488198,48.304682299010906,24.72621229213167,0,-0,15.219283464071928
1994,8317.524701518701,1033,155.1244019334099,976.7353043109133,45.970760254993415,22.041441326414223,0,-0,14.483938162532171
1995,8284.503453343616,940,47.23048553348412,856.9673698289738,45.84800017113526,22.975392641493404,0,-0,14.445260327891932
1996,8405.162047315744,906,23.949835561015803,691.8002999750776,45.936813110377464,23.654457381400253,0,-0,14.473242486831255
1997,8695.119892899507,819,97.67076354503665,362.16710701815776,48.88886918539064,20.315414667652437,0,-0,15.403342346081983
1998,9031.449266545556,763,88.0252925823188,264.0613763859822,54.653951039819084,19.93000634582956,0,-0,17.21973799884711
1999,9424.340353944664,720,0.49808983883851354,240.2449208213651,64.31593848530245,22.049963455385296,0,-0,20.26392582413639
2000,9756.334455379043,768,88.76022523738354,249.6805097018736,75.74926097222838,21.815902654136323,0,-0,23.866205511797986
2001,10144.413280562721,776,47.981599617686264,231.9387810034963,83.48988201844753,24.510912176692926,0,-0,26.30503132088073
2002,10637.448977400963,847,26.664979630342746,210.47591629491274,88.5732738356859,28.25013340081571,0,-0,27.90664792083254
2003,11129.36655519119,870,50.494021546590425,197.681065356882,101.22894883263324,28.678386473666464,0,-0,31.89405237192554
2004,11680.31021668979,892,25.65934559201194,165.75077017105585,118.65571886362876,30.990503874704174,0,-0,37.38467854607481
2005,12224.700799011416,952,24.236848026837805,221.28844809343522,128.54497557620263,33.53914598189782,0,-0,40.500471756885766
2006,12801.196659349083,977,-18.961857085003416,241.2630519902963,141.12143710857126,37.08150764846788,0,-0,44.4629185410567
2007,13316.033260155975,942,-2.4098934638714433,235.93906680129402,157.25451387922462,36.37971197646239,0,-0,49.545942729070774
2008,13725.948465005646,895,69.5471938929768,214.14209153932248,168.6647232630077,32.73078645502183,0,-0,53.140940206153104
2009,14291.49124012673,933,-22.37830463511269,173.2846118172305,177.3976572942724,39.15326040252557,0,-0,55.89241257216801
2010,14737.308736354042,906,-6.360761943415216,234.17992707562175,193.71961578712126,38.643722853361716,0,-0,61.03494743977793
2011,15245.112827629824,965,8.393237137694122,211.0499185542839,196.4878206871395,41.26493234509989,0,-0,61.90712158635902
2012,15932.782754102294,1068,-36.46522015158924,166.23254828079868,201.8599853322718,48.702760066047944,0,-0,63.599721406058244
2013,16433.06179529735,1029,67.25967189657602,204.79306098892135,213.2899166967856,43.378309222661834,0,-0,67.20093265789136
2014,16805.323985302173,938,54.26401521464139,272.3477264990388,198.35376529252957,40.77230298896918,0,-0,62.495021941481916
2015,17261.238648072733,884,24.961410645308238,151.5951410195666,211.006764536319,40.522021028247075,0,-0,66.48158334705941
2016,17668.6476707138,881,-12.951633055810765,213.59041909735507,229.5691690037477,43.38302231364427,0,-0,72.33001215186572
2017,17966.060654249784,836,0,276.29563702357666,220.71718722882935,41.57419221160828,0,-0,69.54103159264484
2018,18223.290555168882,735,0,235.74046525642044,204.4681652061904,37.56146861829368,0,-0,64.42147670879972
2019,18548.664120778936,799,0,232.98945986261361,198.50540396153286,42.13157056579774,0,-0,62.542798508428156
2020,18789.807829263296,567,0,216.29922339945256,101.65049570444326,7.906572411742672,0,-0,32.026868509619106
2021,18826.103845908514,503,0,331.0908042713033,128.44680131211194,7.166377771364264,0,-0,40.46954013943254
2022,18794.106393563947,509,0,313.0347064032451,211.48340200433864,16.47934393698308,0,-0,66.63175679588753
2023,18866.066882458785,660,0,355.0284415502368,211.4538350087851,21.557234546140954,0,-0,66.62244116715145
