run,year,N_HIV_Obs_M_LB,N_HIV_Obs_M_UB,N_CD4_1_Obs_M_LB,N_CD4_1_Obs_M_UB,N_CD4_2_Obs_M_LB,N_CD4_2_Obs_M_UB,N_CD4_3_Obs_M_LB,N_CD4_3_Obs_M_UB,N_CD4_4_Obs_M_LB,N_CD4_4_Obs_M_UB,N_AIDS_M_LB,N_AIDS_M_UB,N_HIVAIDS_Obs_M_LB,N_HIVAIDS_Obs_M_UB,N_Inf_M_LB,N_Inf_M_UB,N_Alive_LB,N_Alive_UB,N_Alive_Diag_M_LB,N_Alive_Diag_M_UB,N_Und_LB,N_Und_UB,N_Und_Alive_p_LB,N_Und_Alive_p_UB,delta1_LB,delta1_UB,delta2_LB,delta2_UB,delta3_LB,delta3_UB,delta4_LB,delta4_UB,t_diag_LB,t_diag_UB,t_diag_p50_LB,t_diag_p50_UB,t_diag_p25_LB,t_diag_p25_UB,t_diag_p75_LB,t_diag_p75_UB,D_Avg_Time_LB,D_Avg_Time_UB,N_Und_CD4_3_M_LB,N_Und_CD4_3_M_UB,N_Und_CD4_4_M_LB,N_Und_CD4_4_M_UB,Version,Timestamp
1,1980,0.017982,0.017982,0,0,0,0,0,0,0,0,0.017982,0.017982,0.017982,0.017982,8.34664,8.34664,8.345847,8.345847,0.017982,0.017982,8.327865,8.327865,99.784534,99.784534,0,0,0,0,0,0,0,0,11.567122,11.567122,10.8755,10.8755,6.3895,6.3895,17.2385,17.2385,0.5,0.5,0.901269,0.901269,0.207259,0.207259,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 12:17:44
1,1981,0.232443,0.232443,0,0,0,0,0,0,0,0,0.232443,0.232443,0.232443,0.232443,23.384609,23.384609,31.720207,31.720207,0.250425,0.250425,31.469782,31.469782,99.210518,99.210518,0,0,0,0,0,0,0,0,11.567122,11.567122,10.8755,10.8755,6.3895,6.3895,17.2385,17.2385,1.142101,1.142101,4.53183,4.53183,1.228684,1.228684,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 12:17:44
1,1982,0.850239,0.850239,0,0,0,0,0,0,0,0,0.850239,0.850239,0.850239,0.850239,36.094846,36.094846,67.777565,67.777565,1.100664,1.100664,66.676901,66.676901,98.376064,98.376064,0,0,0,0,0,0,0,0,11.567122,11.567122,10.8755,10.8755,6.3895,6.3895,17.2385,17.2385,1.637183,1.637183,11.009422,11.009422,3.39385,3.39385,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 12:17:44
1,1983,1.97903,1.97903,0,0,0,0,0,0,0,0,1.97903,1.97903,1.97903,1.97903,46.684331,46.684331,114.374637,114.374637,3.079694,3.079694,111.294943,111.294943,97.307363,97.307363,0,0,0,0,0,0,0,0,11.567122,11.567122,10.8755,10.8755,6.3895,6.3895,17.2385,17.2385,2.120744,2.120744,20.130953,20.130953,6.877559,6.877559,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 12:17:44
1,1984,34.085648,34.085648,4.010802,4.010802,0,0,0.780209,0.780209,0.335111,0.335111,3.752662,3.752662,3.328918,3.328918,55.360042,55.360042,169.587901,169.587901,37.165342,37.165342,132.42256,132.42256,78.08491,78.08491,0.51223,0.51223,-0.013835,-0.013835,0.195724,0.195724,0.218414,0.218414,3.826899,3.826899,2.6835,2.6835,1.1655,1.1655,5.5785,5.5785,2.14801,2.14801,27.279441,27.279441,9.56389,9.56389,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 12:17:44
1,1985,38.802758,38.802758,2.84027,2.84027,0.114722,0.114722,0.752471,0.752471,0.381896,0.381896,6.109678,6.109678,4.452147,4.452147,62.32896,62.32896,230.584949,230.584949,74.83249,74.83249,155.752459,155.752459,67.546672,67.546672,0.490507,0.490507,0.012329,0.012329,0.200639,0.200639,0.268251,0.268251,3.67567,3.67567,2.6165,2.6165,1.1615,1.1615,5.3075,5.3075,2.372978,2.372978,34.917235,34.917235,12.224334,12.224334,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 12:17:44
1,1986,45.321076,45.321076,7.273708,7.273708,0.670772,0.670772,2.349024,2.349024,1.354316,1.354316,9.021427,9.021427,5.524355,5.524355,67.798064,67.798064,294.5402,294.5402,116.554332,116.554332,177.985868,177.985868,60.428379,60.428379,0.468784,0.468784,0.038492,0.038492,0.205555,0.205555,0.318088,0.318088,3.553905,3.553905,2.5645,2.5645,1.1595,1.1595,5.0955,5.0955,2.567162,2.567162,42.09371,42.09371,14.636625,14.636625,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 12:17:44
1,1987,52.208735,52.208735,6.407648,6.407648,0.947524,0.947524,2.369692,2.369692,1.512986,1.512986,12.424913,12.424913,6.454629,6.454629,71.974332,71.974332,361.07611,361.07611,163.609241,163.609241,197.466869,197.466869,54.688434,54.688434,0.447061,0.447061,0.064655,0.064655,0.21047,0.21047,0.367925,0.367925,3.456433,3.456433,2.5245,2.5245,1.1595,1.1595,4.9285,4.9285,2.756551,2.756551,48.322408,48.322408,16.595516,16.595516,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 12:17:44
1,1988,58.675032,58.675032,11.318076,11.318076,2.313069,2.313069,4.625947,4.625947,3.201532,3.201532,16.228674,16.228674,7.174337,7.174337,75.064744,75.064744,429.142288,429.142288,215.602037,215.602037,213.540251,213.540251,49.759778,49.759778,0.425337,0.425337,0.090819,0.090819,0.215386,0.215386,0.417762,0.417762,3.379481,3.379481,2.4955,2.4955,1.1595,1.1595,4.7985,4.7985,2.934809,2.934809,53.384945,53.384945,17.996343,17.996343,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 12:17:44
1,1989,64.304571,64.304571,9.536357,9.536357,2.485732,2.485732,4.215156,4.215156,3.10561,3.10561,20.328619,20.328619,7.65764,7.65764,77.276279,77.276279,493.460183,493.460183,267.285862,267.285862,226.174321,226.174321,45.834361,45.834361,0.403614,0.403614,0.116982,0.116982,0.220302,0.220302,0.4676,0.4676,3.320283,3.320283,2.4735,2.4735,1.1615,1.1615,4.6985,4.6985,3.094007,3.094007,57.232866,57.232866,18.831416,18.831416,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 12:17:44
