run,year,N_HIV_M,Cum_HIV_M,N_HIV_Obs_M,N_HIV_D,N_CD4_1_M,N_CD4_1_Obs_M_NoW,N_CD4_1_Obs_M,N_CD4_1_D,N_CD4_2_M,N_CD4_2_Obs_M_NoW,N_CD4_2_Obs_M,N_CD4_2_D,N_CD4_3_M,N_CD4_3_Obs_M_NoW,N_CD4_3_Obs_M,N_CD4_3_D,N_CD4_4_M,N_CD4_4_Obs_M_NoW,N_CD4_4_Obs_M,N_CD4_4_D,N_HIVAIDS_M,N_HIVAIDS_Obs_M,N_HIVAIDS_D,N_AIDS_M,N_AIDS_D,N_Dead_D,Cum_Dead_D,N_Diag_Dead_M,Cum_Diag_Dead_M,N_Und_Dead_D,Cum_Und_Dead_D,N_Und_Dead_M,Cum_Und_Dead_M,N_Emig_D,Cum_Emig_D,Cum_Inf_M,Cum_Inf_D,N_Inf_M,N_Inf_D,delta1,delta2,delta3,delta4,t_diag,t_diag_p50,t_diag_p25,t_diag_p75,D_Avg_Time,t_diag_1,t_diag_2,t_diag_3,t_diag_4,t_diag_5,t_diag_6,t_diag_7,t_diag_8,t_diag_9,t_diag_10,t_diag_11,t_diag_12,t_diag_13,t_diag_14,t_diag_15,N_Alive,N_Alive_Diag_M,N_Und,N_Und_1,N_Und_2,N_Und_Inf_p,N_Und_Alive_p,N_Und_PrimInf,N_Und_CD4_1_M,N_Und_CD4_2_M,N_Und_CD4_3_M,N_Und_CD4_4_M,N_Und_HIVAIDS_M,N_Und_500,N_Und_350,N_Und_T_1,N_Und_T_1_p,N_Und_PrimInf_T_1,N_Und_CD4_1_T_1,N_Und_CD4_2_T_1,N_Und_CD4_3_T_1,N_Und_CD4_4_T_1,N_Und_CD4_5_T_1,N_Und_T_2,N_Und_T_2_p,N_Und_PrimInf_T_2,N_Und_CD4_1_T_2,N_Und_CD4_2_T_2,N_Und_CD4_3_T_2,N_Und_CD4_4_T_2,N_Und_CD4_5_T_2,N_Und_T_3,N_Und_T_3_p,N_Und_PrimInf_T_3,N_Und_CD4_1_T_3,N_Und_CD4_2_T_3,N_Und_CD4_3_T_3,N_Und_CD4_4_T_3,N_Und_CD4_5_T_3,LL_HIV,LL_CD4_1,LL_CD4_2,LL_CD4_3,LL_CD4_4,LL_AIDS,LL_HIVAIDS,Version,Timestamp
0,1980,0.015836,0.015836,0.015836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015836,0.015836,0,0.015836,0,0,0,0.001539,0.001539,0,0,0.000698,0.000698,0,0,7.365982,0,7.365982,0,0,0,0,0,11.567122,10.8755,6.3895,17.2385,0.5,1.19279,2.688429,3.724466,4.546088,5.15016,5.543558,5.745209,5.781735,5.683217,5.47992,5.200068,4.868552,4.506353,4.13046,3.754111,7.365284,0.015836,7.349448,0,7.349448,99.77553,99.784989,2.683517,2.596896,1.086396,0.794736,0.182728,0.005175,5.280413,0.982639,7.349448,100,2.683517,2.596896,1.086396,0.794736,0.182728,0.005175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031672,0.031672,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 12:17:44
0,1981,0.205451,0.221287,0.205451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205451,0.205451,0,0.205451,0,0,0,0.039891,0.041431,0,0,0.009059,0.009757,0,0,28.154303,0,20.788321,0,0,0,0,0,11.567122,10.8755,6.3895,17.2385,1.140858,1.19279,2.688429,3.724466,4.546088,5.15016,5.543558,5.745209,5.781735,5.683217,5.47992,5.200068,4.868552,4.506353,4.13046,3.754111,28.144546,0.221287,27.923259,0,27.92326,99.179365,99.213748,5.79324,11.799237,5.192618,4.015899,1.088106,0.03416,17.592476,5.138165,20.711282,74.172152,5.750426,8.222663,3.494095,2.59656,0.628734,0.018804,7.211977,25.82785,0.042818,3.576571,1.698522,1.419339,0.459372,0.015356,0,0,0,0,0,0,0,0,0,0,0,0,0,0.410902,0.410902,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 12:17:44
0,1982,0.754715,0.976002,0.754715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.754715,0.754715,0,0.754715,0,0,0,0.216307,0.257738,0,0,0.033277,0.043034,0,0,60.518104,0,32.363801,0,0,0,0,0,11.567122,10.8755,6.3895,17.2385,1.634138,1.19279,2.688429,3.724466,4.546088,5.15016,5.543558,5.745209,5.781735,5.683217,5.47992,5.200068,4.868552,4.506353,4.13046,3.754111,60.47507,0.976002,59.499068,0,59.499068,98.316147,98.386108,8.480771,26.092223,12.001925,9.806725,3.019337,0.098088,34.572994,12.924149,32.234466,54.176422,8.388356,13.07777,5.572144,4.151816,1.013806,0.030574,27.264602,45.823579,0.092437,13.01444,6.429775,5.654906,2.00553,0.067514,0,0,0,0,0,0,0,0,0,0,0,0,0,1.50943,1.50943,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 12:17:44
0,1983,1.764642,2.740644,1.764642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.764642,1.764642,0,1.764642,0,0,0,0.646317,0.904055,0,0,0.077806,0.12084,0,0,102.767299,0,42.249195,0,0,0,0,0,11.567122,10.8755,6.3895,17.2385,2.114849,1.19279,2.688429,3.724466,4.546088,5.15016,5.543558,5.745209,5.781735,5.683217,5.47992,5.200068,4.868552,4.506353,4.13046,3.754111,102.646459,2.740644,99.905815,0,99.905817,97.215569,97.330016,10.76986,43.81712,20.939272,18.028825,6.147535,0.203203,54.58698,24.379564,42.075091,42.114756,10.634623,17.227189,7.348316,5.481261,1.343061,0.04064,57.830727,57.885246,0.135319,26.589881,13.590937,12.547552,4.804472,0.162565,0,0,0,0,0,0,0,0,0,0,0,0,0,3.529285,3.529285,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 12:17:44
0,1984,32.966519,35.707164,32.966519,10.325122,19.974998,19.974998,4.178739,1,3.658346,3.658346,0.76532,0,4.000743,4.000743,0.836949,0,2.457159,2.457159,0.514034,1,2.875273,2.875273,0.764824,3.384623,0.764824,0,0,1.446436,2.35049,0,0,0.126776,0.247616,0,0,153.368578,0,50.601279,0,0.459113,0.145277,0.188276,0.334972,3.205334,2.3495,1.0965,4.5425,2.152165,22.633045,21.522604,15.237197,11.002815,8.049607,5.907036,4.319502,3.135839,2.256091,1.607619,1.134666,0.793601,0.550361,0.3787,0.258723,153.120962,35.707164,117.413798,0,117.413804,76.556619,76.680421,12.69834,45.146176,26.985964,24.266773,8.04305,0.273496,57.844516,32.583319,45.791072,38.999737,12.526492,17.464364,8.229201,6.113078,1.414611,0.043327,71.622732,61.000268,0.171845,27.681818,18.756764,18.153697,6.62844,0.230169,0,0,0,0,0,0,0,0,0,3.49746,1.530641,1.673899,0.359,2.964474,2.195251,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 12:17:44
0,1985,37.974772,73.681935,37.974772,63.152877,20.746219,20.746219,4.886978,6,4.874542,4.874542,1.148247,2,5.259194,5.259194,1.238856,3,3.380603,3.380603,0.796335,2,3.714214,3.714214,7.965228,5.526802,8.778006,1.13561,1.13561,2.703741,5.054231,0,0,0.163766,0.411382,0,0,210.945402,0,57.576824,0,0.446445,0.158167,0.190551,0.359384,3.182596,2.3445,1.0995,4.5025,2.372418,22.547119,21.628663,15.3905,11.114002,8.102795,5.913309,4.295816,3.096966,2.21247,1.565613,1.09755,0.7626,0.525489,0.359342,0.244012,209.39841,72.546326,136.852084,0,136.852079,64.875595,65.354882,14.303775,49.46162,32.044199,30.556817,10.139653,0.346022,63.765395,41.042491,52.086521,38.060451,14.101233,20.008629,9.352993,6.970654,1.603803,0.049209,81.434779,59.505691,0.202614,28.665712,21.865337,22.429741,7.993704,0.277671,3.33078,2.433854,0,0.787231,0.825853,1.156412,0.542144,0.01914,0,0.23618,0.516137,1.784257,1.276201,1.619704,3.651612,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 12:17:44
0,1986,43.903892,117.585827,43.903892,59.8484,22.287924,22.287924,5.752108,9,6.090033,6.090033,1.571727,1,6.510088,6.510088,1.680135,2,4.430145,4.430145,1.14334,2,4.585702,4.585702,5.602034,8.191251,6.535707,3.599234,4.734844,4.441839,9.49607,0,0,0.202192,0.613573,0,0,274.278007,0,63.332605,0,0.433776,0.171058,0.192826,0.383796,3.163539,2.3415,1.1035,4.4685,2.54017,22.454754,21.720031,15.531082,11.217597,8.15333,5.920652,4.275584,3.062797,2.173969,1.528585,1.064947,0.735496,0.503859,0.342604,0.231368,268.92959,112.850984,156.078606,0,156.078601,56.905258,58.036978,15.624302,54.952917,36.417658,36.476159,12.190045,0.417526,70.577218,49.08373,57.292841,36.707684,15.396135,22.146147,10.266054,7.675326,1.755249,0.05393,89.430425,57.298324,0.228231,30.943943,23.861366,25.271036,8.819329,0.30652,9.355334,5.993989,0,1.862784,2.290223,3.529788,1.615466,0.057073,0,1.562064,0.239104,0.057362,0.523454,0.359745,0.21024,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 12:17:44
0,1987,49.916402,167.502229,49.916402,68.702147,23.983167,23.983167,6.34219,10.9,7.305533,7.305533,1.9319,3,7.694409,7.694409,2.034736,2,5.525769,5.525769,1.461253,0,5.407524,5.407524,8.575857,11.3297,14.293096,5.153825,9.888669,6.668704,16.164774,0,0,0.238427,0.852001,0,0,342.303403,0,68.025396,0,0.421108,0.183948,0.195101,0.408209,3.148015,2.3405,1.1075,4.4415,2.687628,22.355949,21.796753,15.659127,11.313929,8.201609,5.929435,4.259082,3.033486,2.140621,1.496474,1.03673,0.712124,0.485292,0.328309,0.220629,331.562733,157.61356,173.949173,0,173.949166,50.817249,52.463427,16.697727,60.722294,40.181751,41.828331,14.036774,0.482297,77.420021,56.347401,61.549938,35.383863,16.448482,23.926192,10.996565,8.246846,1.874202,0.05765,97.74061,56.189178,0.249302,34.284398,25.728514,27.671552,9.477225,0.329621,14.658618,8.426955,0,2.511666,3.456659,5.909924,2.685346,0.095023,0,2.689922,0.50445,0.000596,2.922506,0.715182,1.573012,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 12:17:44
0,1988,55.570296,223.072525,55.570296,70.760061,25.550065,25.550065,9.25896,11,8.503869,8.503869,3.081675,5,8.781685,8.781685,3.182351,3,6.606137,6.606137,2.393965,3,6.12854,6.12854,10.051145,14.868199,13.066489,6.682237,16.570906,9.362273,25.527047,0,0,0.270218,1.122219,0,0,414.115372,0,71.811969,0,0.408439,0.196838,0.197376,0.432621,3.135902,2.3405,1.1115,4.4185,2.820968,22.250699,21.858859,15.774785,11.403271,8.247965,5.939968,4.246539,3.009161,2.112454,1.469226,1.012792,0.692345,0.469639,0.316314,0.211663,396.422247,206.50162,189.920628,0,189.920621,45.861767,47.90867,17.561937,66.344604,43.352277,46.524084,15.600335,0.53739,83.906541,62.661809,64.997944,34.223741,17.295552,25.39902,11.572237,8.704855,1.965755,0.060525,106.840161,56.255164,0.266429,38.192782,27.727236,30.147573,10.152726,0.353415,18.082516,9.521091,0,2.752773,4.052794,7.671649,3.481853,0.123447,0,0.308598,1.002997,0.010654,0.141898,0.227725,2.099997,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 12:17:44
0,1989,60.651539,283.724064,60.651539,63.835927,26.875006,26.875006,12.209036,15,9.665206,9.665206,4.390803,4,9.756447,9.756447,4.432253,7,7.629198,7.629198,3.465866,3,6.725682,6.725682,0,18.721409,11.783518,12.620745,29.191651,12.476339,38.003386,0,0,0.296547,1.418766,0,0,488.964471,0,74.849099,0,0.395771,0.209729,0.199651,0.457034,3.127108,2.3425,1.1165,4.4015,2.940612,22.139003,21.906368,15.878169,11.485844,8.292667,5.952505,4.238146,2.989925,2.089488,1.446797,0.993042,0.676046,0.45678,0.3065,0.204364,458.354054,254.532413,203.821641,0,203.821633,41.684346,44.468166,18.254819,71.644355,45.950373,50.536013,16.854313,0.581768,89.899174,67.972094,67.777252,33.253217,17.974635,26.61587,12.020313,9.068886,2.034843,0.062705,115.05169,56.447239,0.280218,41.945973,29.431214,32.318288,10.703111,0.372886,20.992692,10.29954,0,3.082489,4.498838,9.148835,4.116358,0.146171,0,0.594288,0.035864,1.262536,0.06563,2.965047,13.451365,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 12:17:44
