year,ausDiagnoses,excludedDiagnoses,seroconverters
1980,4,0,0
1981,2,0,0
1982,4,0,0
1983,40,0,0
1984,1037.5,44.5,0
1985,4058.5,137.5,0
1986,3843,47,0
1987,4797.5,40.5,0
1988,3614,22,0
1989,3537.8,36.2,0
1990,3110,18,0
1991,2967.9,16.1,0
1992,2491.6,20.4,0
1993,2177.9,24.1,0
1994,2066,32,0
1995,1880,20,0
1996,1812,30,0
1997,1638,34,0
1998,1526,24,0
1999,1440,18,0
2000,1536,16,0
2001,1555.9,20.1,2
2002,1694,36,0
2003,1740,22,0
2004,1784,52,0
2005,1904,58,0
2006,1954,86,0
2007,1884,226,0
2008,1790,248,0
2009,1876,280,10
2010,1816,324,4
2011,1950,352,20
2012,2138,390,2
2013,2060,436,2
2014,2152,524,276
2015,2052,454,284
2016,2002,530,240
2017,1918,586,246
2018,1674,590,204
2019,1788,692,190
2020,1250,646,116
2021,1082,386,76
2022,1100,688,82
2023,1444,1160,124
