stage,year,population,value,lower,upper
infected,1980,female,0,0,0
infected,1981,female,0,0,0
infected,1982,female,0,0,0
infected,1983,female,0,0,0
infected,1984,female,44.82490758388953,37.839198492155866,52.47305366170771
infected,1985,female,215.4433248604768,181.47138111321624,247.1317109136518
infected,1986,female,312.1322743552832,264.1056036926914,353.87383318976117
infected,1987,female,409.7076111080511,352.2524788904918,459.72435492995766
infected,1988,female,497.0782646131027,435.1876706961939,551.9215912708338
infected,1989,female,560.0191903178436,498.2028045843657,614.8822254675433
infected,1990,female,641.2809412668171,577.1278966218812,701.8470189869953
infected,1991,female,697.9648018618732,637.2749043097114,761.6574165909062
infected,1992,female,773.0403669439629,712.6172679854624,842.2944345862222
infected,1993,female,806.8019357266545,747.1577431077319,879.2617254685844
infected,1994,female,864.926935793045,798.4238820274268,942.6098605551416
infected,1995,female,894.5392690739536,824.7618199510043,974.4001203750782
infected,1996,female,939.3558059073956,866.5465489595578,1022.676592574598
infected,1997,female,1009.7062350663358,933.589357147772,1101.140983968863
infected,1998,female,1102.3039457304783,1022.4505591602592,1200.6863126046967
infected,1999,female,1166.7539449517974,1081.9015121375032,1266.7207967065806
infected,2000,female,1228.4369948927251,1131.1868486543344,1332.6988649204377
infected,2001,female,1320.260180167731,1208.3255875791604,1431.5284308027071
infected,2002,female,1395.18248763233,1276.4487397773134,1514.9476593972222
infected,2003,female,1473.405181060294,1350.1706407574472,1601.3046402929554
infected,2004,female,1595.4110346984578,1461.7523456876404,1738.7568964815505
infected,2005,female,1671.611611029515,1527.689838485814,1825.668896594866
infected,2006,female,1802.6495293798016,1646.5824971637776,1969.0899490327463
infected,2007,female,1916.8826209210008,1745.3636887705666,2095.0901575123157
infected,2008,female,2031.9098757903805,1839.745674131333,2229.7050176841144
infected,2009,female,2150.2238046130024,1942.211350368901,2367.262933058388
infected,2010,female,2262.295293014566,2033.769917108296,2502.870886137675
infected,2011,female,2369.042066620902,2117.3122345172997,2631.5944489398557
infected,2012,female,2484.871790116499,2210.2904106816545,2775.0625750157183
infected,2013,female,2609.7130861945443,2315.581866159416,2924.3216876435135
infected,2014,female,2750.808047744607,2434.2243691977083,3091.1709976422917
infected,2015,female,2887.6382288990467,2550.8405096330034,3251.362840041635
infected,2016,female,3009.0136374341214,2660.0550643621464,3381.4399415766316
infected,2017,female,3154.7147180027782,2796.2021825749102,3528.337816671461
infected,2018,female,3296.4717606469053,2938.409698651412,3653.2869862784983
infected,2019,female,3472.760657296546,3123.5503857324156,3807.4933513750752
infected,2020,female,3633.9191137203225,3286.6074780449876,3964.380586092601
infected,2021,female,3748.1575801932063,3399.699773276029,4076.991056949166
infected,2022,female,3908.74818970717,3571.4811783460336,4205.949640226243
infected,2023,female,4083.673288400374,3752.8568814501423,4363.697082268674
pldhiv,1980,female,0,0,0
pldhiv,1981,female,0,0,0
pldhiv,1982,female,0,0,0
