stage,year,value,lower,upper
pldhiv,1980,0,0,0
pldhiv,1981,0,0,0
pldhiv,1982,0,0,0
pldhiv,1983,0,0,0
pldhiv,1984,10.221691061743522,9.74350944903019,12.237181998260882
pldhiv,1985,71.58225530497532,69.10344299204567,75.9576235897386
pldhiv,1986,127.05034050902317,120.94648282750678,133.92300415607193
pldhiv,1987,189.54930330833866,180.50098008914907,200.19611112223816
pldhiv,1988,252.4066988768665,240.83388097621787,265.8304033757491
pldhiv,1989,302.18911569165664,287.95484903595514,317.72463983092365
pldhiv,1990,365.1328625063341,347.3624082609359,387.9135641933245
pldhiv,1991,414.164143497367,393.4463234618006,440.80972615334343
pldhiv,1992,474.62839359590106,450.3361347565992,505.41764541829195
pldhiv,1993,507.2675291530014,480.26297324236026,541.0948164586371
pldhiv,1994,550.8671757022986,518.377285297289,588.7129236834126
pldhiv,1995,577.25231511509,541.2114964474432,617.974634288538
pldhiv,1996,616.1433212848488,576.7173472921037,660.4215428371078
pldhiv,1997,671.5681288343353,628.2297043090709,720.2066988805235
pldhiv,1998,747.3357081854693,699.8073860523998,800.2598402367023
pldhiv,1999,803.8257797305475,752.3870054936065,861.0170659218709
pldhiv,2000,855.1421731819822,798.6190752609258,917.5249618754547
pldhiv,2001,929.6392006766158,866.834461938242,998.8688645002017
pldhiv,2002,993.2809274306437,923.3389087899224,1068.8282804057196
pldhiv,2003,1059.801009106689,983.3933808388574,1142.9791110609676
pldhiv,2004,1158.750219978115,1070.7168323498227,1253.5318858824671
pldhiv,2005,1227.3300194419126,1127.9404986356099,1333.610607015444
pldhiv,2006,1331.562420929919,1218.3988875063487,1451.273086942816
pldhiv,2007,1410.1743352628598,1283.341212959455,1544.1445953778461
pldhiv,2008,1490.371527892599,1348.4954254066129,1639.7904261836306
pldhiv,2009,1578.678293164447,1421.007581473488,1744.0733651942044
pldhiv,2010,1652.321811432661,1477.0613363993557,1836.3413815791755
pldhiv,2011,1720.2718913974177,1529.1734484918966,1921.860864833924
pldhiv,2012,1800.3547332670162,1592.6252947887958,2020.2484986569507
pldhiv,2013,1876.006029032592,1651.3925641858907,2115.0109712377357
pldhiv,2014,1946.452667113822,1705.2411920932684,2204.360624811013
pldhiv,2015,2021.725256018035,1763.54550436446,2298.7384491942744
pldhiv,2016,2079.5749525349597,1811.648210857978,2366.453885905665
pldhiv,2017,2159.1217643861078,1888.6318492790854,2446.1687947540527
pldhiv,2018,2228.566354101413,1962.9955951773222,2505.6370644986923
pldhiv,2019,2326.760006692792,2072.2631505648174,2585.523746274143
pldhiv,2020,2404.981669641773,2158.2193889186447,2649.99361598376
pldhiv,2021,2465.7911334649325,2228.6409905473174,2693.812191137426
pldhiv,2022,2567.639502610472,2351.6700391070112,2763.4680602363696
pldhiv,2023,2679.565744922058,2485.4858422218,2842.6236390792296
