year,notifications,annunique,cumunique,propunique,unique,duplicates,totalnotifications,cumpropunique,cum_unique,cumduplicates,propunique_replace,unique_replace,duplicates_replace,cumpropunique_replace,cum_unique_replace,cumduplicates_replace
1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,14.5,0.7811710728050223,0.7811710728050223,0.7811710728050223,11.319800742771466,3.1801992572285345,14.5,0.7811710728050223,11.319800742771466,3.1801992572285345,0.7811710728050223,11.319800742771466,3.1801992572285345,0.7811710728050223,11.319800742771466,3.1801992572285345
1985,85.9,0.8286571569279014,0.8217242891594354,0.8286571569279014,71.1896364171767,14.710363582823295,100.4,0.8217242891594354,82.50943715994818,17.890562840051825,0.8286571569279014,71.1896364171767,14.710363582823295,0.8217242891594354,82.50943715994818,17.890562840051825
1986,65.1,0.9348694994750496,0.8662898372519219,0.9348694994750496,60.867082717743834,4.232917282256165,165.5,0.8662898372519219,143.376519877692,22.12348012230799,0.9348694994750496,60.867082717743834,4.232917282256165,0.8662898372519219,143.376519877692,22.12348012230799
1987,74.1,0.9544549682817894,0.8935733145294709,0.9544549682817894,70.72815144203679,3.371848557963216,239.6,0.8935733145294709,214.1046713197288,25.495328680271207,0.9544549682817894,70.72815144203679,3.371848557963216,0.8935733145294709,214.1046713197288,25.495328680271207
1988,72.4,1.0050095653385285,0.9194382932159385,1.0050095653385285,72.76345275437562,-0.3634527543756178,312,0.9194382932159385,286.8681240741044,25.13187592589559,1.0050095653385285,72.76345275437562,-0.3634527543756178,0.9194382932159385,286.8681240741044,25.13187592589559
1989,66.3,1.0234967278785767,0.9376793088854951,1.0234967278785767,67.85712496591859,-1.5571249659185924,378.3,0.9376793088854951,354.725249040023,23.574750959976996,1.0234967278785767,67.85712496591859,-1.5571249659185924,0.9376793088854951,354.725249040023,23.574750959976996
1990,83.7,0.9901411968517204,0.9471816223154838,0.9901411968517204,82.87594313071632,0.8240568692836746,462,0.9471816223154838,437.60119217073935,24.39880782926067,0.9901411968517204,82.87594313071632,0.8240568692836746,0.9471816223154838,437.60119217073935,24.39880782926067
1991,78,0.9506860721287523,0.9476928841802791,0.9506860721287523,74.15414158739938,3.8458584126006143,540,0.9476928841802791,511.7553337581387,28.244666241861285,0.9506860721287523,74.15414158739938,3.8458584126006143,0.9476928841802791,511.7553337581387,28.244666241861285
1992,87.2,1.034019642473295,0.9596868448236184,1.034019642473295,90.16233735402001,-2.9623373540200078,627.2,0.9596868448236184,601.9176711121587,25.282328887841278,1.034019642473295,90.16233735402001,-2.9623373540200104,0.9596868448236184,601.9176711121587,25.282328887841278
1993,66.3,1.0320377615523169,0.9666022923987815,1.0320377615523169,68.42199688706481,-2.121996887064813,693.5,0.9666022923987815,670.3396679992236,23.160332000776464,1.0320377615523169,68.42199688706481,-2.121996887064813,0.9666022923987815,670.3396679992236,23.160332000776464
1994,86.7,1.0183938379887203,0.972358911862316,1.0183938379887203,88.29539045878187,-1.595390458781867,780.2,0.972358911862316,758.6350584580055,21.564941541994596,1.0183938379887203,88.29539045878187,-1.5953904587818655,0.972358911862316,758.6350584580055,21.564941541994596
1995,70.9,0.9573444887214599,0.9711096425314484,0.9573444887214599,67.87589776652051,3.0241022334794936,851.1,0.9711096425314484,826.5109562245259,24.58904377547409,0.9573444887214599,67.87589776652051,3.0241022334794936,0.9711096425314484,826.5109562245259,24.58904377547409
