year,infections,infections_lower,infections_upper,exclude
1980,7.365982,6.377966,8.439847,yes
1981,20.788321,18.237917,23.63894,yes
1982,32.363801,28.820521,36.476274,yes
1983,42.249195,38.214615,47.16404,yes
1984,50.601279,46.452623,55.914428,yes
1985,57.576824,53.445279,62.338944,yes
1986,63.332605,59.541067,68.065119,yes
1987,68.025396,64.164302,72.66323,yes
1988,71.811969,68.042033,75.786012,yes
1989,74.849099,70.798933,78.872163,yes
1990,77.293559,72.758553,82.053591,yes
1991,79.302123,74.247402,85.101619,yes
1992,81.031564,75.435367,87.601573,yes
1993,82.638656,76.439581,90.324106,yes
1994,84.280064,77.705167,92.829866,yes
1995,86.085386,79.060847,94.955681,yes
1996,88.062244,80.696387,96.753988,yes
1997,90.159489,83.69645,98.45887,yes
1998,92.324241,85.209918,99.97616,yes
1999,94.503625,87.205803,101.403638,yes
2000,96.644763,89.743452,103.781318,yes
2001,98.694777,92.321934,106.68627,yes
2002,100.600791,94.861386,108.359669,yes
2003,102.309928,96.319261,109.308787,yes
2004,103.76931,97.539851,109.849661,yes
2005,104.92606,98.522604,111.734907,yes
2006,105.727301,99.227265,113.249897,yes
2007,106.120155,99.885813,114.075015,yes
2008,106.051746,99.86934,114.619277,yes
2009,105.469574,99.105613,114.591795,yes
2010,104.333977,97.771903,113.680447,yes
2011,102.631942,96.010577,110.980057,yes
2012,100.356366,93.76624,108.605342,yes
2013,97.500171,90.72929,105.653847,yes
2014,94.05628,86.57951,101.184871,yes
2015,90.017615,81.493716,97.975185,yes
2016,85.377097,75.735439,96.038785,yes
2017,80.127649,69.252322,91.47696,yes
2018,74.262193,62.033084,86.236729,yes
2019,67.773651,54.05093,81.336095,yes
2020,60.654944,43.678547,76.775067,yes
2021,52.898996,32.365999,73.580344,yes
2022,44.498727,20.11623,70.897199,yes
2023,35.447061,6.918031,68.012952,yes
