year,pldhiv,diagnoses,duplicates,deaths,emigrants,diag_departs,inter_departs,inter_arrivals,extra_migrants
1980,0,0,0,0,0,0,0,0,0
1981,0,0,0,0,0,0,0,0,0
1982,0,0,0,0,0,0,0,0,0
1983,0,0,0,0,0,0,0,0,0
1984,10.221691061743522,13.5,3.1748776889673813,0,0,0.10343124928909561,0,0,0
1985,71.58225530497532,77.7,14.547123336004573,1.135609879569724,0.023257296744470597,0.6334452444494449,0,-0,0.011628648372235298
1986,127.05034050902317,64.1,4.251600481070333,3.5992337524509987,0.1621593395282647,0.6189212229025591,0,-0,0.08107966976413235
1987,189.54930330833866,72.1,3.3978533265542294,5.153825416381667,0.3076635004486383,0.7416949572999298,0,-0,0.15383175022431916
1988,252.4066988768665,70.4,-0.3600609833191641,6.6822366150291685,0.44889203712192804,0.7715367626402141,0,-0,0.22444601856096402
1989,302.18911569165664,62.3,-1.5359271148870461,12.620745440608435,0.7193868612659018,0.7133779982225613,0,-0,0.3596934306329509
1990,365.1328625063341,82.7,0.8493182292905674,16.93704502073235,1.0381001136811152,0.9317898216185058,0,-0,0.5190500568405576
1991,414.164143497367,76,3.8783394846591817,21.028154920138512,1.2194051007454454,0.842819503424015,0,-0,0.6097025503727227
1992,474.62839359590106,84.2,-2.848840372876894,24.25358377960946,1.2887060764591711,1.0423004182742022,0,-0,0.6443530382295856
1993,507.2675291530014,63.3,-2.035270829056052,30.43785964267152,1.4594223381063245,0.7988532911778764,0,-0,0.7297111690531622
1994,550.8671757022986,79.7,-1.3646870169100045,34.96029746907217,1.4870688847695477,1.0176741137710792,0,-0,0.7435344423847738
1995,577.25231511509,65.9,3.10367972969644,33.959187891183475,1.6439623989356138,0.8080305673930513,0,-0,0.8219811994678069
1996,616.1433212848488,71.5,1.0670718851707772,28.856422037975612,1.7410793041017167,0.9444206029932165,0,-0,0.8705396520508584
1997,671.5681288343353,73.9,-0.4606370701166477,15.9299406737071,1.9587476105200272,1.0471412364030024,0,-0,0.9793738052600136
1998,747.3357081854693,91.6,-0.1480300375854986,12.29790399947786,2.328022731652411,1.3545239553212323,0,-0,1.1640113658262055
1999,803.8257797305475,71,-1.5317426970281156,12.000971310860978,2.929290508300149,1.1114093327887389,0,-0,1.4646452541500745
2000,855.1421731819822,77.7,8.780453594734302,12.927747667340217,3.568622254040946,1.1067830324497805,0,-0,1.784311127020473
2001,929.6392006766158,94,1.4717301699290481,12.404548577369656,4.069073583580895,1.557620174486861,0,-0,2.0345367917904476
2002,993.2809274306437,87.8,6.376335055539504,11.871579092874299,4.508353002763065,1.402006094795189,0,-0,2.2541765013815325
2003,1059.801009106689,85.3,0.6223853499978327,11.42457789519644,5.251320153299811,1.4816349254607386,0,-0,2.6256600766499054
2004,1158.750219978115,115,0.9122704574603041,6.764651364016937,6.333309585111359,2.0405577219854396,0,-0,3.1666547925556796
2005,1227.3300194419126,90,2.614707480845686,10.111511673185511,7.114468294031376,1.579513088139731,0,-0,3.557234147015688
2006,1331.562420929919,132.9,6.928957898833103,11.398948040609602,7.994624773051405,2.345067799499618,0,-0,3.9973123865257025
2007,1410.1743352628598,101,-0.20944649484827083,11.453505238111553,9.194677103203087,1.949349820592824,0,-0,4.597338551601544
2008,1490.371527892599,107.7,5.103361217452883,10.273832027010595,10.091537404420777,2.034076721376585,0,-0,5.045768702210388
2009,1578.678293164447,109.9,0.36144354307091353,8.07884157241406,10.908398106594877,2.244551506072138,0,-0,5.4541990532974385
2010,1652.321811432661,106.8,6.578263039589156,12.306930832319855,12.148804524046879,2.1224833358302817,0,-0,6.0744022620234395
2011,1720.2718913974177,95,1.5070461224288434,11.040591255322914,12.48579031901089,2.0164923384807483,0,-0,6.242895159505445
2012,1800.3547332670162,103.6,0.08818232664306604,8.208079407408361,12.938655576012533,2.282240820337455,0,-0,6.469327788006266
2013,1876.006029032592,101,-1.4114529889671321,10.71764458679615,13.73293096164425,2.309581674950766,0,-0,6.866465480822125
2014,1946.452667113822,97,-4.126144429895106,15.400533809544894,12.946179786654143,2.3327927524663647,0,-0,6.473089893327072
2015,2021.725256018035,98,-0.7520975792816054,7.122938181048787,14.02743497887544,2.3291355151444666,0,-0,7.01371748943772
2016,2079.5749525349597,79,3.145668273985708,11.538260772471446,4.625788187780796,1.8405862488372433,0,-0,-3.0838587918538627
2017,2159.1217643861078,92,0,16.166918237436587,-6.001305258122712,2.2875751695382545,0,-0,-13.502936830776102
2018,2228.566354101413,69,0,13.38672043493485,-15.594399493547375,1.7630893433076664,0,-0,-22.682762899705274
2019,2326.760006692792,88.4,0,13.249398371042481,-25.373733589465587,2.330682627044086,0,-0,-32.42199291987269
2020,2404.981669641773,72,0,11.895208020364464,-18.61887556691633,0.5020045975709992,0,-0,-22.342650680299595
2021,2465.7911334649325,57.7,0,20.470464653483717,-23.990962271283603,0.4110337946399108,0,-0,-28.78915472554032
2022,2567.639502610472,80.5,0,18.219686934368294,-40.87118691185947,1.3031308319520423,0,-0,-49.04542429423137
2023,2679.565744922058,93,0,22.105965611854998,-42.551013084646215,1.5188051612053854,0,-0,-51.06121570157546
