year,pldhiv,diagnoses,duplicates,deaths,emigrants,diag_departs,inter_departs,inter_arrivals,extra_migrants
1980,0,0,0,0,0,0,0,0,0
1981,0,0,0,0,0,0,0,0,0
1982,0,0,0,0,0,0,0,0,0
1983,0,0,0,0,0,0,0,0,0
1984,13.27990823768538,17,3.7200917623146212,0,0,0,0,0,0
1985,86.44629901775562,90,15.420855876488872,1.412753343440888,0,0,0,-0,0
1986,144.92057942660279,67,4.363743535171676,4.161976055981144,0,0,0,-0,0
1987,212.7948499400449,77,3.506967442302213,5.618762044255679,0,0,0,-0,0
1988,280.00782487378785,74,-0.37070783505110727,7.1577329013081865,0,0,0,-0,0
1989,335.24802299110337,67,-1.5742807678646393,13.334082650549124,0,0,0,-0,0
1990,405.53077706552494,89,0.8774334801968828,17.83981244538153,0,0,0,-0,0
1991,459.50289851012525,80,3.945114229699813,22.08276432569991,0,0,0,-0,0
1992,526.1982701575522,89,-3.0277481801232575,25.332376532696358,0,0,0,-0,0
1993,563.715072066173,67,-2.146530024005229,31.629728115384438,0,0,0,-0,0
1994,617.1113927461427,88,-1.618657743007386,36.222337063037656,0,0,0,-0,0
1995,649.8307046310113,71,3.028541300776344,35.25214681435495,0,0,0,-0,0
1996,693.9840841091146,75,0.9000174146037099,29.946603107292983,0,0,0,-0,0
1997,762.4064821083346,84,-0.9017100600733423,16.4793120608534,0,0,0,-0,0
1998,845.1543324569012,95,-0.5521110972395793,12.804260748672965,0,0,0,-0,0
1999,907.4301613946501,73,-1.7108951060289455,12.435066168280024,0,0,0,-0,0
2000,968.7148506387506,83,8.354168038801326,13.361142717098263,0,0,0,-0,0
2001,1052.7096155334661,98,1.1576167127300434,12.847618392554281,0,0,0,-0,0
2002,1123.1867841429334,90,7.245166838614256,12.277664551918331,0,0,0,-0,0
2003,1199.9502010090541,90,1.4441942478773206,11.792388886002138,0,0,0,-0,0
2004,1319.870448173445,127,2.3270842805577154,4.752668555051274,0,0,0,-0,0
2005,1406.1097704555716,97,3.0674329279362595,7.69324478993702,0,0,0,-0,0
2006,1541.0937144277923,151,7.155875714534219,8.860180313245134,0,0,0,-0,0
2007,1670.4767608652369,139,0.7629728397803481,8.853980722775093,0,0,0,-0,0
2008,1804.066068627539,146,4.582047425713965,7.828644811984142,0,0,0,-0,0
2009,1942.3060186210862,146,1.8682639411471962,5.891786065305563,0,0,0,-0,0
2010,2081.337269103209,156,6.856924452577533,10.111825065299282,0,0,0,-0,0
2011,2217.3472349721155,145,-0.04721882081035744,9.03725295190423,0,0,0,-0,0
2012,2362.5922403316104,161,9.38185958957362,6.373135050931474,0,0,0,-0,0
2013,2518.285495443941,162,-2.638403083400993,8.945147971070547,0,0,0,-0,0
2014,2689.533935606331,183,-2.2703844996774496,14.021944337287762,0,0,0,-0,0
2015,2856.6055613677495,168,-4.408663663426518,5.337037902007853,0,0,0,-0,0
2016,2999.5312286645435,161,7.960257841705328,10.114074861500754,0,0,0,-0,-0
2017,3150.959611243336,167,0,15.571617421207442,-0,0,0,-0,-0
2018,3288.681596282015,150,0,12.278014961320748,-0,0,0,-0,-0
2019,3446.720246272159,170,0,11.961350009856327,-0,0,0,-0,-0
2020,3595.6819503306374,159,0,10.038295941521408,-0,0,0,-0,-0
2021,3691.4396800691657,115,0,19.24227026147154,-0,0,0,-0,-0
2022,3831.894359173437,156,0,15.54532089572875,-0,0,0,-0,-0
2023,4019.6973363811676,207,0,19.19702279226928,-0,0,0,-0,-0
