year,pldhiv,diagnoses,duplicates,deaths,emigrants,diag_departs,inter_departs,inter_arrivals,extra_migrants
1980,0,0,0,0,0,0,0,0,0
1981,0,0,0,0,0,0,0,0,0
1982,0,0,0,0,0,0,0,0,0
1983,0,0,0,0,0,0,0,0,0
1984,12.237181998260882,16,3.7628180017391184,0,0,0,0,0,0
1985,75.9576235897386,80,14.977733164483471,1.3018252440388052,0,0,0,-0,0
1986,133.92300415607193,66,4.377622960228424,3.656996473438248,0,0,0,-0,0
1987,200.19611112223816,75,3.534521490867784,5.192371542965974,0,0,0,-0,0
1988,265.8304033757491,72,-0.3682441874855087,6.73395193397457,0,0,0,-0,0
1989,317.72463983092365,63,-1.5531847229194848,12.65894826774489,0,0,0,-0,0
1990,387.9135641933245,88,0.9037485390274478,16.907327098571717,0,0,0,-0,0
1991,440.80972615334343,78,3.9804010500449496,21.123436989936117,0,0,0,-0,0
1992,505.41764541829195,86,-2.9097419485440956,24.30182268359555,0,0,0,-0,0
1993,541.0948164586371,64,-2.0577777734531963,30.380606733108074,0,0,0,-0,0
1994,588.7129236834126,81,-1.3869466545760396,34.76883942980061,0,0,0,-0,0
1995,617.974634288538,66,3.1083894106216237,33.62989998425292,0,0,0,-0,0
1996,660.4215428371078,72,1.0745339263258176,28.478557525104396,0,0,0,-0,0
1997,720.2066988805235,75,-0.4674936435554611,15.682337600139817,0,0,0,-0,0
1998,800.2598402367023,92,-0.1486764569636012,12.095535100784796,0,0,0,-0,0
1999,861.0170659218709,71,-1.5317426970281156,11.77451701185956,0,0,0,-0,0
2000,917.5249618754547,78,8.814354959964938,12.677749086451232,0,0,0,-0,0
2001,998.8688645002017,95,1.4873868738644636,12.168710501388501,0,0,0,-0,0
2002,1068.8282804057196,88,6.3908597367594115,11.649724357722626,0,0,0,-0,0
2003,1142.9791110609676,86,0.6274928499391983,11.221676494812844,0,0,0,-0,0
2004,1253.5318858824671,116,0.9202032440469154,4.527021934453537,0,0,0,-0,0
2005,1333.610607015444,90,2.614707480845686,7.306571386177387,0,0,0,-0,0
2006,1451.273086942816,133,6.934171561661419,8.403348510966397,0,0,0,-0,0
2007,1544.1445953778461,101,-0.20944649484827083,8.337938059818137,0,0,0,-0,0
2008,1639.7904261836306,108,5.117576708309297,7.236592485906096,0,0,0,-0,0
2009,1744.0733651942044,110,0.3617724270955458,5.355288562330819,0,0,0,-0,0
2010,1836.3413815791755,108,6.6521761074497086,9.079807507579003,0,0,0,-0,0
2011,1921.860864833924,95,1.5070461224288434,7.973470622822621,0,0,0,-0,0
2012,2020.2484986569507,104,0.08852279894670723,5.523843378026711,0,0,0,-0,0
2013,2115.0109712377357,101,-1.4114529889671321,7.648980408182099,0,0,0,-0,0
2014,2204.360624811013,97,-4.126144429895106,11.776490856617665,0,0,0,-0,0
2015,2298.7384491942744,98,-0.7520975792816054,4.374273196020422,0,0,0,-0,0
2016,2366.453885905665,79,3.145668273985708,8.138895014623253,0,0,0,-0,-0
2017,2446.1687947540527,92,0,12.285091151612683,-0,0,0,-0,-0
2018,2505.6370644986923,69,0,9.531730255360227,-0,0,0,-0,-0
2019,2585.523746274143,89,0,9.113318224549616,-0,0,0,-0,-0
2020,2649.99361598376,72,0,7.5301302903831795,-0,0,0,-0,-0
2021,2693.812191137426,58,0,14.181424846334037,-0,0,0,-0,-0
2022,2763.4680602363696,81,0,11.344130901056158,-0,0,0,-0,-0
2023,2842.6236390792296,93,0,13.844421157139898,-0,0,0,-0,-0
