year,pldhiv,diagnoses,duplicates,deaths,emigrants,diag_departs,inter_departs,inter_arrivals,extra_migrants
1980,0,0,0,0,0,0,0,0,0
1981,0,0,0,0,0,0,0,0,0
1982,0,0,0,0,0,0,0,0,0
1983,0,0,0,0,0,0,0,0,0
1984,10.717285750539714,14,3.063604980729688,0,0,0.21910926873059833,0,0,0
1985,77.6389347777687,84,14.39279881805628,1.2404136059502975,0.048769835341330066,1.3963687134231106,0,-0,0.024384917670665033
1986,129.9832277939765,62,4.038091032546925,4.067031968885108,0.3517597575433161,1.1988242248168304,0,-0,0.17587987877165806
1987,191.08739530253015,72,3.2792422837111603,5.5032669642332115,0.629531486534938,1.4837917569670367,0,-0,0.314765743267469
1988,252.93907697990693,71,-0.35567913903552184,7.0428661010354405,0.9050691155128368,1.556062245110446,0,-0,0.4525345577564184
1989,303.29054642072856,65,-1.527287312107486,13.247100608805109,1.4418083948622695,1.4869088676184892,0,-0,0.7209041974311348
1990,362.68979811854916,82,0.8084218581589258,17.859985655645946,2.0837676432994012,1.8485731450751168,0,-0,1.0418838216497006
1991,409.7227572215242,77,3.79717244608607,22.036467847912636,2.4224923868988713,1.7109082161273914,0,-0,1.2112461934494356
1992,468.54404894211604,86,-2.9256892527033727,25.425078214826062,2.549772669532617,2.1295466477528926,0,-0,1.2748863347663084
1993,500.12940350353017,66,-2.1144922624529126,31.982040634197343,2.881427494180207,1.6656695726612527,0,-0,1.4407137470901035
1994,543.7071660227643,84,-1.5450823910525049,36.88719265865913,2.932286541384878,2.14784067177435,0,-0,1.466143270692439
1995,569.6532629511937,70,2.985885789497804,36.09822204831709,3.2451893174928017,1.7246059162629679,0,-0,1.6225946587464009
1996,606.5346151249477,74,0.8880171824089937,30.833624801351668,3.4363188528419975,1.960686989643441,0,-0,1.7181594264209987
1997,666.1792213044685,82,-0.8802407729287389,17.045005011815363,3.8564021942045197,2.3342273873881,0,-0,1.9282010971022598
1998,740.036217440217,94,-0.5462994014791627,13.2789470819954,4.618683656841259,2.7916725268938887,0,-0,2.3093418284206293
1999,793.7090273543755,73,-1.7108951060289455,12.947125699728092,5.801358194992016,2.289601297150228,0,-0,2.900679097496008
2000,844.1225106854129,82,8.253515411827816,13.916986111589798,7.047416914644092,2.3685982309010027,0,-0,3.523708457322046
2001,914.3945366322455,96,1.1339918818580017,13.366758742586573,8.033276143439709,3.193947285283074,0,-0,4.016638071719854
2002,970.8954878577957,88,7.084163131089494,12.759515899236309,8.868845788636547,2.7865239554874845,0,-0,4.434422894318273
2003,1032.9295138526616,89,1.4281476451231283,12.207329751074749,10.265943705017913,3.0645529039185604,0,-0,5.132971852508956
2004,1128.42853427108,125,2.2904372840134997,10.475554801510444,12.34545416472408,4.389533331333378,0,-0,6.17272708236204
2005,1190.5073457757483,97,3.0674329279362595,14.601442037762357,13.856599793014102,3.395713736619158,0,-0,6.928299896507051
2006,1296.4133752028818,150,7.108485809139953,16.155832665042333,15.509535932912806,5.320116165771301,0,-0,7.754767966456403
2007,1394.8843771928987,139,0.7629728397803481,16.537048944424097,17.903933289044886,5.325042936733683,0,-0,8.951966644522443
2008,1493.2554307208145,144,4.5192796527589785,15.614751046513579,19.964237775835592,5.530677996975944,0,-0,9.982118887917796
2009,1594.5093508541183,144,1.8426712844191524,13.218512654035305,21.859012210425515,5.825883717816214,0,-0,10.929506105212758
2010,1691.6062713132349,153,6.725060520797196,18.44116791483331,24.541266576183546,6.195584529069376,0,-0,12.270633288091773
2011,1786.6667675633544,144,-0.04689317377028601,17.207390597194458,25.565287657405797,6.213718669050488,0,-0,12.782643828702899
2012,1889.895988850497,160,9.323587169762604,13.926867982556411,26.8760607555255,6.644262805013128,0,-0,13.43803037776275
2013,2000.7993296697048,162,-2.638403083400993,17.477330357484405,28.831885916699477,7.42584599000927,0,-0,14.415942958349738
2014,2124.928431826042,182,-2.2579780270016165,24.01315729819195,27.614738372966155,8.500980199506527,0,-0,13.807369186483077
2015,2244.606455410669,168,-4.408663663426518,13.970587900161245,30.627300540938897,8.132751637699393,0,-0,15.313650270469449
2016,2359.582851399788,161,7.960257841705328,20.36490603520062,10.271498559705961,7.426941574268774,0,-0,-6.847665706470638
2017,2503.728523805014,166,0,27.217887406049876,-13.618722379609615,8.2551625683337,0,-0,-30.642125354121635
2018,2656.899250430116,149,0,24.381460703755476,-36.16668913038932,7.614501801531644,0,-0,-52.60609328056629
2019,2851.106591327062,168,0,25.43514190797537,-60.501186002736155,8.858703197814794,0,-0,-77.3070710034962
2020,3028.4723406399016,159,0,25.046521586651558,-45.629457872096346,2.217186972605088,0,-0,-54.755349446515616
2021,3159.8355097333774,113,0,40.448111164118956,-60.42122198356706,1.6099417259724886,0,-0,-72.50546638028047
2022,3372.5621836587643,153,0,40.070148437609284,-104.75033832047808,4.953515957482144,0,-0,-125.70040598457368
2023,3633.7571562652392,205,0,48.889660413359216,-111.78044071977163,6.6958076999377205,0,-0,-134.13652886372594
