year,pldhiv,diagnoses,duplicates,deaths,emigrants,diag_departs,inter_departs,inter_arrivals,extra_migrants
1980,0,0,0,0,0,0,0,0,0
1981,0,0,0,0,0,0,0,0,0
1982,0,0,0,0,0,0,0,0,0
1983,0,0,0,0,0,0,0,0,0
1984,9.74350944903019,13,3.057289626413034,0,0,0.19920092455677674,0,0,0
1985,69.10344299204567,76,14.228846506259298,1.1277091953691443,0.044338591182190495,1.2391721641738846,0,-0,0.022169295591095248
1986,120.94648282750678,61,4.045984857180816,3.619909425768611,0.31308789104163115,1.1779779905478232,0,-0,0.15654394552081558
1987,180.50098008914907,70,3.2988867248099316,5.12066667893334,0.5857649515078518,1.4401843831066008,0,-0,0.2928824757539259
1988,240.83388097621787,69,-0.3529006796736125,6.652684923884713,0.8549274646809905,1.5123874040391252,0,-0,0.42746373234049523
1989,287.95484903595514,61,-1.5038772713982314,12.613118895639795,1.3728061140444323,1.3969842019767098,0,-0,0.6864030570222162
1990,347.3624082609359,81,0.831859450695719,16.956906616276783,1.9784032315993005,1.8252714764473839,0,-0,0.9892016157996503
1991,393.4463234618006,75,3.827308701966298,21.105199487065843,2.3201170638715536,1.6634595462316084,0,-0,1.1600585319357768
1992,450.3361347565992,83,-2.808239322432092,24.415054743819145,2.4484817228460436,2.0548915609682274,0,-0,1.2242408614230218
1993,480.26297324236026,63,-2.02562499574299,30.739198573434948,2.769453423301967,1.5901345132450622,0,-0,1.3847267116509836
1994,518.377285297289,77,-1.3184554617574697,35.421938195814064,2.8158085545436613,1.9663966564711028,0,-0,1.4079042772718307
1995,541.2114964474432,65,3.061292601369781,34.416501232359856,3.0940045189826457,1.593990497133485,0,-0,1.5470022594913229
1996,576.7173472921037,71,1.0596098440157369,29.2941571741129,3.2647496109866383,1.8756325262242826,0,-0,1.6323748054933191
1997,628.2297043090709,73,-0.4550271463939821,16.207071830467143,3.666821296052358,2.068777002907231,0,-0,1.833410648026179
1998,699.8073860523998,91,-0.14706040851834468,12.522499549779658,4.3555760600770626,2.6913030553326704,0,-0,2.1777880300385313
1999,752.3870054936065,71,-1.5317426970281156,12.243311853247919,5.48599273699601,2.2228186655774778,0,-0,2.742996368498005
2000,798.6190752609258,77,8.701350409196156,13.192440989234308,6.680514805971394,2.1936240282787836,0,-0,3.340257402985697
2001,866.834461938242,93,1.4560734659936327,12.646207595592386,7.600232766900362,3.0820994941973043,0,-0,3.800116383450181
2002,923.3389087899224,86,6.245612924560334,12.095859780443174,8.407553697248217,2.746526746067953,0,-0,4.203776848624108
2003,983.3933808388574,85,0.6201964214515332,11.609388108771412,9.763095386512255,2.9528480343298096,0,-0,4.8815476932561275
2004,1070.7168323498227,114,0.9043376708736928,9.973179306298256,11.753404028274181,4.0456274835885235,0,-0,5.8767020141370905
2005,1127.9404986356099,90,2.614707480845686,13.854674258579786,13.14792579850797,3.159026176279462,0,-0,6.573962899253985
2006,1218.3988875063487,132,6.88203493337825,15.306766494756168,14.694435742752512,4.658373958374084,0,-0,7.347217871376256
2007,1283.341212959455,101,-0.20944649484827083,15.541896143559295,16.82652525699712,3.8986996411856367,0,-0,8.41326262849856
2008,1348.4954254066129,107,5.070191738787915,14.366103653995872,18.36777982603264,4.041712334025909,0,-0,9.18388991301632
2009,1421.007581473488,109,0.35848358684922266,11.937076187991238,19.739943591189395,4.45234056709499,0,-0,9.869971795594697
2010,1477.0613363993557,105,6.467393437798328,16.434547344715615,21.8708820020644,4.173422289553925,0,-0,10.9354410010322
2011,1529.1734484918966,95,1.5070461224288434,15.024992388865059,22.322864719203597,4.0329846769616005,0,-0,11.161432359601799
2012,1592.6252947887958,103,0.08767161818760427,11.919736307974958,23.00269935812042,4.538046418817811,0,-0,11.50134967906021
2013,1651.3925641858907,101,-1.4114529889671321,14.728238261217712,24.296781980753163,4.61916334990143,0,-0,12.148390990376582
2014,1705.2411920932684,97,-4.126144429895106,19.819653483893696,22.792277533691134,4.66558550493264,0,-0,11.396138766845567
2015,1763.54550436446,98,-0.7520975792816054,11.211305570721004,24.578208707080364,4.658271030288845,0,-0,12.289104353540182
2016,1811.648210857978,79,3.145668273985708,16.000327540095164,8.07012519472654,3.681172497674495,0,-0,-5.380083463151025
2017,1888.6318492790854,92,0,20.897438287980506,-10.456227048164367,4.575150339076509,0,-0,-23.526510858369825
2018,1962.9955951773222,69,0,18.39161186176795,-27.28153644662016,3.5261786866153253,0,-0,-39.68223483144751
2019,2072.2631505648174,88,0,18.792233661093068,-44.7000621522057,4.640273103617273,0,-0,-57.11674608337396
2020,2158.2193889186447,72,0,18.204504837430775,-33.16475238640001,1.0040091951419265,0,-0,-39.797702863680016
2021,2228.6409905473174,57,0,28.82506027480938,-43.05875640242384,0.8120944989418748,0,-0,-51.67050768290861
2022,2351.6700391070112,80,0,28.261589892983633,-73.88071215593598,2.5900737032586374,0,-0,-88.65685458712316
2023,2485.4858422218,93,0,34.090505483722126,-77.94391892092138,3.037610322410771,0,-0,-93.53270270510565
