year,pldhiv,pldhiv_lower,pldhiv_upper,ecdc_diagnosed,undiagnosed,undiagnosed_lower,undiagnosed_upper,percent,percent_lower,percent_upper,pldhiv_exclude,pldhiv_lower_exclude,pldhiv_upper_exclude,ecdc_diagnosed_exclude,undiagnosed_exclude,undiagnosed_lower_exclude,undiagnosed_upper_exclude,percent_exclude,percent_lower_exclude,percent_upper_exclude,undiag_adjusted,undiag_adjusted_lower,undiag_adjusted_upper,percent_adjusted,percent_adjusted_lower,percent_adjusted_upper,undiag_adjusted_exclude,undiag_adjusted_lower_exclude,undiag_adjusted_upper_exclude,percent_adjusted_exclude,percent_adjusted_lower_exclude,percent_adjusted_upper_exclude,final_undiagnosed,final_undiagnosed_lower,final_undiagnosed_upper,plhiv,plhiv_lower,plhiv_upper,undiag_percent,undiag_percent_lower,undiag_percent_upper,adjusted,method
1980,0,0,0,0.015836,7.349448,7.349448,7.349448,99.784989,99.784989,99.784989,0,0,0,0.015836,7.349448,6.363705,8.420861,99.784989,99.784243,99.785909,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,yes,exclude
1981,0,0,0,0.221287,27.923259,27.923259,27.923259,99.213748,99.213748,99.213748,0,0,0,0.221287,27.923259,24.415361,31.814414,99.213748,99.208495,99.220146,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,yes,exclude
1982,0,0,0,0.976002,59.499068,59.499068,59.499068,98.386108,98.386108,98.386108,0,0,0,0.976002,59.499068,52.546411,67.39325,98.386108,98.369917,98.405627,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,yes,exclude
1983,0,0,0,2.740644,99.905815,99.905815,99.905815,97.330016,97.330016,97.330016,0,0,0,2.740644,99.905815,89.136062,112.468737,97.330016,97.293863,97.372876,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,yes,exclude
1984,11.213513255794478,10.717285750539714,13.27990823768538,35.707164,117.413798,117.413798,117.413798,76.680421,76.680421,76.680421,10.221691061743522,9.74350944903019,12.237181998260882,35.707164,117.413798,94.744263,136.912382,76.680421,66.199216,81.344727,36.87274576850111,36.87274576850111,36.87274576850111,76.68042080352134,73.52102595398588,77.4799776162121,33.611394328095045,27.121912741616153,39.193145424022326,74.98374484139545,51.68731539138232,103.5781596487757,33.611394328095045,27.121912741616153,39.193145424022326,44.82490758388953,37.839198492155866,52.47305366170771,74.98374484139545,51.68731539138232,103.5781596487757,yes,exclude
1985,80.40987305058187,77.6389347777687,86.44629901775562,72.546326,136.852084,136.852084,136.852084,65.354882,65.354882,65.354882,71.58225530497532,69.10344299204567,75.9576235897386,72.546326,136.852084,105.230863,162.849525,65.354882,53.71963,71.295994,151.68595444995472,151.68595444995472,151.68595444995472,65.3548821120466,63.698198056368135,66.14456675887807,135.03345180989493,103.83244633544753,160.68541189589618,62.67701814263399,42.015023467274396,88.54586927712192,135.03345180989493,103.83244633544753,160.68541189589618,215.4433248604768,181.47138111321624,247.1317109136518,62.67701814263399,42.015023467274396,88.54586927712192,yes,exclude
1986,136.4152417198064,129.9832277939765,144.92057942660279,112.850984,156.078606,156.078606,156.078606,58.036978,58.036978,58.036978,127.05034050902317,120.94648282750678,133.92300415607193,112.850984,156.078606,119.132637,185.600292,58.036978,47.164153,64.156523000000007,188.6691636182847,188.6691636182847,188.6691636182847,58.03697763418299,56.557243605927525,59.208456833512734,175.71703263547678,134.12237589871484,208.95325376315841,56.29569482951566,37.90118491942667,79.11731172743035,175.71703263547678,134.12237589871484,208.95325376315841,312.1322743552832,264.1056036926914,353.87383318976117,56.29569482951566,37.90118491942667,79.11731172743035,yes,exclude
1987,200.51276421028624,191.08739530253015,212.7948499400449,157.61356,173.949173,173.949173,173.949173,52.463427,52.463427,52.463427,189.54930330833866,180.50098008914907,200.19611112223816,157.61356,173.949173,134.011585,205.326201,52.463427,42.312811,58.287322,221.2945987028228,221.2945987028228,221.2945987028228,52.463427184984624,50.97903194714262,53.66252695794237,209.19484689776485,161.16508358796162,246.92950498991274,51.0595461802623,35.05689482396822,70.10014685139467,209.19484689776485,161.16508358796162,246.92950498991274,409.7076111080511,352.2524788904918,459.72435492995766,51.0595461802623,35.05689482396822,70.10014685139467,yes,exclude
1988,264.93849368974935,252.93907697990693,280.00782487378785,206.50162,189.920628,189.920628,189.920628,47.90867,47.90867,47.90867,252.4066988768665,240.83388097621787,265.8304033757491,206.50162,189.920628,149.103134,222.460947,47.90867,38.805013,53.221751,243.66532864454638,243.66532864454638,243.66532864454638,47.90867035293135,46.53004016101725,49.06628412572183,232.1397709233534,182.24859371628696,271.91376639704595,46.70084923227084,33.02074001066859,62.48195541984229,232.1397709233534,182.24859371628696,271.91376639704595,497.07826461310276,435.1876706961939,551.9215912708338,46.70084923227084,33.02074001066859,62.48195541984229,yes,exclude
1989,318.0355438083033,303.29054642072856,335.24802299110337,254.532413,203.821641,203.821641,203.821641,44.468166,44.468166,44.468166,302.18911569165664,287.95484903595514,317.72463983092365,254.532413,203.821641,164.173641,235.53452,44.468166,36.562984,49.195823,254.67297336051175,254.67297336051175,254.67297336051175,44.468165868998724,43.17069148844417,45.64330181664223,241.98364650954025,194.91225816363715,279.6342024764399,43.2098847134507,31.699120594261778,56.12858857945,241.98364650954025,194.91225816363715,279.6342024764399,560.0191903178436,498.2028045843657,614.8822254675433,43.2098847134507,31.699120594261778,56.12858857945,yes,exclude
1990,381.04917358411376,362.68979811854916,405.53077706552494,302.675339,215.718021,215.718021,215.718021,41.612806,41.612806,41.612806,365.1328625063341,347.3624082609359,387.9135641933245,302.675339,215.718021,177.757553,245.630093,41.612806,34.755554,45.732243,271.57539131144904,271.57539131144904,271.57539131144904,41.61280557297262,40.108243580532765,42.8173255977533,260.2317676827034,214.438098503332,296.31624192147035,40.57999403017172,30.553395925630536,51.34325400936369,260.2317676827034,214.438098503332,296.31624192147035,641.2809412668171,577.1278966218812,701.8470189869953,40.57999403017172,30.553395925630536,51.34325400936369,yes,exclude
1991,431.1187818124837,409.7227572215242,459.50289851012525,350.504641,225.830193,225.830193,225.830193,39.183853,39.183853,39.183853,414.164143497367,393.4463234618006,440.80972615334343,350.504641,225.830193,192.576023,255.711564,39.183853,33.481366,42.805049,277.769896070044,277.769896070044,277.769896070044,39.183852801789875,37.6753215515319,40.40332572866648,266.84602004938955,227.55214708818716,302.154518080781,38.23201676324621,29.87591824506682,47.413528453324425,266.84602004938955,227.55214708818716,302.154518080781,697.9648018618732,637.2749043097114,761.6574165909062,38.23201676324621,29.87591824506682,47.413528453324425,yes,exclude
1992,493.6177493865206,468.54404894211604,526.1982701575522,398.289401,234.480424,234.480424,234.480424,37.056196,37.056196,37.056196,474.62839359590106,450.3361347565992,505.41764541829195,398.289401,234.480424,204.816605,265.255416,37.056196,32.511955,40.810733,290.60200668025584,290.60200668025584,290.60200668025584,37.05619559213336,35.57809845575758,38.28011810481069,279.42261755744227,244.0732190433463,316.09616442867,36.14592840242939,28.977185295454014,44.357073372956556,279.42261755744227,244.0732190433463,316.09616442867,773.0403669439629,712.6172679854624,842.2944345862222,36.14592840242939,28.977185295454014,44.357073372956556,yes,exclude
1993,528.0317757112504,500.12940350353017,563.715072066173,441.817911,242.802156,242.802156,242.802156,35.465241,35.465241,35.465241,507.2675291530014,480.26297324236026,541.0948164586371,441.817911,242.802156,215.155788,274.833604,35.465241,31.870923,39.48706,290.1812044899194,290.1812044899194,290.1812044899194,35.46524089835071,33.983191220866914,36.717361699936156,278.77016001540414,247.0283396042018,315.5466534024114,34.55249022975223,28.09497245800767,42.23293625920611,278.77016001540414,247.0283396042018,315.5466534024114,806.8019357266545,747.1577431077319,879.2617254685844,34.55249022975223,28.09497245800767,42.23293625920611,yes,exclude
1994,577.2787968351643,543.7071660227643,617.1113927461427,481.929304,251.650622,251.650622,251.650622,34.304459,34.304459,34.304459,550.8671757022986,518.377285297289,588.7129236834126,481.929304,251.650622,222.840378,284.764199,34.304459,31.365195,38.153303,301.43958270481244,301.43958270481244,301.43958270481244,34.30445859828503,32.816859462461856,35.66712918894254,287.6481389578807,254.71671600466243,325.49846780899907,33.25692923346621,27.02249643926378,40.76762671257594,287.6481389578807,254.71671600466243,325.49846780899907,864.926935793045,798.4238820274268,942.6098605551417,33.25692923346621,27.02249643926378,40.76762671257594,yes,exclude
1995,606.9709690172909,569.6532629511937,649.8307046310113,524.197427,261.138083,261.138083,261.138083,33.251786,33.251786,33.251786,577.25231511509,541.2114964474432,617.974634288538,524.197427,261.138083,231.661694,294.73845,33.251786,30.287665,36.987226,302.3731653795923,302.3731653795923,302.3731653795923,33.25178597870865,31.755086794199347,34.67477080464045,287.5683000566627,255.10855699981067,324.569415744067,32.14708509715393,26.18108841177186,39.353108726995664,287.5683000566627,255.10855699981067,324.569415744067,894.5392690739536,824.7618199510043,974.4001203750782,32.14708509715393,26.18108841177186,39.353108726995664,yes,exclude
1996,647.4172332108593,606.5346151249477,693.9840841091146,572.771145,271.388141,271.388141,271.388141,32.148926,32.148926,32.148926,616.1433212848488,576.7173472921037,660.4215428371078,572.771145,271.388141,241.708914,305.554857,32.148926,29.262516,35.692046,306.7566529952527,306.7566529952527,306.7566529952527,32.148925623498975,30.6529595150538,33.588041811309616,291.93857269653626,260.0119338346101,328.69250846548323,31.078593527670858,25.424648977251707,37.93131584911817,291.93857269653626,260.0119338346101,328.69250846548323,939.3558059073955,866.5465489595578,1022.6765925745979,31.078593527670858,25.424648977251707,37.93131584911817,yes,exclude
1997,711.2305378028951,666.1792213044685,762.4064821083346,635.534066,282.460506,282.460506,282.460506,30.7693,30.7693,30.7693,671.5681288343353,628.2297043090709,720.2066988805235,635.534066,282.460506,253.061817,320.55916,30.7693,28.12127,33.996321,316.10349206750135,316.10349206750135,316.10349206750135,30.769300235034503,29.30927850797652,32.18050035537983,298.4756972634407,267.41013584330346,338.7345018605286,29.560647136523958,24.28482271901933,36.28302949975816,298.4756972634407,267.41013584330346,338.7345018605286,1009.7062350663358,933.5893571477719,1101.140983968863,29.560647136523958,24.28482271901933,36.28302949975816,yes,exclude
1998,789.4858532156536,740.036217440217,845.1543324569012,703.249108,294.364423,294.364423,294.364423,29.50686,29.50686,29.50686,747.3357081854693,699.8073860523998,800.2598402367023,703.249108,294.364423,265.754241,334.558546,29.50686,27.166562,32.372981,330.4612050051667,330.4612050051667,330.4612050051667,29.50685950549723,28.109632313857475,30.869873955443992,312.81809251482485,282.4143417200422,355.53198014779554,28.378569606545817,23.52107613414777,34.77253515708326,312.81809251482485,282.4143417200422,355.53198014779554,1102.3039457304785,1022.4505591602592,1200.6863126046967,28.378569606545817,23.52107613414777,34.77253515708326,yes,exclude
1999,847.2796108746251,793.7090273543755,907.4301613946501,772.622062,307.072658,307.072658,307.072658,28.440693,28.440693,28.440693,803.8257797305475,752.3870054936065,861.0170659218709,772.622062,307.072658,277.005139,345.34333,28.440693,26.436766,31.054016,336.7447229075848,336.7447229075848,336.7447229075848,28.440692754337075,27.06570653019088,29.78845643437875,319.47433407717233,288.1924847831276,359.2906353119305,27.381465943136014,22.751066022790155,33.209181360887754,319.47433407717233,288.1924847831276,359.2906353119305,1166.7539449517974,1081.9015121375032,1266.7207967065806,27.381465943136014,22.751066022790155,33.209181360887754,yes,exclude
2000,903.0730862861619,844.1225106854129,968.7148506387506,842.443066,320.532161,320.532161,320.532161,27.561392,27.561392,27.561392,855.1421731819822,798.6190752609258,917.5249618754547,842.443066,320.532161,282.80135,358.578747,27.561392,25.156028,30.03238,343.6006296100761,343.6006296100761,343.6006296100761,27.56139198483546,26.18277653365229,28.929353815956897,325.3639086065633,287.06433796892145,363.984014281687,26.486007012103713,21.540075220673295,32.17717874944216,325.3639086065633,287.06433796892145,363.984014281687,1228.4369948927251,1131.1868486543344,1332.6988649204377,26.486007012103713,21.540075220673295,32.17717874944216,yes,exclude
