run,year,N_HIV_Obs_M_LB,N_HIV_Obs_M_UB,N_CD4_1_Obs_M_LB,N_CD4_1_Obs_M_UB,N_CD4_2_Obs_M_LB,N_CD4_2_Obs_M_UB,N_CD4_3_Obs_M_LB,N_CD4_3_Obs_M_UB,N_CD4_4_Obs_M_LB,N_CD4_4_Obs_M_UB,N_AIDS_M_LB,N_AIDS_M_UB,N_HIVAIDS_Obs_M_LB,N_HIVAIDS_Obs_M_UB,N_Inf_M_LB,N_Inf_M_UB,N_Alive_LB,N_Alive_UB,N_Alive_Diag_M_LB,N_Alive_Diag_M_UB,N_Und_LB,N_Und_UB,N_Und_Alive_p_LB,N_Und_Alive_p_UB,delta1_LB,delta1_UB,delta2_LB,delta2_UB,delta3_LB,delta3_UB,delta4_LB,delta4_UB,t_diag_LB,t_diag_UB,t_diag_p50_LB,t_diag_p50_UB,t_diag_p25_LB,t_diag_p25_UB,t_diag_p75_LB,t_diag_p75_UB,D_Avg_Time_LB,D_Avg_Time_UB,N_Und_CD4_3_M_LB,N_Und_CD4_3_M_UB,N_Und_CD4_4_M_LB,N_Und_CD4_4_M_UB,Version,Timestamp
1,1980,0.623676,0.623676,0,0,0,0,0,0,0,0,0.623676,0.623676,0.623676,0.623676,284.570929,284.570929,284.54343,284.54343,0.623676,0.623676,283.919753,283.919753,99.780815,99.780815,0,0,0,0,0,0,0,0,11.567122,11.567122,10.8755,10.8755,6.3895,6.3895,17.2385,17.2385,0.5,0.5,30.929892,30.929892,7.123116,7.123116,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 00:15:02
1,1981,7.82582,7.82582,0,0,0,0,0,0,0,0,7.82582,7.82582,7.82582,7.82582,750.355529,750.355529,1033.319267,1033.319267,7.214859,7.214859,1026.104409,1026.104409,99.301778,99.301778,0,0,0,0,0,0,0,0,11.567122,11.567122,10.8755,10.8755,6.3895,6.3895,17.2385,17.2385,1.152282,1.152282,149.372807,149.372807,40.715023,40.715023,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 00:15:02
1,1982,27.636492,27.636492,0,0,0,0,0,0,0,0,27.636492,27.636492,27.636492,27.636492,1074.938399,1074.938399,2107.039125,2107.039125,34.851351,34.851351,2072.187774,2072.187774,98.345956,98.345956,0,0,0,0,0,0,0,0,11.567122,11.567122,10.8755,10.8755,6.3895,6.3895,17.2385,17.2385,1.662761,1.662761,347.441339,347.441339,108.250602,108.250602,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 00:15:02
1,1983,61.924214,61.924214,0,0,0,0,0,0,0,0,61.924214,61.924214,61.924214,61.924214,1276.764967,1276.764967,3377.3705,3377.3705,93.07232,93.07232,3284.298181,3284.298181,97.244237,97.244237,0,0,0,0,0,0,0,0,11.567122,11.567122,10.8755,10.8755,6.3895,6.3895,17.2385,17.2385,2.17155,2.17155,606.470244,606.470244,210.730706,210.730706,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 00:15:02
1,1984,510.62579,510.62579,29.109595,29.109595,9.409719,9.409719,6.332187,6.332187,33.444244,33.444244,116.511922,116.511922,80.482494,80.482494,1374.280664,1374.280664,4726.776172,4726.776172,582.371731,582.371731,4144.40444,4144.40444,87.679304,87.679304,0.083507,0.083507,0.046903,0.046903,0.041389,0.041389,0.979947,0.979947,6.743455,6.743455,5.5405,5.5405,2.7025,2.7025,9.6475,9.6475,2.418554,2.418554,866.297298,866.297298,192.078387,192.078387,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 00:15:02
1,1985,673.166829,673.166829,18.448715,18.448715,7.300414,7.300414,4.368463,4.368463,14.393055,14.393055,178.306508,178.306508,86.247355,86.247355,1385.930918,1385.930918,6025.516164,6025.516164,1172.150431,1172.150431,4853.365733,4853.365733,80.546888,80.546888,0.110643,0.110643,0.078188,0.078188,0.052434,0.052434,0.929302,0.929302,5.982535,5.982535,4.8305,4.8305,2.3175,2.3175,8.5565,8.5565,2.724351,2.724351,1108.104096,1108.104096,232.237001,232.237001,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 00:15:02
1,1986,878.287858,878.287858,21.13333,21.13333,9.44104,9.44104,5.450431,5.450431,14.300984,14.300984,249.344021,249.344021,105.577375,105.577375,1330.161158,1330.161158,7170.209824,7170.209824,1869.625881,1869.625881,5300.583942,5300.583942,73.925088,73.925088,0.13778,0.13778,0.109473,0.109473,0.063479,0.063479,0.878656,0.878656,5.378382,5.378382,4.2785,4.2785,2.0335,2.0335,7.6815,7.6815,3.071947,3.071947,1302.491268,1302.491268,282.958519,282.958519,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 00:15:02
1,1987,1063.984345,1063.984345,12.724282,12.724282,6.164676,6.164676,3.569461,3.569461,7.984213,7.984213,325.24266,325.24266,126.154857,126.154857,1225.416815,1225.416815,8146.333765,8146.333765,2689.879742,2689.879742,5456.454024,5456.454024,66.980487,66.980487,0.164916,0.164916,0.140759,0.140759,0.074524,0.074524,0.82801,0.82801,4.888613,4.888613,3.8405,3.8405,1.8175,1.8175,6.9665,6.9665,3.427489,3.427489,1429.839716,1429.839716,328.898914,328.898914,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 00:15:02
1,1988,1199.821643,1199.821643,19.63014,19.63014,10.073482,10.073482,5.977916,5.977916,11.712885,11.712885,401.466971,401.466971,143.452614,143.452614,1090.143316,1090.143316,8941.122861,8941.122861,3600.672241,3600.672241,5340.45062,5340.45062,59.729082,59.729082,0.192053,0.192053,0.172044,0.172044,0.085569,0.085569,0.777365,0.777365,4.484668,4.484668,3.4865,3.4865,1.6485,1.6485,6.3735,6.3735,3.776456,3.776456,1481.92804,1481.92804,363.58573,363.58573,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 00:15:02
1,1989,1271.560302,1271.560302,33.865455,33.865455,18.123673,18.123673,11.170752,11.170752,19.473013,19.473013,473.89485,473.89485,155.479679,155.479679,942.786091,942.786091,9379.271516,9379.271516,4374.450477,4374.450477,5004.821038,5004.821038,53.360445,53.360445,0.219189,0.219189,0.203329,0.203329,0.096614,0.096614,0.726719,0.726719,4.146665,4.146665,3.1945,3.1945,1.5125,1.5125,5.8775,5.8775,4.11451,4.11451,1461.56114,1461.56114,384.183156,384.183156,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 00:15:02
