run,year,N_HIV_M,Cum_HIV_M,N_HIV_Obs_M,N_HIV_D,N_CD4_1_M,N_CD4_1_Obs_M_NoW,N_CD4_1_Obs_M,N_CD4_1_D,N_CD4_2_M,N_CD4_2_Obs_M_NoW,N_CD4_2_Obs_M,N_CD4_2_D,N_CD4_3_M,N_CD4_3_Obs_M_NoW,N_CD4_3_Obs_M,N_CD4_3_D,N_CD4_4_M,N_CD4_4_Obs_M_NoW,N_CD4_4_Obs_M,N_CD4_4_D,N_HIVAIDS_M,N_HIVAIDS_Obs_M,N_HIVAIDS_D,N_AIDS_M,N_AIDS_D,N_Dead_D,Cum_Dead_D,N_Diag_Dead_M,Cum_Diag_Dead_M,N_Und_Dead_D,Cum_Und_Dead_D,N_Und_Dead_M,Cum_Und_Dead_M,N_Emig_D,Cum_Emig_D,Cum_Inf_M,Cum_Inf_D,N_Inf_M,N_Inf_D,delta1,delta2,delta3,delta4,t_diag,t_diag_p50,t_diag_p25,t_diag_p75,D_Avg_Time,t_diag_1,t_diag_2,t_diag_3,t_diag_4,t_diag_5,t_diag_6,t_diag_7,t_diag_8,t_diag_9,t_diag_10,t_diag_11,t_diag_12,t_diag_13,t_diag_14,t_diag_15,N_Alive,N_Alive_Diag_M,N_Und,N_Und_1,N_Und_2,N_Und_Inf_p,N_Und_Alive_p,N_Und_PrimInf,N_Und_CD4_1_M,N_Und_CD4_2_M,N_Und_CD4_3_M,N_Und_CD4_4_M,N_Und_HIVAIDS_M,N_Und_500,N_Und_350,N_Und_T_1,N_Und_T_1_p,N_Und_PrimInf_T_1,N_Und_CD4_1_T_1,N_Und_CD4_2_T_1,N_Und_CD4_3_T_1,N_Und_CD4_4_T_1,N_Und_CD4_5_T_1,N_Und_T_2,N_Und_T_2_p,N_Und_PrimInf_T_2,N_Und_CD4_1_T_2,N_Und_CD4_2_T_2,N_Und_CD4_3_T_2,N_Und_CD4_4_T_2,N_Und_CD4_5_T_2,N_Und_T_3,N_Und_T_3_p,N_Und_PrimInf_T_3,N_Und_CD4_1_T_3,N_Und_CD4_2_T_3,N_Und_CD4_3_T_3,N_Und_CD4_4_T_3,N_Und_CD4_5_T_3,LL_HIV,LL_CD4_1,LL_CD4_2,LL_CD4_3,LL_CD4_4,LL_AIDS,LL_HIVAIDS,Version,Timestamp
0,1980,0.629491,0.629491,0.629491,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.629491,0.629491,0,0.629491,0,0,0,0.061473,0.061473,0,0,0.027755,0.027755,0,0,287.171391,0,287.171391,0,0,0,0,0,11.567122,10.8755,6.3895,17.2385,0.5,1.19279,2.688429,3.724466,4.546088,5.15016,5.543558,5.745209,5.781735,5.683217,5.47992,5.200068,4.868552,4.506353,4.13046,3.754111,287.143635,0.629491,286.514144,0,286.514144,99.771131,99.780775,103.357477,101.899159,42.649828,31.21474,7.188829,0.204112,205.256635,38.60768,286.514144,100,103.357477,101.899159,42.649828,31.21474,7.188829,0.204112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.258983,1.258983,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 00:15:02
0,1981,7.896255,8.525746,7.896255,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.896255,7.896255,0,7.896255,1,1.234638,1.234638,1.550214,1.611687,0,0,0.34816,0.375915,0,0,1043.873172,0,756.701782,0,0,0,0,0,11.567122,10.8755,6.3895,17.2385,1.152394,1.19279,2.688429,3.724466,4.546088,5.15016,5.543558,5.745209,5.781735,5.683217,5.47992,5.200068,4.868552,4.506353,4.13046,3.754111,1042.26262,7.291108,1034.971511,0,1034.971577,99.147247,99.300454,206.782078,440.754681,194.385228,150.681891,41.074282,1.293351,647.536759,193.049524,753.83607,72.836408,205.133766,301.395014,128.167553,95.313632,23.132529,0.693577,281.135507,27.163599,1.649162,139.359155,66.217482,55.368131,17.941735,0.599842,0,0,0,0,0,0,0,0,0,0,0,0,0,9.659732,15.792509,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 00:15:02
0,1982,27.874341,36.400087,27.874341,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27.874341,27.874341,1,27.874341,1,0,1.234638,8.139423,9.75111,0,0,1.229028,1.604944,0,0,2126.945875,0,1083.072703,0,0,0,0,0,11.567122,10.8755,6.3895,17.2385,1.66305,1.19279,2.688429,3.724466,4.546088,5.15016,5.543558,5.745209,5.781735,5.683217,5.47992,5.200068,4.868552,4.506353,4.13046,3.754111,2124.106294,35.16545,2088.940845,0,2088.940876,98.213164,98.344459,277.387668,922.224337,426.299108,350.313124,109.15877,3.557837,1199.612005,463.029731,1078.641867,51.635826,274.088522,440.941443,188.031321,140.216366,34.326286,1.03793,1010.299009,48.364175,3.299421,481.282729,238.267724,210.096717,74.832478,2.51994,0,0,0,0,0,0,0,0,0,0,0,0,0,47.093269,47.093269,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 00:15:02
0,1983,62.429872,98.829959,62.429872,19.060952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,62.429872,62.429872,5.718286,62.429872,5.718286,3.703245,4.937883,23.468494,33.219605,0,0,2.752642,4.357586,0,0,3411.9754,0,1285.029525,0,0,0,0,0,11.567122,10.8755,6.3895,17.2385,2.172144,1.19279,2.688429,3.724466,4.546088,5.15016,5.543558,5.745209,5.781735,5.683217,5.47992,5.200068,4.868552,4.506353,4.13046,3.754111,3402.679932,93.892077,3308.787855,0,3308.787872,96.975724,97.240643,319.104048,1456.816051,702.276316,611.146919,212.398922,7.0456,1775.920098,830.591441,1279.595326,38.672631,314.681139,528.308662,225.562314,168.40524,41.382142,1.255829,2029.192546,61.327369,4.425991,928.505531,476.713303,442.741212,171.016712,5.789797,0,0,0,0,0,0,0,0,0,0,0,0,0,86.085481,86.085481,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 00:15:02
0,1984,504.718077,603.548037,504.718077,454.153068,120.17491,120.17491,20.409952,10,71.27298,71.27298,12.104674,10,42.260222,42.260222,7.177281,7,191.219651,191.219651,32.475863,44,79.790315,79.790315,36.101198,117.65248,36.101198,21.326378,26.264261,51.281548,84.501152,0,0,3.518095,7.87568,0,0,4793.293021,0,1381.31762,0,0.059514,0.074243,0.050876,1.037891,6.922634,5.6445,2.7645,9.8495,2.439062,7.666228,9.943426,9.67617,9.18276,8.522505,7.754737,6.937849,6.118875,5.331677,4.598285,3.931203,3.335787,2.812353,2.357879,1.967323,4759.153079,577.283776,4181.869304,0,4181.869379,87.244182,87.870031,336.459826,1865.737103,921.751982,863.631957,187.817924,6.470511,2202.19693,1057.920392,1331.990042,31.851546,331.368248,554.003383,235.149582,177.570629,32.879581,1.018619,2849.879337,68.148455,5.091643,1311.733708,686.602397,686.061325,154.938352,5.451911,0,0,0,0,0,0,0,0,0,6.551153,0.389217,0.004415,3.676666,77.801993,30.116241,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 00:15:02
0,1985,651.781414,1255.32945,651.781414,1808.744912,193.980039,193.980039,16.630359,24,113.873473,113.873473,9.762637,27,68.023372,68.023372,5.831802,23,191.775501,191.775501,16.441359,73,84.129028,84.129028,94.105694,179.766317,107.124268,83.388129,109.65239,92.095389,176.596541,0,0,3.709396,11.585077,0,0,6183.97538,0,1390.68236,0,0.083516,0.099523,0.062971,0.970639,6.196713,4.9895,2.4095,8.8215,2.745068,9.070267,11.457957,10.788615,9.916863,8.934198,7.905876,6.888322,5.922681,5.035056,4.239163,3.539486,2.934156,2.417288,1.980752,1.615432,6062.737914,1145.67706,4917.060853,0,4917.060995,79.512944,81.102976,333.975755,2161.954441,1092.285355,1094.915016,226.211066,7.71922,2495.930196,1328.845302,1332.207341,27.09357,328.606974,554.668976,235.375564,178.652237,33.853865,1.049725,3409.294638,69.336027,5.36853,1543.903033,816.291046,858.734201,178.804222,6.193607,175.559015,3.570406,0,63.382617,40.618817,57.528627,13.552999,0.475956,0,2.868268,20.458087,28.783343,104.51899,34.374439,1.138932,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 00:15:02
0,1986,845.78384,2101.11329,845.78384,1665.749039,269.641719,269.641719,14.242464,20,158.29418,158.29418,8.361092,6,96.865619,96.865619,5.116438,13,218.085931,218.085931,11.519289,41,102.896391,102.896391,151.169965,251.150849,204.259416,180.812408,290.464798,143.825797,320.422338,0,0,4.536882,16.121959,0,0,7515.844496,0,1331.869115,0,0.107518,0.124803,0.075065,0.903388,5.611968,4.4695,2.1405,7.9855,3.098691,10.442118,12.874104,11.7684,10.508411,9.210681,7.940492,6.747256,5.662259,4.70097,3.866911,3.155484,2.55714,2.059781,1.650435,1.316345,7209.25774,1810.648493,5398.609247,0,5398.60951,71.829709,74.884398,316.186174,2321.363144,1196.025595,1279.430215,276.159447,9.444672,2637.549319,1565.034333,1267.519748,23.478635,310.85745,527.801303,223.898324,170.796455,33.138122,1.028093,3579.660207,66.307081,5.328891,1599.904782,847.546754,921.32241,198.688564,6.868806,551.429555,10.214289,0,193.656983,124.580492,187.311336,44.33276,1.547983,0,2.065102,0.740229,8.477639,45.141605,9.357172,19.75765,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 00:15:02
0,1987,1024.060446,3125.173737,1024.060446,1613.178069,336.35885,336.35885,13.126502,10.1,198.236561,198.236561,7.736239,11,125.529201,125.529201,4.898813,6,240.547678,240.547678,9.387443,30,123.388157,123.388157,150.02431,327.274799,254.902416,243.730484,534.195282,204.853339,525.275677,0,0,5.4404,21.562358,0,0,8739.467754,0,1223.623259,0,0.131519,0.150083,0.087159,0.836137,5.132236,4.0495,1.9305,7.2955,3.464074,11.782138,14.195696,12.625945,10.974643,9.374428,7.88402,6.540744,5.36235,4.351275,3.499481,2.792697,2.213652,1.744331,1.367406,1.067049,8183.710114,2590.978455,5592.731659,0,5592.731861,63.993962,68.339807,287.620297,2343.404352,1227.845677,1399.985123,322.794945,11.081266,2631.024649,1733.861334,1156.911319,20.685979,282.575553,481.532538,204.189714,156.537917,31.110185,0.965412,3483.336422,62.283275,5.045051,1538.603602,814.931948,909.693495,207.872635,7.18969,952.48412,17.03075,0,323.268049,208.723958,333.753677,83.812116,2.926319,0,0.758628,1.216029,0.230824,28.484353,17.334652,5.375862,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 00:15:02
0,1988,1157.672452,4282.846189,1157.672452,1409.367657,385.663649,385.663649,20.56413,13,228.476622,228.476622,12.182696,4,150.694414,150.694414,8.035239,7,251.531321,251.531321,13.412005,41,141.306446,141.306446,190.345164,403.537036,420.548932,289.029143,823.224425,272.264804,797.540481,0,0,6.230448,27.792807,0,0,9824.157916,0,1084.690161,0,0.155521,0.175363,0.099253,0.768886,4.732703,3.7045,1.7635,6.7185,3.826877,13.09066,15.426272,13.37074,11.330902,9.444837,7.757627,6.289573,5.041673,4.001465,3.148508,2.45871,1.907369,1.471083,1.128795,0.862237,8973.140683,3459.621764,5513.51892,0,5513.519101,56.122051,61.444695,252.809095,2245.459314,1193.386762,1449.338684,360.118509,12.406556,2498.268409,1821.863749,1018.904664,18.480115,248.219948,423.695587,179.584865,138.353896,28.175993,0.874374,3225.114495,58.494666,4.58926,1407.096066,745.127404,853.255786,207.851671,7.194308,1269.499942,23.025221,0,414.667616,268.674482,457.728998,124.090841,4.338005,0,3.204688,7.455614,0.139506,36.452603,0.707299,15.333323,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 00:15:02
0,1989,1232.584317,5515.430505,1232.584317,1465.170664,412.788769,412.788769,26.880128,15,245.82412,245.82412,16.007664,5,169.622974,169.622974,11.04557,12,249.561707,249.561707,16.251049,50,154.786746,154.786746,205.925192,475.782178,515.674591,497.782066,1321.006491,342.546168,1140.086648,0,0,6.824819,34.617625,0,0,10757.97311,0,933.815194,0,0.179523,0.200643,0.111347,0.701635,4.39583,3.4185,1.6265,6.2315,4.183409,14.367993,16.569078,14.011374,11.590781,9.438605,7.578867,6.010224,4.714242,3.662274,2.821126,2.157124,1.638691,1.237721,0.930124,0.695825,9402.348993,4194.424014,5207.924979,0,5207.925116,48.409909,55.389616,216.282027,2056.809092,1106.101248,1430.05795,385.357107,13.317555,2273.091119,1828.732612,871.579012,16.735629,212.248012,361.83632,153.287831,118.666145,24.772175,0.76853,2863.845852,54.990152,4.033814,1233.535145,652.872914,766.671888,199.811382,6.920711,1472.500252,28.274222,0,461.437777,299.940564,544.719962,160.773555,5.628393,0,6.260143,10.37903,0.080193,44.888652,3.255067,15.291821,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 00:15:02
