"stage","year","population","value","lower","upper"
"infected",1980,"male",912.30418,879.238,946.13762
"infected",1981,"male",238.89803,230.32202,247.44293
"infected",1982,"male",220.61191,213.04677,228.02237
"infected",1983,"male",683.30247,661.25014,704.79277
"infected",1984,"male",3705.76137,3602.36745,3825.74648
"infected",1985,"male",11470.8333,11154.78378,11837.97449
"infected",1986,"male",14491.2622,14050.77162,14966.76726
"infected",1987,"male",15778.85009,15290.529990000001,16322.60215
"infected",1988,"male",15827.56064,15294.85124,16397.34691
"infected",1989,"male",15798.93045,15233.67258,16381.59296
"infected",1990,"male",15274.48155,14676.72001,15862.90881
"infected",1991,"male",14558.70704,13921.74089,15136.23395
"infected",1992,"male",13836.24002,13177.56384,14451.09047
"infected",1993,"male",13032.70464,12361.83786,13670.61399
"infected",1994,"male",12131.11607,11469.42599,12812.08467
"infected",1995,"male",11625.73472,10972.74756,12344.26491
"infected",1996,"male",11394.15205,10726.99222,12146.43939
"infected",1997,"male",11388.93561,10704.80454,12140.08788
"infected",1998,"male",11473.48046,10770.8826,12241.06297
"infected",1999,"male",11768.14094,11037.3583,12575.89488
"infected",2000,"male",12080.31281,11313.5239,12952.06182
"infected",2001,"male",12455.86861,11632.31109,13365.55359
"infected",2002,"male",12981.84599,12101.67058,13950.68127
"infected",2003,"male",13497.43697,12561.59027,14510.28581
"infected",2004,"male",14137.56813,13105.80464,15242.65853
"infected",2005,"male",14815.67886,13681.04093,16028.34406
"infected",2006,"male",15489.41177,14242.75179,16813.54645
"infected",2007,"male",16158.44431,14792.67727,17595.62084
"infected",2008,"male",16680.72974,15178.49389,18228.43166
"infected",2009,"male",17403.31771,15747.59205,19053.39429
"infected",2010,"male",18088.66679,16290.13073,19879.11981
"infected",2011,"male",18796.77708,16863.5626,20725.29227
"infected",2012,"male",19599.60303,17513.03193,21701.73727
"infected",2013,"male",20287.44627,18037.01655,22555.5026
"infected",2014,"male",21018.8618,18615.02614,23445.36201
"infected",2015,"male",21870.14631,19325.60463,24428.85526
"infected",2016,"male",22632.66486,19915.6588,25398.55784
"infected",2017,"male",23292.13877,20347.46152,26330.78255
"infected",2018,"male",23860.20491,20687.78256,27183.24879
"infected",2019,"male",24476.70548,21026.5022,28127.94197
"infected",2020,"male",24979.18846,21321.25577,28871.22429
"infected",2021,"male",25229.43172,21405.76667,29445.84827
"infected",2022,"male",25387.1555,22070.33333,30131.45853
"infected",2023,"male",25652.94445,23077.73889,30950.56768
"pldhiv",1980,"male",2,2,2
"pldhiv",1981,"male",1.6712,1.51531,1.82709
"pldhiv",1982,"male",3.65232,3.4782,3.82709
"pldhiv",1983,"male",18.85475,18.56388,19.16342
"pldhiv",1984,"male",466.99247,458.9671,473.28646
"pldhiv",1985,"male",2228.05656,2195.00671,2258.47583
"pldhiv",1986,"male",3704.61703,3643.467,3764.75886
"pldhiv",1987,"male",5065.02142,4971.37905,5157.91
"pldhiv",1988,"male",6169.92825,6043.44902,6296.4869
"pldhiv",1989,"male",7109.27676,6940.46196,7280.3026
"pldhiv",1990,"male",7733.46853,7511.2629,7956.77938
"pldhiv",1991,"male",8162.38431,7889.42566,8438.48661
"pldhiv",1992,"male",8450.7265,8127.45089,8779.76916
"pldhiv",1993,"male",8505.18999,8131.9403,8887.46565
"pldhiv",1994,"male",8321.34348,7899.40818,8757.39285
"pldhiv",1995,"male",8321.2638,7854.36794,8806.80036
"pldhiv",1996,"male",8454.54646,7946.01341,8985.24285
"pldhiv",1997,"male",8758.26696,8215.31399,9326.48073
"pldhiv",1998,"male",9060.62717,8484.8148,9665.11119
"pldhiv",1999,"male",9460.33395,8848.13786,10104.89828
"pldhiv",2000,"male",9821.57346,9168.76481,10511.48654
"pldhiv",2001,"male",10209.47827,9512.44206,10948.50037
"pldhiv",2002,"male",10716.1654,9971.85267,11508.46874
"pldhiv",2003,"male",11207.95272,10413.24167,12056.21746
"pldhiv",2004,"male",11820.53449,10919.86275,12765.85391
"pldhiv",2005,"male",12454.77585,11439.13161,13508.57676
"pldhiv",2006,"male",13093.17908,11955.24855,14265.3538
"pldhiv",2007,"male",13740.90844,12475.56377,15037.61162
"pldhiv",2008,"male",14275.50083,12881.67944,15699.5285
"pldhiv",2009,"male",15003.14856,13478.79953,16557.01284
"pldhiv",2010,"male",15703.70569,14038.52328,17403.16173
"pldhiv",2011,"male",16436.27519,14631.68722,18280.67899
"pldhiv",2012,"male",17257.96115,15313.65215,19246.44779
"pldhiv",2013,"male",17968.08814,15877.79819,20109.67907
"pldhiv",2014,"male",18704.2228,16464.50797,21004.50574
"pldhiv",2015,"male",19550.09541,17206.77778,22003.32844
"pldhiv",2016,"male",20297.62236,18100.72778,22963.37847
"pldhiv",2017,"male",20949.95497,19052.46111,23872.57989
"pldhiv",2018,"male",21522.63972,19625.20556,24723.04238
"pldhiv",2019,"male",22145.42915,20480.91111,25661.59907
"pldhiv",2020,"male",22625.11501,21167.76667,26339.67228
"pldhiv",2021,"male",22792.05638,21405.76667,26760.70428
"pldhiv",2022,"male",22983.5534,22070.33333,27339.04047
"pldhiv",2023,"male",23489.99666,23077.73889,28244.94818
"retained",2013,"male",17069.68374,14512.30755,19868.36292
"retained",2014,"male",17807.66705,15958.53889,20759.45317
"retained",2015,"male",18653.39771,17206.77778,21753.95739
"retained",2016,"male",19408.5865,18100.72778,22710.7813
"retained",2017,"male",20075.64351,19052.46111,23617.93904
"retained",2018,"male",20668.90834,19625.20556,24467.57094
"retained",2019,"male",21312.76101,20480.91111,25404.98308
"retained",2020,"male",21878.48621,21167.76667,25470.46309
"retained",2021,"male",22039.91852,21405.76667,25877.60104
"retained",2022,"male",22225.09614,22070.33333,26436.85213
"retained",2023,"male",23077.73889,23077.73889,27312.86489
"numART",2000,"male",5382.54956,4496.95158,6845.49916
"numART",2001,"male",5847.14312,4602.36322,7063.24604
"numART",2002,"male",5892.04807,4740.99725,7328.2422
"numART",2003,"male",6194.29295,4928.10701,7648.71522
"numART",2004,"male",6561.3046,5179.05889,8033.33982
"numART",2005,"male",7299.64566,5512.81059,8490.76232
"numART",2006,"male",8171.83803,5945.9845,9028.89135
"numART",2007,"male",8577.70973,6504.80618,9653.94565
"numART",2008,"male",8808.2794,7212.67595,10369.3039
"numART",2009,"male",9412.76916,8088.14524,11174.28085
"numART",2010,"male",10708.10437,9139.40794,12063.04334
"numART",2011,"male",11758.286,10357.93648,13035.6183
"numART",2012,"male",12936.82201,11713.81819,14080.52275
"numART",2013,"male",14721.96111,13927.4388,15523.54812
"numART",2014,"male",15996.96111,15958.53889,16261.41899
"numART",2015,"male",17258.5,17206.77778,17525.93572
"numART",2016,"male",18155.40556,18100.72778,18481.86821
"numART",2017,"male",19134.47778,19052.46111,19444.58808
"numART",2018,"male",19704.26667,19625.20556,20053.2329
"numART",2019,"male",20578.44444,20480.91111,20913.8982
"numART",2020,"male",21209.88333,21167.76667,21559.46951
"numART",2021,"male",21575.71111,21405.76667,21751.32108
"numART",2022,"male",22107.27778,22070.33333,22417.82939
"numART",2023,"male",23077.73889,23077.73889,23383.41151
"suppressed",2003,"male",2881.83683,2168.19514,3751.81853
"suppressed",2004,"male",3971.31594,3005.80901,5062.19995
"suppressed",2005,"male",4861.51486,3539.2524,5858.46851
"suppressed",2006,"male",6016.56923,4246.39413,6847.0727
"suppressed",2007,"male",6582.37504,4854.36091,7612.03844
"suppressed",2008,"male",7086.02157,5660.67689,8545.57439
"suppressed",2009,"male",7787.24731,6541.76522,9451.25588
"suppressed",2010,"male",9128.43238,7634.95679,10489.65003
"suppressed",2011,"male",10243.4148,8862.85922,11558.32446
"suppressed",2012,"male",11607.40273,10346.21578,12830.54328
"suppressed",2013,"male",13645.14542,12740.79279,14575.29274
"suppressed",2014,"male",14947.2186,14724.67597,15384.50642
"suppressed",2015,"male",16367.46497,16133.40578,16809.53222
"suppressed",2016,"male",17222.38895,16977.91864,17728.73251
"suppressed",2017,"male",18496.2679,18250.34539,18966.10594
"suppressed",2018,"male",19176.00214,18938.21015,19679.97137
"suppressed",2019,"male",19951.90182,19677.94109,20460.33175
"suppressed",2020,"male",20454.31497,20189.74543,21019.5451
"suppressed",2021,"male",21107.13693,20748.74546,21474.17258
"suppressed",2022,"male",21755.32112,21548.17343,22234.40914
"suppressed",2023,"male",22524.67761,22296.35828,23054.36823
