stage,year,value,lower,upper
pldhiv,1980,2,2,2
pldhiv,1981,1.6712019925929993,1.5153097822874466,1.82709420289855
pldhiv,1982,3.6523205977323006,3.4781993650287863,3.82709420289855
pldhiv,1983,18.85475250846484,18.56388365678928,19.163423076964847
pldhiv,1984,466.9924678625153,458.9671035420762,473.28646182697037
pldhiv,1985,2228.056556484203,2195.006708718139,2258.4758254149074
pldhiv,1986,3704.617033632002,3643.4670003442407,3764.758864938668
pldhiv,1987,5065.021417166711,4971.379049623141,5157.909995737397
pldhiv,1988,6169.928252430897,6043.449021326105,6296.486895881406
pldhiv,1989,7109.276755720143,6940.4619637315345,7280.302600531889
pldhiv,1990,7733.468533106607,7511.262898445183,7956.779377301321
pldhiv,1991,8162.38430823505,7889.425656659201,8438.4866122414
pldhiv,1992,8450.726501258268,8127.450893785128,8779.769159610612
pldhiv,1993,8505.189989836505,8131.940304526018,8887.465652139861
pldhiv,1994,8321.34347994309,7899.40818063356,8757.3928471844265
pldhiv,1995,8321.26380129034,7854.367941368333,8806.800355387375
pldhiv,1996,8454.546458122659,7946.013405145571,8985.242845465746
pldhiv,1997,8758.266961185545,8215.313990712348,9326.480730182337
pldhiv,1998,9060.6271748471,8484.814800222377,9665.11118878225
pldhiv,1999,9460.33395211107,8848.137857687307,10104.89827752285
pldhiv,2000,9821.57346290083,9168.76480537014,10511.486542051745
pldhiv,2001,10209.478269554837,9512.442062876788,10948.500369598543
pldhiv,2002,10716.165404238469,9971.85267226634,11508.468738670428
pldhiv,2003,11207.952717611397,10413.241666849492,12056.217456765902
pldhiv,2004,11820.534491972277,10919.86275358743,12765.853911073675
pldhiv,2005,12454.77585136487,11439.131612574529,13508.576759154204
pldhiv,2006,13093.17907783199,11955.24854503033,14265.353803471888
pldhiv,2007,13740.908444060668,12475.563773437352,15037.61162040437
pldhiv,2008,14275.500834963019,12881.679441007884,15699.528500449525
pldhiv,2009,15003.148555515647,13478.799531508908,16557.012843706696
pldhiv,2010,15703.705692283937,14038.523278761691,17403.16173411812
pldhiv,2011,16436.275194578328,14631.687221219072,18280.678990557677
pldhiv,2012,17257.961152173204,15313.6521509815,19246.44779056007
pldhiv,2013,17968.08814400117,15877.798193611652,20109.679069280617
pldhiv,2014,18704.22279683945,16464.507973419,21004.505737075895
pldhiv,2015,19550.09541486818,17160.693092324225,22003.328442121896
pldhiv,2016,20297.622356974145,17715.155280483883,22963.37846566134
pldhiv,2017,20949.954966313442,18145.031832084096,23872.57988713911
pldhiv,2018,21522.639717697824,18480.650986924255,24723.042382205906
pldhiv,2019,22145.429146159557,18839.204484863694,25661.59907325265
pldhiv,2020,22625.115005381616,19143.617818001054,26339.672279899783
pldhiv,2021,22792.05638239139,19096.626568939508,26760.704281909097
pldhiv,2022,22983.55340280418,18975.190008670397,27339.040466243317
pldhiv,2023,23489.996664712475,19164.659396611718,28244.94817579774
retained,2013,17069.68373680111,14512.307548961051,19868.36292044925
retained,2014,17807.66705077761,15092.465642300751,20759.45317014334
retained,2015,18653.397705172894,15776.397182876737,21753.957386444516
retained,2016,19408.586497738677,16333.37316860614,22710.781302539064
retained,2017,20075.643512385963,16778.106100733763,23617.939035009626
retained,2018,20668.908342229144,17137.723681874424,24467.570944256444
retained,2019,21312.76101026396,17520.460170923237,25404.983082520124
retained,2020,21878.48621020402,18511.87843000702,25470.46309466309
retained,2021,22039.918521772473,18466.437892164504,25877.601040606096
retained,2022,22225.096140511643,18349.008738384273,26436.85213085729
retained,2023,22714.826774776964,18532.22563652353,27312.864885996416
