stage,year,value,lower,upper
pldhiv,1980,2,2,2
pldhiv,1981,1.6712019925929993,1.5153097822874466,1.82709420289855
pldhiv,1982,3.6523205977323006,3.4781993650287863,3.82709420289855
pldhiv,1983,18.85475250846484,18.56388365678928,19.163423076964847
pldhiv,1984,447.0940164254178,439.5394262614672,453.45658592212465
pldhiv,1985,2153.570516506234,2117.7635776534808,2183.9129496464857
pldhiv,1986,3617.7507804572742,3554.9363980039925,3677.51024024627
pldhiv,1987,4963.459888615215,4869.123364747635,5055.55518748954
pldhiv,1988,6059.9692637471035,5933.448909002646,6185.168806997194
pldhiv,1989,6998.582407892433,6829.82174326079,7167.761298292984
pldhiv,1990,7629.355552923914,7408.015927352667,7850.155641031811
pldhiv,1991,8057.752360679952,7786.486437347074,8330.658848726425
pldhiv,1992,8349.690376791525,8029.105909597975,8675.211763984596
pldhiv,1993,8405.706374196267,8035.028406743949,8783.90783984106
pldhiv,1994,8218.742970550235,7800.2321860663105,8649.986784003577
pldhiv,1995,8222.694326372326,7759.9188583499345,8702.824979774998
pldhiv,1996,8367.055548566283,7863.076438860647,8891.972579646408
pldhiv,1997,8668.12762844489,8130.102228746538,9230.201818148167
pldhiv,1998,8964.614563738667,8394.13029681944,9562.55630630221
pldhiv,1999,9360.628164289996,8754.162542545015,9998.237064511657
pldhiv,2000,9720.480973032036,9073.813119721737,10403.009172949554
pldhiv,2001,10100.67435366853,9409.49103029143,10831.848007626113
pldhiv,2002,10578.833303507905,9841.338002320808,11362.294362127044
pldhiv,2003,11064.601877763193,10277.415140698615,11903.293896176076
pldhiv,2004,11652.505133230701,10761.085009437846,12586.692852652252
pldhiv,2005,12288.746970609698,11283.88479958395,13330.056751070557
pldhiv,2006,12905.34053405508,11780.347162525502,14063.392979031381
pldhiv,2007,13510.267590006364,12260.442127062339,14790.380951930685
pldhiv,2008,14007.282659877246,12631.931903973433,15411.233956068063
pldhiv,2009,14642.39804269356,13141.266794171626,16171.603208006365
pldhiv,2010,15215.787366401146,13579.953987446528,16884.613548995807
pldhiv,2011,15813.35946114345,14045.57516825249,17619.161314778004
pldhiv,2012,16556.558114113956,14656.146271841197,18499.924575351877
pldhiv,2013,17161.507602494385,15123.633011656966,19249.802212507733
pldhiv,2014,17644.11048319039,15469.98036618865,19877.73016289375
pldhiv,2015,18197.738115648168,15889.466417701231,20569.559678172773
pldhiv,2016,18701.04809458308,16220.123299180357,21265.466799422524
pldhiv,2017,19054.762243838224,16378.660539188606,21847.92736391532
pldhiv,2018,19353.74949288155,16472.097264326316,22392.291227201316
pldhiv,2019,19668.042740989113,16560.74226644017,22982.48546796676
pldhiv,2020,19889.758928067477,16632.444579044528,23378.200001291752
pldhiv,2021,19941.71839170386,16503.90223623674,23650.703281536455
pldhiv,2022,19896.57185240362,16197.400592012917,23937.665108808622
pldhiv,2023,19961.244087986357,16005.210355177187,24339.35216958522
